                  id                  |              dataset_id              |            collection_id             |         created_at         |                                                                                                                                                                                                                                                                                             status                                                                                                                                                                                                                                                                                             
--------------------------------------+--------------------------------------+--------------------------------------+----------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 5e637841-5c7d-4356-be09-748e485be2fa | 1576b99e-affe-4d18-b47b-f53b7a0755c6 | a8c37348-882d-40a3-bec2-093d71bed1e6 | 2024-03-06 18:42:46.285715 | "{\"upload_status\": \"UPLOADED\", \"validation_status\": \"VALID\", \"cxg_status\": \"UPLOADED\", \"rds_status\": \"UPLOADED\", \"h5ad_status\": \"UPLOADED\", \"processing_status\": \"SUCCESS\", \"validation_message\": null}"
 c113bb5c-bdc4-44c1-ad09-97d5d42cadd4 | 2603d968-38b1-4003-8710-766413b2ea85 | 100a32bf-b83a-4eed-a931-26593caecfeb | 2024-03-06 18:40:19.398833 | "{\"upload_status\": \"UPLOADED\", \"validation_status\": \"VALID\", \"cxg_status\": \"UPLOADED\", \"rds_status\": \"UPLOADED\", \"h5ad_status\": \"UPLOADED\", \"processing_status\": \"SUCCESS\", \"validation_message\": null}"
 c76f4e2c-8a5a-4239-b026-599743ce0931 | 3279fd33-8189-466f-aba5-b455b9d93528 | 06cf148f-c183-4df0-81e7-d9d1d39bc58b | 2024-03-06 18:35:29.300065 | "{\"upload_status\": \"UPLOADED\", \"validation_status\": \"VALID\", \"cxg_status\": \"UPLOADED\", \"rds_status\": \"UPLOADED\", \"h5ad_status\": \"UPLOADED\", \"processing_status\": \"SUCCESS\", \"validation_message\": null}"
 28d540bc-b044-48ba-99ba-b0574c7f130e | 3bea920d-3a9d-4511-9765-2e8b3884fd70 | d078e11d-480d-4b40-840b-004627c65b56 | 2024-03-06 18:40:19.112573 | "{\"upload_status\": \"UPLOADED\", \"validation_status\": \"VALID\", \"cxg_status\": \"UPLOADED\", \"rds_status\": \"UPLOADED\", \"h5ad_status\": \"UPLOADED\", \"processing_status\": \"SUCCESS\", \"validation_message\": null}"
 4f96f688-0cf0-475a-a728-ad6ae7ddaaf6 | 598255e3-bafc-4615-a5c8-216f06a03c6e | e5f58829-1a66-40b5-a624-9046778e74f5 | 2021-07-19 19:06:40.225782 | "{\"_sa_instance_state\": \"<sqlalchemy.orm.state.InstanceState object at 0x10bba8af0>\", \"id\": \"59a44501-4b9e-4331-8016-6a9dc08527af\", \"dataset_id\": \"598255e3-bafc-4615-a5c8-216f06a03c6e\", \"upload_progress\": \"0.0\", \"validation_status\": \"VALID\", \"rds_status\": \"UPLOADED\", \"cxg_status\": \"UPLOADED\", \"processing_status\": \"SUCCESS\", \"updated_at\": \"2023-01-11 01:49:06.808797\", \"created_at\": \"2023-01-11 00:05:08.695560\", \"upload_status\": \"UPLOADED\", \"upload_message\": null, \"validation_message\": null, \"h5ad_status\": \"UPLOADED\"}"
 ec0a60c0-f33b-4a4d-a036-d59c47a25ef5 | 5989a626-5d4b-4e04-82e0-0259219c9482 | c9706a92-0e5f-46c1-96d8-20e42467f287 | 2021-04-13 20:41:34.933269 | "{\"_sa_instance_state\": \"<sqlalchemy.orm.state.InstanceState object at 0x10be504f0>\", \"id\": \"589326a8-4b8a-4be2-974c-b9160888db4b\", \"dataset_id\": \"5989a626-5d4b-4e04-82e0-0259219c9482\", \"upload_progress\": \"1.0\", \"validation_status\": \"VALID\", \"rds_status\": \"UPLOADED\", \"cxg_status\": \"UPLOADED\", \"processing_status\": \"SUCCESS\", \"updated_at\": \"2022-11-14 20:41:15.928666\", \"created_at\": \"2022-11-14 20:28:27.476029\", \"upload_status\": \"UPLOADED\", \"upload_message\": null, \"validation_message\": null, \"h5ad_status\": \"UPLOADED\"}"
 3e963b15-444f-4198-ac03-7c0267192fc1 | 5ad8e063-e4fa-40d9-9737-c98e6b57a5cf | 7194cedb-fa55-40f5-b93b-30eee6803b72 | 2024-03-12 16:34:49.942771 | "{\"upload_status\": \"UPLOADED\", \"validation_status\": \"VALID\", \"cxg_status\": \"UPLOADED\", \"rds_status\": \"UPLOADED\", \"h5ad_status\": \"UPLOADED\", \"processing_status\": \"SUCCESS\", \"validation_message\": null}"
 fc2445a8-b02e-4f16-b536-a9972c19bdac | 6f3bd275-0455-4afb-9813-c6c544bc5268 | d078e11d-480d-4b40-840b-004627c65b56 | 2024-03-06 18:35:28.637656 | "{\"upload_status\": \"UPLOADED\", \"validation_status\": \"VALID\", \"cxg_status\": \"UPLOADED\", \"rds_status\": \"UPLOADED\", \"h5ad_status\": \"UPLOADED\", \"processing_status\": \"SUCCESS\", \"validation_message\": null}"
 788e2ad7-dca6-415a-b0f4-54bc968ff8db | 6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3 | 1ca90a2d-2943-483d-b678-b809bf464c30 | 2023-12-11 22:48:06.086225 | "{\"upload_status\": \"UPLOADED\", \"validation_status\": \"VALID\", \"cxg_status\": \"UPLOADED\", \"rds_status\": \"SKIPPED\", \"h5ad_status\": \"UPLOADED\", \"processing_status\": \"SUCCESS\", \"validation_message\": null}"
 f8b52601-e3a1-4f35-ae30-346c47a1e47a | 73d4bf4d-4be6-4dec-87b0-60eb6a5824ba | 283d65eb-dd53-496d-adb7-7570c7caa443 | 2022-11-29 23:46:07.164805 | "{\"_sa_instance_state\": \"<sqlalchemy.orm.state.InstanceState object at 0x10d1ad100>\", \"id\": \"a786d4f0-3c82-4128-992b-5b503d39ee5e\", \"dataset_id\": \"73d4bf4d-4be6-4dec-87b0-60eb6a5824ba\", \"upload_progress\": \"0.0\", \"validation_status\": \"VALID\", \"rds_status\": \"UPLOADED\", \"cxg_status\": \"UPLOADED\", \"processing_status\": \"SUCCESS\", \"updated_at\": \"2022-11-30 02:24:50.441184\", \"created_at\": \"2022-11-29 23:50:30.327889\", \"upload_status\": \"UPLOADED\", \"upload_message\": null, \"validation_message\": null, \"h5ad_status\": \"UPLOADED\"}"
