INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/4ce5413f-5c4d-46b3-ab4b-77f7044c19f6', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 875, 'response_time': 0.0009317398071289062}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/4ce5413f-5c4d-46b3-ab4b-77f7044c19f6', 'method': 'PATCH', 'content_length': 106}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 337, 'response_time': 0.0011184215545654297}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/b6fc3199-925b-4412-9928-140c8f842c82', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 759, 'response_time': 0.0007379055023193359}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/b6fc3199-925b-4412-9928-140c8f842c82', 'method': 'PATCH', 'content_length': 106}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 337, 'response_time': 0.0010750293731689453}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/6addb458-ee1d-4a43-ae33-8cc325f0bdd5', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 875, 'response_time': 0.0008678436279296875}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/6addb458-ee1d-4a43-ae33-8cc325f0bdd5', 'method': 'PATCH', 'content_length': 2}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 328, 'response_time': 0.0009713172912597656}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/996192ac-c96b-4e27-bcc4-aa018e1f84b2', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 875, 'response_time': 0.0007860660552978516}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/996192ac-c96b-4e27-bcc4-aa018e1f84b2', 'method': 'PATCH', 'content_length': 13}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 400, 'content_length': 134, 'response_time': 0.0005033016204833984}}
