"Anatomical Structures, Cell Types and Biomarkers Table for Bone Marrow v1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Muzlifah A. Haniffa; Laura Jardine; Sarah A. Teichmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-3927-2084; 0000-0003-4495-8205; 0000-0002-6294-6366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Elisa Laurenti; Bertie Gottgens; Andrea J. Radtke; Rebecca T. Beuschel; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-9917-9092;0000-0001-6302-5705; 0000-0003-4379-8967; 0000-0002-3882-457X; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,DOI: 10.1126/science.aah4573; 10.1126/science.aay3224; DOI: 10.1038/s41586-019-1652-y; DOI: 10.1016/j.exphem.2018.09.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM449.NWVK.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,5/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/2,CT/2/LABEL,CT/2/ID,All Gene Biomarkers,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/8,BGene/8/LABEL,BGene/8/ID,BGene/9,BGene/9/LABEL,BGene/9/ID,BGene/10,BGene/10/LABEL,BGene/10/ID,BGene/11,BGene/11/LABEL,BGene/11/ID,BGene/12,BGene/12/LABEL,BGene/12/ID,BGene/13,BGene/13/LABEL,BGene/13/ID,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/6,BProtein/6/LABEL,BProtein/6/ID,BProtein/7,BProtein/7/LABEL,BProtein/7/ID,BProtein/8,BProtein/8/LABEL,BProtein/8/ID,BProtein/9,BProtein/9/LABEL,BProtein/9/ID,BProtein/10,BProtein/10/LABEL,BProtein/10/ID,BProtein/11,BProtein/11/LABEL,BProtein/11/ID,BProtein/12,BProtein/12/LABEL,BProtein/12/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/DOI,REF/1/NOTES
Bone marrow,Bone marrow,UBERON:0002371,B lineage,lymphocyte of B lineage,CL:0000945,precursor B cell (pre B cell),precursor B cell,CL:0000817,"CD19, PAX5, IGHM, IGHD",CD19,,HGNC:1633,PAX5,,HGNC:8619,IGHM,,HGNC:5541,IGHD,,HGNC:5480,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD34-,CD34,HGNC:1662,CD127-,IL7R,HGNC:6024,CD19+,CD19,HGNC:1633,CD10+,MME,HGNC:7154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1016/j.exphem.2018.09.004,
Bone marrow,Bone marrow,UBERON:0002371,B lineage,lymphocyte of B lineage,CL:0000945,immature B cell,immature B cell,CL:0000816,"CD19, PAX5, IGHM, MS4A1",CD19,,HGNC:1633,PAX5,,HGNC:8619,IGHM,,HGNC:5541,MS4A1,,HGNC:7315,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD19+,CD19,HGNC:1633,CD20+,MS4A1,HGNC:7315,CD21+,CR2,HGNC:2336,CD22+,CD22,HGNC:1643,CD27+,CD27,HGNC:11922,IgM+/-,IGHM,HGNC:5541,IgD+/-,IGHD,HGNC:5480,,,,,,,,,,,,,,,,,,,,DOI: 10.3389/fimmu.2012.00302,
Bone marrow,Bone marrow,UBERON:0002371,B lineage,lymphocyte of B lineage,CL:0000945,memory B cell,memory B cell,CL:0000787,"CD19, MS4A1, IGHA1, IGHG1, CD82, SELL, CD27",CD19,,HGNC:1633,MS4A1,,HGNC:7315,IGHA1,,HGNC:5478,IGHG1,,HGNC:5525,CD82,,HGNC:6210,SELL,,HGNC:10720,CD27,,HGNC:11922,,,,,,,,,,,,,,,,,,,CD19+,CD19,HGNC:1633,CD20+,MS4A1,HGNC:7315,CD21+,CR2,HGNC:2336,IgD+,IGHD,HGNC:5480,CD27-,CD27,HGNC:11922,CD10-,MME,HGNC:7154,CD38+/lo,CD38,HGNC:1667,CD24+/lo,CD24,HGNC:1645,,,,,,,,,,,,,,,,,DOI: 10.1002/jcla.20001,
Bone marrow,Bone marrow,UBERON:0002371,B lineage,lymphocyte of B lineage,CL:0000945,naive B cell,naive B cell,CL:0000788,"CD19, PAX5, IGHM, MS4A1, CD40, FCER2",CD19,,HGNC:1633,PAX5,,HGNC:8619,IGHM,,HGNC:5541,MS4A1,,HGNC:7315,CD40,,HGNC:11919,FCER2,,HGNC:3612,,,,,,,,,,,,,,,,,,,,,,CD19-,CD19,HGNC:1633,CD21-,CR2,HGNC:2336,CD24-,CD24,HGNC:1645,IgD-,IGHD,HGNC:5480,CD27hi,CD27,HGNC:11922,CD38hi,CD38,HGNC:1667,CD138+,SDC1,HGNC:10658,,,,,,,,,,,,,,,,,,,,DOI: 10.1038/s41467-019-12464-3,
Bone marrow,Bone marrow,UBERON:0002371,B lineage,lymphocyte of B lineage,CL:0000945,plasma cell,plasma cell,CL:0000786,"SDC1, DERL3, MZB1, IGKC, SEC11C, IGHG1, IGHA1, TNFRSF17",SDC1,,HGNC:10658,DERL3,,HGNC:14236,MZB1,,HGNC:30125,IGKC,,HGNC:5716,SEC11C,,HGNC:23400,IGHG1,,HGNC:5525,IGHA1,,HGNC:5478,TNFRSF17,,HGNC:11913,,,,,,,,,,,,,,,,CD19-,CD19,HGNC:1633,CD21-,CR2,HGNC:2336,CD24-,CD24,HGNC:1645,IgD-,IGHD,HGNC:5480,CD27hi,CD27,HGNC:11922,CD38hi,CD38,HGNC:1667,CD138+,SDC1,HGNC:10658,,,,,,,,,,,,,,,,,,,,DOI: 10.1073/pnas.172384399,
Bone marrow,Bone marrow,UBERON:0002371,B lineage,lymphocyte of B lineage,CL:0000945,pro B progenitor,pro-B cell,CL:0000826,"DNTT, MME, VPREB1, RAG1",DNTT,,HGNC:2983,MME,,HGNC:7154,VPREB1,,HGNC:12709,RAG1,,HGNC:9831,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD34+,CD34,HGNC:1662,CD127+/-,IL7R,HGNC:6024,CD19+,CD19,HGNC:1633,CD10+/-,MME,HGNC:7154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1073/pnas.172384399,
Bone marrow,Bone marrow,UBERON:0002371,B lineage,lymphocyte of B lineage,CL:0000945,transitional B cell,transitional stage B cell,CL:0000818,"IGLL5, SOX4, BCL7A, TCL1A, FCRLA, CD24",IGLL5,,HGNC:38476,SOX4,,HGNC:11200,BCL7A,,HGNC:1004,TCL1A,,HGNC:11648,FCRLA,,HGNC:18504,CD24,,HGNC:1645,,,,,,,,,,,,,,,,,,,,,,CD3-,CD3E,HGNC:1674,CD19-,CD19,HGNC:1633,CD14-,CD14,HGNC:1628,CD16-,FCGR3A,HGNC:3619,CD56-,NCAM1,HGNC:7656,HLA-DR+,,,CD11c+/lo,ITGAX,HGNC:6152,CD123-,IL3RA,HGNC:6012,CD141hi,THBD,HGNC:11784,CLEC9A+,CLEC9A,HGNC:26705,CD1c-/lo,CD1C,HGNC:1636,,,,,,,,DOI: 10.1073/pnas.172384399,
Bone marrow,Bone marrow,UBERON:0002371,dendritic cell (DC),"dendritic cell, human",CL:0001056,dendritic cell type 1 (DC1),conventional dendritic cell,CL:0000990,"CLEC9A, CADM1, XCR1",CLEC9A,,HGNC:26705,CADM1,,HGNC:5951,XCR1,,HGNC:1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD3-,CD3E,HGNC:1674,CD19-,CD19,HGNC:1633,CD14-,CD14,HGNC:1628,CD16-,FCGR3A,HGNC:3619,CD56-,NCAM1,HGNC:7656,HLA-DR+,,,CD11c+/lo,ITGAX,HGNC:6152,CD123-,IL3RA,HGNC:6012,CD141-,THBD,HGNC:11784,CD1c+,CD1C,HGNC:1636,,,,,,,,,,,DOI: 10.3109/10428194.2013.781167,
Bone marrow,Bone marrow,UBERON:0002371,dendritic cell (DC),"dendritic cell, human",CL:0001056,dendritic cell type 2 (DC2),conventional dendritic cell,CL:0000990,"CD1C, FCER1A, CLEC10A, HLA-DQA2, HLA-DPB1, FCGR2B",CD1C,,HGNC:1636,FCER1A,,HGNC:3609,CLEC10A,,HGNC:16916,HLA-DQA2,,HGNC:4943,HLA-DPB1,,HGNC:4940,FCGR2B,,HGNC:3618,,,,,,,,,,,,,,,,,,,,,,CD3-,CD3E,HGNC:1674,CD19-,CD19,HGNC:1633,CD14-/lo,CD14,HGNC:1628,CD16-,FCGR3A,HGNC:3619,CD56-,NCAM1,HGNC:7656,HLA-DR+,,,CD11c+/lo,ITGAX,HGNC:6152,CD123-,IL3RA,HGNC:6012,CD141-,THBD,HGNC:11784,CD1c+,CD1C,HGNC:1636,,,,,,,,,,,DOI: 10.1016/j.immuni.2017.04.019,
Bone marrow,Bone marrow,UBERON:0002371,dendritic cell (DC),"dendritic cell, human",CL:0001056,dendritic cell type 3 (DC3),"dendritic cell, human",CL:0001056,"CD1C, FCER1A, CLEC10A, S100A8, S100A9, CD36, CD163",CD1C,,HGNC:1636,FCER1A,,HGNC:3609,CLEC10A,,HGNC:16916,S100A8,,HGNC:10498,S100A9,,HGNC:10499,CD36,,HGNC:1663,CD163,,HGNC:1631,,,,,,,,,,,,,,,,,,,CD3-,CD3E,HGNC:1674,CD19-,CD19,HGNC:1633,CD14-,CD14,HGNC:1628,CD16-,FCGR3A,HGNC:3619,CD56-,NCAM1,HGNC:7656,HLA-DR+,,,CD11c-,ITGAX,HGNC:6152,CD123+,IL3RA,HGNC:6012,CD303+,CLEC4C,HGNC:13258,,,,,,,,,,,,,,DOI: 10.1002/cyto.a.23724,
