"Anatomical Structures, Cell Types and Biomarkers Table for Peripheral Nervous System v1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,"Nazanin Ebrahimi, Bernard de Bono",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-7183-2638; 0000-0001-7183-2638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Ellen Quardokus (0000-0001-7655-4833),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM462.NJKR.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,12/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,AS/10,AS/10/LABEL,AS/10/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/2,CT/2/LABEL,CT/2/ID,CT/3,CT/3/LABEL,CT/3/ID,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/8,BGene/8/LABEL,BGene/8/ID,BGene/9,BGene/9/LABEL,BGene/9/ID,BGene/10,BGene/10/LABEL,BGene/10/ID,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/6,BProtein/6/LABEL,BProtein/6/ID,BProtein/7,BProtein/7/LABEL,BProtein/7/ID,BProtein/8,BProtein/8/LABEL,BProtein/8/ID,BProtein/9,BProtein/9/LABEL,BProtein/9/ID,BProtein/10,BProtein10/LABEL,BProtein10/ID,BProtein/11/,BProtein/11/LABEL,BProtein/11/ID,BProteoform/1,BProteoform/1/LABEL,BProteoform/1/ID,BProteoform/2,BProteoform/2/LABEL,BProteoform/2/ID,BLipid/1,BLipid/1/LABEL,BLipid/1/ID,BLipid/2,BLipid/2/LABEL,BLipid/2/ID,BMetabolites/1,BMetabolites/1/LABEL,BMetabolites/1/ID,BMetabolites/2,BMetabolites/2LABEL,BMetabolites/2/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES,REF/3,REF/3/DOI,REF/3/NOTES,REF/4,REF/4/DOI,REF/4/NOTES,REF/5,REF/5/DOI,REF/5/NOTES,REF/6,REF/6/DOI,REF/6/NOTES
peripheral nervous system,peripheral nervous system,UBERON:0000010,nerve,nerve,UBERON:0001021,,,,,,,,,,,,,,,,,,,,,,,,,neuron,neuron,CL:0000540,,,,,,,neuron-specific enolase (NSE),ENO2,HGNC: 3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,gamma-enolase (human),hENO2,PR:000007081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Nerve,,,,,,,,,,,,,,,,,
peripheral nervous system,peripheral nervous system,UBERON:0000010,nerve,nerve,UBERON:0001021,spinal nerve,spinal nerve,UBERON:0001780,,,,,,,,,,,,,,,,,,,,,,neuron,neuron,CL:0000540,,,,,,,neuron-specific enolase (NSE),ENO2,HGNC: 3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,gamma-enolase (human),hENO2,PR:000007081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Spinal_nerve#Cervical_nerves,,,,,,,,,,,,,,,,,
peripheral nervous system,peripheral nervous system,UBERON:0000010,nerve,nerve,UBERON:0001021,spinal nerve,spinal nerve,UBERON:0001780,first cervical spinal nerve,first cervical nerve,FMA:6440,,,,,,,,,,,,,,,,,,,neuron,neuron,CL:0000540,,,,,,,neuron-specific enolase (NSE),ENO2,HGNC: 3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,gamma-enolase (human),hENO2,PR:000007081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cervical_spinal_nerve_1,,,,,,,,,,,,,,,,,
peripheral nervous system,peripheral nervous system,UBERON:0000010,nerve,nerve,UBERON:0001021,spinal nerve,spinal nerve,UBERON:0001780,first cervical spinal nerve,first cervical nerve,FMA:6440,ventral ramus of first cervical spinal nerve,anterior ramus of first cervical nerve,FMA:7061,,,,,,,,,,,,,,,,neuron,neuron,CL:0000540,,,,,,,neuron-specific enolase (NSE),ENO2,HGNC: 3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,gamma-enolase (human),hENO2,PR:000007081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Ventral_ramus_of_spinal_nerve,,,,,,,,,,,,,,,,,
peripheral nervous system,peripheral nervous system,UBERON:0000010,nerve,nerve,UBERON:0001021,spinal nerve,spinal nerve,UBERON:0001780,first cervical spinal nerve,first cervical nerve,FMA:6440,ventral ramus of first cervical spinal nerve,anterior ramus of first cervical nerve,FMA:7061,cervical plexus,cervical nerve plexus,UBERON:0003725,,,,,,,,,,,,,neuron,neuron,CL:0000540,,,,,,,neuron-specific enolase (NSE),ENO2,HGNC: 3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,gamma-enolase (human),hENO2,PR:000007081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cervical_plexus,,,,,,,,,,,,,,,,,
peripheral nervous system,peripheral nervous system,UBERON:0000010,nerve,nerve,UBERON:0001021,spinal nerve,spinal nerve,UBERON:0001780,first cervical spinal nerve,first cervical nerve,FMA:6440,dorsal ramus of first cervical spinal nerve,suboccipital nerve,FMA:7054,,,,,,,,,,,,,,,,neuron,neuron,CL:0000540,,,,,,,neuron-specific enolase (NSE),ENO2,HGNC: 3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,gamma-enolase (human),hENO2,PR:000007081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Suboccipital_nerve,,,,,,,,,,,,,,,,,
peripheral nervous system,peripheral nervous system,UBERON:0000010,nerve,nerve,UBERON:0001021,spinal nerve,spinal nerve,UBERON:0001780,first cervical spinal nerve,first cervical nerve,FMA:6440,meningeal branch of first cervical nerve,meningeal branch of first cervical nerve,FMA:65638,,,,,,,,,,,,,,,,neuron,neuron,CL:0000540,,,,,,,neuron-specific enolase (NSE),ENO2,HGNC: 3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,gamma-enolase (human),hENO2,PR:000007081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Meningeal_branches_of_spinal_nerve,,,,,,,,,,,,,,,,,
peripheral nervous system,peripheral nervous system,UBERON:0000010,nerve,nerve,UBERON:0001021,spinal nerve,spinal nerve,UBERON:0001780,second cervical spinal nerve,second cervical nerve,FMA:6443,,,,,,,,,,,,,,,,,,,neuron,neuron,CL:0000540,,,,,,,neuron-specific enolase (NSE),ENO2,HGNC: 3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,gamma-enolase (human),hENO2,PR:000007081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cervical_spinal_nerve_2,,,,,,,,,,,,,,,,,
peripheral nervous system,peripheral nervous system,UBERON:0000010,nerve,nerve,UBERON:0001021,spinal nerve,spinal nerve,UBERON:0001780,second cervical spinal nerve,second cervical nerve,FMA:6443,ventral ramus of second cervical spinal nerve,anterior ramus of second cervical nerve,FMA:7062,,,,,,,,,,,,,,,,neuron,neuron,CL:0000540,,,,,,,neuron-specific enolase (NSE),ENO2,HGNC: 3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,gamma-enolase (human),hENO2,PR:000007081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Ventral_ramus_of_spinal_nerve,,,,,,,,,,,,,,,,,
peripheral nervous system,peripheral nervous system,UBERON:0000010,nerve,nerve,UBERON:0001021,spinal nerve,spinal nerve,UBERON:0001780,second cervical spinal nerve,second cervical nerve,FMA:6443,ventral ramus of second cervical spinal nerve,anterior ramus of second cervical nerve,FMA:7062,cervical plexus,cervical nerve plexus,UBERON:0003725,,,,,,,,,,,,,neuron,neuron,CL:0000540,,,,,,,neuron-specific enolase (NSE),ENO2,HGNC: 3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,gamma-enolase (human),hENO2,PR:000007081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cervical_plexus,,,,,,,,,,,,,,,,,
