"Anatomical Structures, Cell Types and Biomarkers Table for Thymus v1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Maigan Brusko; Rebecca T. Beuschel; Andrea J. Radtke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-4331-2202; 0000-0002-3882-457X; 0000-0003-4379-8967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Sarah A. Teichmann; Jakub Abramson; Tom Taghon; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-6294-6366; 0000-0002-1745-8996; 0000-0002-5781-0288; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,DOI: 10.1126/science.aay3224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM284.RFDC.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,05/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,All Gene Biomarkers,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/8,BGene/8/LABEL,BGene/8/ID,BGene/9,BGene/9/LABEL,BGene/9/ID,BGene/10,BGene/10/LABEL,BGene/10/ID,All Protein Biomarkers,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/6,BProtein/6/LABEL,BProtein/6/ID,BProtein/7,BProtein/7/LABEL,BProtein/7/ID,BProtein/8,BProtein/8/LABEL,BProtein/8/ID,BProtein/9,BProtein/9/LABEL,BProtein/9/ID,BProtein/10,BProtein/10/LABEL,BProtein/10/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES,REF/3,REF/3/DOI,REF/3/NOTES,REF/4,REF/4/DOI,REF/4/NOTES
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,connective tissue,connective tissue,UBERON:0002384,,,,,,,,,,thymic capsular fibroblast,thymic fibroblast type 1,CL:0009078,Added new term,"C7, DPT, HSPB6, MFAP4, PTGDS, PTN, RBP5, RSPO3, SPARCL1, SRPX",C7,C7,HGNC:1346,DPT,DPT,HGNC:3011,HSPB6,HSPB6,HGNC:26511,MFAP4,MFAP4,HGNC:7035,PTGDS,PTGDS,HGNC:9592,PTN,PTN,HGNC:9630,RBP5,RBP5,HGNC:15847,RSPO3,RSPO3,HGNC:20866,SPARCL1,SPARCL1,HGNC:11220,SRPX,SRPX,HGNC:11309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Park JE, Botting RA, Domínguez Conde C, Popescu DM, Lavaert M, Kunz DJ, Goh I, Stephenson E, Ragazzini R, Tuck E, Wilbrey-Clark A, Roberts K, Kedlian VR, Ferdinand JR, He X, Webb S, Maunder D, Vandamme N, Mahbubani KT, Polanski K, Mamanova L, Bolt L, Crossland D, de Rita F, Fuller A, Filby A, Reynolds G, Dixon D, Saeb-Parsy K, Lisgo S, Henderson D, Vento-Tormo R, Bayraktar OA, Barker RA, Meyer KB, Saeys Y, Bonfanti P, Behjati S, Clatworthy MR, Taghon T, Haniffa M, Teichmann SA. A cell atlas of human thymic development defines T cell repertoire formation. Science. 2020 Feb 21;367(6480):eaay3224.",DOI: 10.1126/science.aay3224,"AS-CT, CT-B",,,,,,,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,,,,,,,,,,,,,macrophage,thymic macrophage,CL:0000866,Added new term,"APOE, C1QA, C1QB, C1QC, LGMN, MS4A7, RNASE1, SEPP1, SLC40A1, STAB1 (general macrophages)",APOE,APOE,HGNC:613,C1QA,C1QA,HGNC:1241,C1QB,C1QB,HGNC:1242,C1QC,C1QC,HGNC:1245,LGMN,LGMN,HGNC:9472,MS4A7,MS4A7,HGNC:13378,RNASE1,RNASE1,HGNC:10044,SELENOP,SELENOP,HGNC:10751,SLC40A1,SLC40A1,HGNC:10909,STAB1,STAB1,HGNC:18628,"CD11b+, CD11c+, CD54+, CD68+, CD163+, CD209+, Lysozyme+",CD11b+,ITGAM,HGNC:6149,CD11c+,ITGAX,HGNC:6152,CD54+,ICAM1,HGNC:5344,CD68+,CD68,HGNC:1693,CD163+,CD163,HGNC:1631,CD209+,CD209,HGNC:1641,Lysozyme+,LYZ,HGNC:6740,,,,,,,,,,,,,"Park JE, Botting RA, Domínguez Conde C, Popescu DM, Lavaert M, Kunz DJ, Goh I, Stephenson E, Ragazzini R, Tuck E, Wilbrey-Clark A, Roberts K, Kedlian VR, Ferdinand JR, He X, Webb S, Maunder D, Vandamme N, Mahbubani KT, Polanski K, Mamanova L, Bolt L, Crossland D, de Rita F, Fuller A, Filby A, Reynolds G, Dixon D, Saeb-Parsy K, Lisgo S, Henderson D, Vento-Tormo R, Bayraktar OA, Barker RA, Meyer KB, Saeys Y, Bonfanti P, Behjati S, Clatworthy MR, Taghon T, Haniffa M, Teichmann SA. A cell atlas of human thymic development defines T cell repertoire formation. Science. 2020 Feb 21;367(6480):eaay3224.",DOI: 10.1126/science.aay3224,CT-B,"Wakimoto T, Tomisaka R, Nishikawa Y, Sato H, Yoshino T, Takahashi K. Identification and characterization of human thymic cortical dendritic macrophages that may act as professional scavengers of apoptotic thymocytes. Immunobiology. 2008;213(9-10):837-47.",DOI: 10.1016/j.imbio.2008.07.032.,"AS-CT, CT-B",Haynes BF. The human thymic microenvironment. Adv Immunol. 1984;36:87-142.,DOI: 10.1016/s0065-2776(08)60900-1,AS-CT,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,nerve,nerve,UBERON:0001021,,,,parasympathetic cholinergic nerve,parasympathetic cholinergic nerve,UBERON:8410062,,,,,,,Added new term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acetylcholinesterase (AChE)+,AChE+,ACHE,HGNC:108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mignini F, Sabbatini M, Mattioli L, Cosenza M, Artico M, Cavallotti C. Neuro-immune modulation of the thymus microenvironment (review). Int J Mol Med. 2014 Jun;33(6):1392-400.",DOI: 10.3892/ijmm.2014.1709,AS,,,,,,,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,nerve,nerve,UBERON:0001021,,,,,,,,,,sympathetic noradrenergic nerve,sympathetic noradrenergic neuron,CL:3000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrosine hydroxylase (TH)+,TH+,TH,HGNC:11782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mignini F, Sabbatini M, Mattioli L, Cosenza M, Artico M, Cavallotti C. Neuro-immune modulation of the thymus microenvironment (review). Int J Mol Med. 2014 Jun;33(6):1392-400.",DOI: 10.3892/ijmm.2014.1709,AS,,,,,,,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,thymus trabecula,thymus trabecula,UBERON:0004791,nerve,nerve,UBERON:0001021,parasympathetic cholinergic nerve,parasympathetic cholinergic nerve,UBERON:8410062,,,,,,,Added new term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acetylcholinesterase (AChE)+,AChE+,ACHE,HGNC:108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mignini F, Sabbatini M, Mattioli L, Cosenza M, Artico M, Cavallotti C. Neuro-immune modulation of the thymus microenvironment (review). Int J Mol Med. 2014 Jun;33(6):1392-400.",DOI: 10.3892/ijmm.2014.1709,AS,,,,,,,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,thymus trabecula,thymus trabecula,UBERON:0004791,thymic artery,thymic artery,UBERON:0018243,,,,,,,blood endothelial cell,blood vessel endothelial cell,CL:0000071,,"A2M, AQP1, BCAM, IFI27, NPDC1, PLVAP, RAMP2, RNASE1, SPARCL1, TM4SF1",A2M,A2M,HGNC:7,AQP1,AQP1,HGNC:633,BCAM,BCAM,HGNC:6722,IFI27,IFI27,HGNC:5397,NPDC1,NPDC1,HGNC:7899,PLVAP,PLVAP,HGNC:13635,RAMP2,RAMP2,HGNC:9844,RNASE1,RNASE1,HGNC:10044,SPARCL1,SPARCL1,HGNC:11220,TM4SF1,TM4SF1,HGNC:11853,CD31+,CD31+,PECAM,HGNC:8823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Park JE, Botting RA, Domínguez Conde C, Popescu DM, Lavaert M, Kunz DJ, Goh I, Stephenson E, Ragazzini R, Tuck E, Wilbrey-Clark A, Roberts K, Kedlian VR, Ferdinand JR, He X, Webb S, Maunder D, Vandamme N, Mahbubani KT, Polanski K, Mamanova L, Bolt L, Crossland D, de Rita F, Fuller A, Filby A, Reynolds G, Dixon D, Saeb-Parsy K, Lisgo S, Henderson D, Vento-Tormo R, Bayraktar OA, Barker RA, Meyer KB, Saeys Y, Bonfanti P, Behjati S, Clatworthy MR, Taghon T, Haniffa M, Teichmann SA. A cell atlas of human thymic development defines T cell repertoire formation. Science. 2020 Feb 21;367(6480):eaay3224.",DOI: 10.1126/science.aay3224,"AS-CT, CT-B","Pearse G. Normal structure, function and histology of the thymus. Toxicol Pathol. 2006;34(5):504-14. doi: 10.1080/01926230600865549. PMID: 17067941.",DOI: 10.1080/01926230600865549,AS-CT,,,,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,thymus trabecula,thymus trabecula,UBERON:0004791,nerve,nerve,UBERON:0001021,,,,,,,sympathetic noradrenergic nerve,sympathetic noradrenergic neuron,CL:3000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrosine hydroxylase (TH)+,TH+,TH,HGNC:11782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mignini F, Sabbatini M, Mattioli L, Cosenza M, Artico M, Cavallotti C. Neuro-immune modulation of the thymus microenvironment (review). Int J Mol Med. 2014 Jun;33(6):1392-400.",DOI: 10.3892/ijmm.2014.1709,AS,,,,,,,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,thymus trabecula,thymus trabecula,UBERON:0004791,adipose tissue,adipose tissue,UBERON:0001013,,,,,,,beige adipocyte,beige adipocyte,CL:0001070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBX-1+,TBX-1+,TBX1,HGNC: 11592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Banfai K, Ernszt D, Pap A, Bai P, Garai K, Belharazem D, Pongracz JE, Kvell K. ""Beige"" Cross Talk Between the Immune System and Metabolism. Front Endocrinol (Lausanne). 2019 Jun 18;10:369.",DOI: 10.3389/fendo.2019.00369,"AS-CT, CT-B","Rezzani R, Nardo L, Favero G, Peroni M, Rodella LF. Thymus and aging: morphological, radiological, and functional overview. Age (Dordr). 2014 Feb;36(1):313-51. 10.1007/s11357-013-9564-5",DOI: 10.1007/s11357-013-9564-5,AS-CT,,,,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,thymus trabecula,thymus trabecula,UBERON:0004791,,,,,,,,,,macrophage,thymic macrophage,CL:0000866,Added new term,"APOE, C1QA, C1QB, C1QC, LGMN, MS4A7, RNASE1, SEPP1, SLC40A1, STAB1 (general macrophages)",APOE,APOE,HGNC:613,C1QA,C1QA,HGNC:1241,C1QB,C1QB,HGNC:1242,C1QC,C1QC,HGNC:1245,LGMN,LGMN,HGNC:9472,MS4A7,MS4A7,HGNC:13378,RNASE1,RNASE1,HGNC:10044,SELENOP,SELENOP,HGNC:10751,SLC40A1,SLC40A1,HGNC:10909,STAB1,STAB1,HGNC:18628,"CD11b+, CD11c+, CD54+, CD68+, CD163+, CD209+, Lysozyme+",CD11b+,ITGAM,HGNC:6149,CD11c+,ITGAX,HGNC:6152,CD54+,ICAM1,HGNC:5344,CD68+,CD68,HGNC:1693,CD163+,CD163,HGNC:1631,CD209+,CD209,HGNC:1641,Lysozyme+,LYZ,HGNC:6740,,,,,,,,,,,,,"Park JE, Botting RA, Domínguez Conde C, Popescu DM, Lavaert M, Kunz DJ, Goh I, Stephenson E, Ragazzini R, Tuck E, Wilbrey-Clark A, Roberts K, Kedlian VR, Ferdinand JR, He X, Webb S, Maunder D, Vandamme N, Mahbubani KT, Polanski K, Mamanova L, Bolt L, Crossland D, de Rita F, Fuller A, Filby A, Reynolds G, Dixon D, Saeb-Parsy K, Lisgo S, Henderson D, Vento-Tormo R, Bayraktar OA, Barker RA, Meyer KB, Saeys Y, Bonfanti P, Behjati S, Clatworthy MR, Taghon T, Haniffa M, Teichmann SA. A cell atlas of human thymic development defines T cell repertoire formation. Science. 2020 Feb 21;367(6480):eaay3224.",DOI: 10.1126/science.aay3224,CT-B,"Wakimoto T, Tomisaka R, Nishikawa Y, Sato H, Yoshino T, Takahashi K. Identification and characterization of human thymic cortical dendritic macrophages that may act as professional scavengers of apoptotic thymocytes. Immunobiology. 2008;213(9-10):837-47.",DOI: 10.1016/j.imbio.2008.07.032.,"AS-CT, CT-B",Haynes BF. The human thymic microenvironment. Adv Immunol. 1984;36:87-142.,DOI: 10.1016/s0065-2776(08)60900-1,AS-CT,,,
thoracic thymus,thymus,UBERON:0002370,capsule of thymus,capsule of thymus,UBERON:0002122,thymus trabecula,thymus trabecula,UBERON:0004791,connective tissue,connective tissue,UBERON:0002384,,,,,,,thymic interlobular fibroblast,thymic fibroblast type 2,CL:0009079,Added new term,"COL1A1, COL1A2, COL3A1, COL14A1, FBN1, FN1, IGFBP6, LUM, MGP, OGN",COL1A1,COL1A1,HGNC:2197,COL1A2,COL1A2,HGNC:2198,COL3A1,COL3A1,HGNC:2201,COL14A1,COL14A1,HGNC:2191,FBN1,FBN1,HGNC:3603,FN1,FN1,HGNC:3778,IGFBP6,IGFBP6,HGNC:5475,LUM,LUM,HGNC:6724,MGP,MGP,HGNC:7060,OGN,OGN,HGNC:8126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Park JE, Botting RA, Domínguez Conde C, Popescu DM, Lavaert M, Kunz DJ, Goh I, Stephenson E, Ragazzini R, Tuck E, Wilbrey-Clark A, Roberts K, Kedlian VR, Ferdinand JR, He X, Webb S, Maunder D, Vandamme N, Mahbubani KT, Polanski K, Mamanova L, Bolt L, Crossland D, de Rita F, Fuller A, Filby A, Reynolds G, Dixon D, Saeb-Parsy K, Lisgo S, Henderson D, Vento-Tormo R, Bayraktar OA, Barker RA, Meyer KB, Saeys Y, Bonfanti P, Behjati S, Clatworthy MR, Taghon T, Haniffa M, Teichmann SA. A cell atlas of human thymic development defines T cell repertoire formation. Science. 2020 Feb 21;367(6480):eaay3224.",DOI: 10.1126/science.aay3224,"AS-CT, CT-B",,,,,,,,,
