"Anatomical Structures, Cell Types and Biomarkers Table for Spleen v1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Marda Jorgensen; Andrea J. Radtke; Rebecca T. Beuschel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s),0000-0002-7250-3569; 0000-0003-4379-8967; 0000-0002-3882-457X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Elaine Jaffe; Stefania Pittaluga; Robert Seifert; Birte Steiniger; Clive Wasserfall; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s),0000-0003-4632-0301; 0000-0001-7688-1439; 0000-0002-4404-8116; 0000-0002-3602-7331; 0000-0002-3522-8932; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"10.1111/imm.12469, 10.1186/s13059-019-1906-x, 10.1182/blood.V126.23.3594.3594, 10.1126/sciimmunol.aau6085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM772.KBNQ.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,5//6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/3/NOTES,AS/4,AS/4/LABEL,AS/4/ID,AS/4/NOTES,AS/5,AS/5/LABEL,AS/5/ID,AS/5/NOTES,AS/6,AS/6/LABEL,AS/6/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,CT/2,CT/2/LABEL,CT/2/ID,CT/3,CT/3/LABEL,CT/3/ID,"Protein Biomarkers from Antibody Based Assays (IHC, FACS)",Transcriptomics,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/8,BGene/8/LABEL,BGene/8/ID,BGene/9,BGene/9/LABEL,BGene/9/ID,BGene/10,BGene/10/LABEL,BGene/10/ID,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/6,BProtein/6/LABEL,BProtein/6/ID,BProtein/7,BProtein/7/LABEL,BProtein/7/ID,BProtein/8,BProtein/8/LABEL,BProtein/8/ID,BProtein/9,BProtein/9/LABEL,BProtein/9/ID,BProtein/10,BProtein/10/LABEL,BProtein/10/ID,BProtein/11,BProtein/11/LABEL,BProtein/11/ID,FTU/1,FTU/1/Label,FTU/1/ID,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES,REF/3,REF/3/DOI,REF/3/NOTES,REF/4,REF/4/DOI,REF/4/NOTES
spleen,spleen,UBERON:0002106,Splenic Pulp,spleen pulp,UBERON:1000023,Splenic Artery,Splenic Artery,UBERON:0001194,,,,,,,,,,,,,Splenic endothelial cell,splenic endothelial cell,CL:2000053,,,,,,,,"CD34+, CD141+, CD31+","CD34, PECAM1, VWF (General splenic vasculature endothelial cell signature, Qiu et al., 2017 DOI 10.1182/ bloodadvances.2017015073)",CD34+,CD34,HGNC:1662,PECAM1+,PECAM1,HGNC:8823,vWF+,VWF,HGNC:12726,,,,,,,,,,,,,,,,,,,,,,CD34+,CD34,HGNC:1662,CD141+,THBD,HGNC:11784,CD31+,PECAM1,HGNC:8823,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Steiniger, B.S. (2015), Human spleen microanatomy: why mice do not suffice. Immunology, 145: 334-346.",DOI: 10.1111/imm.12469,"AS-CT, CT-B","VAN KRIEKEN, J. and TE VELDE, J. (1986), Immunohistology of the human spleen: an inventory of the localization of lymphocyte subpopulations. Histopathology, 10: 285-294.",DOI: 10.1111/j.1365-2559.1986.tb02482.x,AS-CT,"VAN KRIEKEN, J.H.J.M., TE VELDE, J., KLEIVERDA, K., LEENHEERS?BINNENDIJK, L. and VAN DE VELDE, C.J.H. (1985), The human spleen; a histological study in splenectomy specimens embedded in methylmethacrylate. Histopathology, 9: 571-585.",DOI: 10.1111/j.1365-2559.1985.tb02841.x,AS-CT,"Jiajing Qiu, Mohamed E. Salama, Cing Siang Hu, Yan Li, Xiaoli Wang, Ronald Hoffman; The characteristics of vessel lining cells in normal spleens and their role in the pathobiology of myelofibrosis. Blood Adv 2018; 2 (10): 1130–1145.",DOI 10.1182/ bloodadvances.2017015073,"CT-B, Single cell transcriptomics "
spleen,spleen,UBERON:0002106,Splenic Pulp,spleen pulp,UBERON:1000023,Splenic Artery,Splenic Artery,UBERON:0001194,,Sympathetic nerves,Sympathetic nerve plexus,UBERON:0012373,,,,,,,,,Catecholaminergic Neuron,,,Added new term,,,,,,,"DBH+, PGP9.5+, S100+, TH+, VAChT+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DBH+,DBH,HGNC:2689,PGP9.5+,UCHL1,HGNC:12513,S100+,S100B,HGNC:10500,TH+,TH,HGNC:11782,,,,,,,,,,,,,,,,,,,,,,,,,"Thomas J.M. Verlinden, Paul van Dijk, Jill Hikspoors, Andreas Herrler, Wouter H. Lamers, S. Eleonore Köhler, Innervation of the human spleen: A complete hilum-embedding approach, Brain, Behavior, and Immunity, Volume 77, 2019, Pages 92-100, ISSN 0889-1591.",DOI: 10.1016/j.bbi.2018.12.009,"AS-CT, CT-B","Donald B. Hoover, Thomas Christopher Brown, Madeleine K. Miller, John B. Schweitzer and David L. Williams.Loss of Sympathetic Nerves in Spleens from Patients with End Stage Sepsis.Front. Immunol., 06 December 2017",DOI: 10.3389/fimmu.2017.01712,"AS-CT, CT-B",,,,,,
spleen,spleen,UBERON:0002106,Splenic Pulp,spleen pulp,UBERON:1000023,Spleen central arteriole,Spleen central arteriole,UBERON:0010401,,Sympathetic nerves,Sympathetic nerve plexus,UBERON:0012373,,,,,,,,,Catecholaminergic Neuron,,,Added new term,,,,,,,"DBH+, PGP9.5+, S100+, TH+, VAChT+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DBH+,DBH,HGNC:2689,PGP9.5+,UCHL1,HGNC:12513,S100+,S100B,HGNC:10500,TH+,TH,HGNC:11782,,,,,,,,,,,,,,,,,,,,,,,,,"Thomas J.M. Verlinden, Paul van Dijk, Jill Hikspoors, Andreas Herrler, Wouter H. Lamers, S. Eleonore Köhler, Innervation of the human spleen: A complete hilum-embedding approach, Brain, Behavior, and Immunity, Volume 77, 2019, Pages 92-100, ISSN 0889-1591.",DOI: 10.1016/j.bbi.2018.12.009,"AS-CT, CT-B","Donald B. Hoover, Thomas Christopher Brown, Madeleine K. Miller, John B. Schweitzer and David L. Williams.Loss of Sympathetic Nerves in Spleens from Patients with End Stage Sepsis.Front. Immunol., 06 December 2017",DOI: 10.3389/fimmu.2017.01712,"AS-CT, CT-B",,,,,,
spleen,spleen,UBERON:0002106,Splenic Pulp,spleen pulp,UBERON:1000023,Spleen central arteriole,Spleen central arteriole,UBERON:0010401,,Penicillar Arteriole,Penicillar Arteriole,UBERON:0013132,,,,,,,,,Splenic endothelial cell,splenic endothelial cell,CL:2000053,,,,,,,,"CD34+, CD141+, CD31+","CD34, PECAM1, VWF (General splenic vasculature endothelial cell signature, Qiu et al., 2017 DOI 10.1182/ bloodadvances.2017015073)",CD34+,CD34,HGNC:1662,PECAM1+,PECAM1,HGNC:8823,vWF+,VWF,HGNC:12726,,,,,,,,,,,,,,,,,,,,,,CD34+,CD34,HGNC:1662,CD141+,THBD,HGNC:11784,CD31+,PECAM1,HGNC:8823,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Steiniger, B.S. (2015), Human spleen microanatomy: why mice do not suffice. Immunology, 145: 334-346.",DOI: 10.1111/imm.12469,"AS-CT, CT-B","VAN KRIEKEN, J. and TE VELDE, J. (1986), Immunohistology of the human spleen: an inventory of the localization of lymphocyte subpopulations. Histopathology, 10: 285-294.",DOI: 10.1111/j.1365-2559.1986.tb02482.x,AS-CT,"VAN KRIEKEN, J.H.J.M., TE VELDE, J., KLEIVERDA, K., LEENHEERS?BINNENDIJK, L. and VAN DE VELDE, C.J.H. (1985), The human spleen; a histological study in splenectomy specimens embedded in methylmethacrylate. Histopathology, 9: 571-585.",DOI: 10.1111/j.1365-2559.1985.tb02841.x,AS-CT,"Jiajing Qiu, Mohamed E. Salama, Cing Siang Hu, Yan Li, Xiaoli Wang, Ronald Hoffman; The characteristics of vessel lining cells in normal spleens and their role in the pathobiology of myelofibrosis. Blood Adv 2018; 2 (10): 1130–1145.",DOI 10.1182/ bloodadvances.2017015073,"CT-B, Single cell transcriptomics "
spleen,spleen,UBERON:0002106,Splenic Pulp,spleen pulp,UBERON:1000023,Spleen central arteriole,Spleen central arteriole,UBERON:0010401,,Penicillar Arteriole,Penicillar Arteriole,UBERON:0013132,,,,,,,,,Naive B Cell,naive B Cell,CL:0000788,,,,,,,,"CD20+, IgD++","CD19, CD79A, MS4A1 (General B signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)",CD19+,CD19,HGNC:1633,CD79a+,CD79A,HGNC:1698,MS4A1+,MS4A1,HGNC:7315,,,,,,,,,,,,,,,,,,,,,,CD20+,MS4A1,HGNC:7315,IgD++,IGHD,HGNC:5480,IgM+,IGHM,HGNC:5541,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Steiniger, B.S. (2015), Human spleen microanatomy: why mice do not suffice. Immunology, 145: 334-346.",DOI: 10.1111/imm.12469,"AS-CT, CT-B","Steiniger, B.S., Seiler, A., Lampp, K. et al. B lymphocyte compartments in the human splenic red pulp: capillary sheaths and periarteriolar regions. Histochem Cell Biol 141, 507–518 (2014).",DOI: 10.1007/s00418-013-1172-z,"AS-CT, CT-B",,,,"Madissoon, E., Wilbrey-Clark, A., Miragaia, R.J. et al. scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation. Genome Biol 21, 1 (2020).",DOI: 10.1186/s13059-019-1906-x,"CT-B, Single cell transcriptomics "
spleen,spleen,UBERON:0002106,Splenic Pulp,spleen pulp,UBERON:1000023,Spleen central arteriole,Spleen central arteriole,UBERON:0010401,,Penicillar Arteriole,Penicillar Arteriole,UBERON:0013132,,,,,,,,,Memory-Like B Cell,memory B cell,CL:0000787,,,,,,,,"CD20+, IgM+","CD19, CD79A, MS4A1 (General B signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)",CD19+,CD19,HGNC:1633,CD79a+,CD79A,HGNC:1698,MS4A1+,MS4A1,HGNC:7315,,,,,,,,,,,,,,,,,,,,,,CD20+,MS4A1,HGNC:7315,IgM+,IGHM,HGNC:5541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Steiniger, B.S., Seiler, A., Lampp, K. et al. B lymphocyte compartments in the human splenic red pulp: capillary sheaths and periarteriolar regions. Histochem Cell Biol 141, 507–518 (2014).",DOI: 10.1007/s00418-013-1172-z,"AS-CT, CT-B",,,,,,,"Madissoon, E., Wilbrey-Clark, A., Miragaia, R.J. et al. scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation. Genome Biol 21, 1 (2020).",DOI: 10.1186/s13059-019-1906-x,"CT-B, Single cell transcriptomics "
spleen,spleen,UBERON:0002106,Splenic Pulp,spleen pulp,UBERON:1000023,Spleen central arteriole,Spleen central arteriole,UBERON:0010401,,Penicillar Arteriole,Penicillar Arteriole,UBERON:0013132,,,,,,,,,Switched B Cell,class switched memory B cell,CL:0000972,,,,,,,,"CD20+, Ig+","CD19, CD79A, MS4A1 (General B signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)",CD19+,CD19,HGNC:1633,CD79a+,CD79A,HGNC:1698,MS4A1+,MS4A1,HGNC:7315,,,,,,,,,,,,,,,,,,,,,,CD20+,MS4A1,HGNC:7315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Steiniger, B.S., Seiler, A., Lampp, K. et al. B lymphocyte compartments in the human splenic red pulp: capillary sheaths and periarteriolar regions. Histochem Cell Biol 141, 507–518 (2014).",DOI: 10.1007/s00418-013-1172-z,"AS-CT, CT-B",,,,,,,"Madissoon, E., Wilbrey-Clark, A., Miragaia, R.J. et al. scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation. Genome Biol 21, 1 (2020).",DOI: 10.1186/s13059-019-1906-x,"CT-B, Single cell transcriptomics "
spleen,spleen,UBERON:0002106,Splenic Pulp,spleen pulp,UBERON:1000023,Spleen central arteriole,Spleen central arteriole,UBERON:0010401,,Penicillar Arteriole,Penicillar Arteriole,UBERON:0013132,,,,,,,,,Adventitial Stromal Cell,,,Added new term,,,,,,,CD271+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD271+/-,NGFR,HGNC:7809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Steiniger, B.S. (2015), Human spleen microanatomy: why mice do not suffice. Immunology, 145: 334-346.",DOI: 10.1111/imm.12469,"AS-CT, CT-B",,,,,,,,,
spleen,spleen,UBERON:0002106,Splenic Pulp,spleen pulp,UBERON:1000023,Spleen central arteriole,Spleen central arteriole,UBERON:0010401,,Penicillar Arteriole,Penicillar Arteriole,UBERON:0013132,,,,,,,,,Splenic Stromal Cell (non-FRC/non-FDC),,,Added new term,,,,,,,"CD271-, CK8/18+, MAdCAM-1+, Smooth Muscle Actin+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD271-,NGFR,HGNC:7809,CK8/18+,KRT8/KRT18,HGNC:6446 (8)/ HGNC:6430 (18),MAd-CAM-1+,MADCAM1,HGNC:6765,Smooth Muscle Actin+,ACTA2,HGNC:130,,,,,,,,,,,,,,,,,,,,,,,,,"Steiniger, B.S. (2015), Human spleen microanatomy: why mice do not suffice. Immunology, 145: 334-346.",DOI: 10.1111/imm.12469,"AS-CT, CT-B",,,,,,,,,
spleen,spleen,UBERON:0002106,Splenic Pulp,spleen pulp,UBERON:1000023,Spleen central arteriole,Spleen central arteriole,UBERON:0010401,,Penicillar Arteriole,Penicillar Arteriole,UBERON:0013132,,,,,,,,,Splenic Smooth Muscle Cell,,,Added new term,,,,,,,Smooth Muscle Actin+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smooth Muscle Actin+,ACTA2,HGNC:130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Steiniger, B.S. (2015), Human spleen microanatomy: why mice do not suffice. Immunology, 145: 334-346.",DOI: 10.1111/imm.12469,"AS-CT, CT-B",,,,,,,,,
