"Anatomical Structures, Cell Types and Biomarkers Table for Liver v1.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,"Anna Maria Masci, Tim Kendall, Ayako Suzuki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-1940-6740; 0000-0002-4174-2786; 0000-0003-1824-1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Ioannis Vlachos; Z. Gordon Jiang; Luke Boulter; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORCID(s):,0000-0002-8849-808X; 0000-0003-0495-9940; 0000-0002-7954-6705; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,DOI: 10.1111/imm.12888; DOI: 10.1053/j.gastro.2009.02.063; DOI: 10.3748/wjg.v12.i22.3523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM456.SLDZ.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,5/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,Genes,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/1/NOTES,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,All protein biomarkers,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/2/NOTES,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/6,BProtein/6/LABEL,BProtein/6/ID,BProtein/7,BProtein/7/LABEL,BProtein/7/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,FTU/1/Comments,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES,REF/3,REF/3/DOI,REF/3/NOTES,REF/4,REF/4/DOI,REF/4/NOTES
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,hepatic sinusoid,hepatic sinusoid,UBERON:0001281,,,,liver sinusoid endothelial cell,endothelial cell of hepatic sinusoid,CL:1000398,,CD31 Low,CD31,PECAM1,HGNC:8823,,endoglin,endoglin,HGNC:3349,,,,,,,"CD34-/CD31 low/CD105+, Ulex lectin binding",CD34,CD34,HGNC:1662,CD31,PECAM1,HGNC:8823,,CD105,endoglin,HGNC:3349,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,Liver lobus are 1-2 mm in diameter and 2 mm long and the liver has around 100000 lobules he lobule contain the capillaries called hepatic sinusoids. The hepatic sinusoids are branching from hepatic artery (part of the triad ) and converge to central vein. Around the sinusoids are the sinusoid endothelial cells those form a fenestrated endothleium. 2/3 rd of the lobule are made up by hepatocytes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4088223/,DOI: 10.3748/wjg.v12.i34.5429,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,hepatic sinusoid,hepatic sinusoid,UBERON:0001281,,,,Kupffer cell,Kupffer Cell,CL:0000091,,CD68,CD68,CD68,HGNC:1693,,,,,,,,,,,CD68,CD68,CD68,HGNC:1693,CD68,,,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,The fluid in addition to blood in the capillaries there is a tissue fluid goes from the sinusoids into the perisinusoidal space (Disse space). this fluid is main used by hepathocytes that present microvilli that extend into the Disse space to allow more product to be absorbed. it is a circle secretion and absorbtion of fluid from capillaries and hepathocytes,https://pubmed.ncbi.nlm.nih.gov/20739085/,DOI: 10.1016/j.jhep.2010.04.037,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Disse's space,liver perisinusoidal space,UBERON:0006729,,,,quiescent hepatic stellate cell,hepatic stellate cell,CL:0000632,,PDGFRB,PDGFRB,PDGFRB,HGNC:8804,,GFAP,GFAP,HGNC:4235,DES,DES,HGNC:2770,,,,"PDGFRb, GFAP, desmin",PDGFRb,PDGFRb,HGNC:8804,,GFAP,HGNC:4235,,desmin,DES,HGNC:2770,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,one of the function of the liver unit is to filter the blood coming from the digestive tract and before going to the rest of the body. It is the location for metabolization of drugsor alchool. is the manifacture of the coagulation processes. Drug induce Liver injury is one of the main event due to drug toxicity .,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3855865/,DOI: 10.1038/nm.3282,PDGFRb,https://gut.bmj.com/content/55/9/1276,DOI: 10.1136/gut.2005.078865,GFAP,https://pubmed.ncbi.nlm.nih.gov/6204917/,DOI: 10.1002/hep.1840040425,Desmin,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,Disse's space,liver perisinusoidal space,UBERON:0006729,,,,Immune cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,PMID: 29112863,DOI: 10.1016/j.cub.2017.09.019,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,hepatic plate,hepatic cord,UBERON:0005452,,,,hepatocyte,hepatocyte,CL:0000182,,,,,,,,,,,,,,,,"Cyp2D6, canalicular CD10, canalicular BSEP, Heppar1 (mAb)",CYP2D6,CYP2D6,HGNC:2625,CD10,MME,HGNC:7154,,BSEP,ABCB11,HGNC:42,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,https://pubmed.ncbi.nlm.nih.gov/11688465/,DOI: 10.1097/00000478-200110000-00011,CD10,https://pubmed.ncbi.nlm.nih.gov/17051391/,DOI: 10.1007/s00424-006-0152-8,BSEP,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,hepatic plate,hepatic cord,UBERON:0005452,,,,periportal hepatocyte,periportal region hepatocyte,CL:0019026,,"Histidine ammonia-lyase, Cytochrome P450 family 2 subfamily A member 7 (CYP2A7)",CFTR,CFTR,HGNC:4806,,CYP2A7,CYP2A7,HGNC:2611,,,,,,,"Histidine ammonia-lyase, Cytochrome P450 family 2 subfamily A member 7 (CYP2A7)",HAL,HAL,HGNC:4806,,CYP2A7,HGNC:2611,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,https://pubmed.ncbi.nlm.nih.gov/19268669/,DOI: 10.1053/j.gastro.2009.02.063,CPS1,https://www.nature.com/articles/s42255-019-0109-9,DOI: 10.1038/s42255-019-0109-9,CDH1,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,hepatic plate,hepatic cord,UBERON:0005452,,,,pericentral hepatocyte,centrilobular region hepatocyte,CL:0019029,,"Glutamine Synthase, Cytochrome P450 3A4",GLUL,GLUL,HGNC:4341,,CYP3A4,CYP3A4,HGNC:2637,,,,,,,"Glutamate ammonia ligase , Cytochrome P450 3A4",GLUL,GLUL,HGNC:4341,,CYP3A4,HGNC:2637,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,https://pubmed.ncbi.nlm.nih.gov/19268669/,DOI: 10.1053/j.gastro.2009.02.063,GS,https://pubmed.ncbi.nlm.nih.gov/27088858/,DOI: 10.1038/ncb3337,LGR5,https://pubmed.ncbi.nlm.nih.gov/26245375/,DOI: 10.1038/nature14863,Axin2,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,hepatic plate,hepatic cord,UBERON:0005452,,,,mid zone hepatocyte,midzonal region hepatocyte,CL:0019028,,"Histidine ammonia-lyase, Cytochrome P450 family 2 subfamily A member 7 (CYP2A7) Glutamine Synthase, Cytochrome P450 3A4. BUT THE RELATION WILL BE "" LACKS"" INSTEAD OF ""HAS PART""",HAL,HAL,HGNC:4806,,CYP2A7,CYP2A7,HGNC:2611,CYP3A4,CYP3A4,HGNC:2637,,,,,,,,,,,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,,,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,central vein,central vein of liver,UBERON:0006841,,,,endothelial cell,vein endothelial cell,CL:0002543,CL:1000393,CD31,PECAM1,PECAM1,HGNC:8823,,CD34,CD34,HGNC:1662,,,,,,,"CD31, CD34",PECAM1,PECAM1,HGNC:8823,CD34,CD34,HGNC:1662,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,https://www.nature.com/articles/srep44356,DOI: 10.1038/srep44356,"CD31, CD34",,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,portal triad/tract,portal triad,UBERON:0001279,bile duct/ule,biliary ductule,UBERON:0004058,cuboidal cell (Small cholangiocytes are cuboidal),stratified cuboidal epithelial cell,CL:0000241,,"Keratin-19, keratin-7",KRT19,KRT19,HGNC:6436,,KRT7,KRT7,HGNC:6445,,,,,,,"Keratin-19, keratin-7",KRT19,KRT19,HGNC:6436,KRT7,KRT7,HGNC:6445,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2559.2009.03391.x,DOI: 10.1111/j.1365-2559.2009.03391.x,"CK7, CK19",,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,portal triad/tract,portal triad,UBERON:0001279,bile duct/ule,biliary ductule,UBERON:0004058,columnar cell ( larger cholangiocytes are more columnar) has ciliae,columnar/cuboidal epithelial cell,CL:0000075,,CFTR,CFTR,CFTR,HGNC:1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,https://www.wjgnet.com/1007-9327/full/v12/i22/3523.htm,DOI: 10.3748/wjg.v12.i22.3523,CFTR - data more in rat than human,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,portal triad/tract,portal triad,UBERON:0001279,portal vein,portal vein,UBERON:0002017,endothelial cell,vein endothelial cell,CL:0002543,CL:1000393,,,,,,,,,,,,,,,"E-Selectin, CD34, Pal-E antigen, vWF",E-Selectin,SELE,HGNC:10718,CD34,CD34,HGNC:1662,,vWF,vWF,HGNC:12726,Pal-E antigen,Pal-E antigen,HGNC:13635,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,https://www.nature.com/articles/srep44356,DOI: 10.1038/srep44356,"CD31, CD34",,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,portal triad/tract,portal triad,UBERON:0001279,nerve,,,neuron cell,afferent neuron cell,CL:0000526,,TUBB3,TUBB3,TUBB3,HGNC:20772,,,,,,,,,,,"S100, TRPV1",S100,S100,,TRPV1,TRPV1,HGNC:12716,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,PMID: 21262470,DOI: 10.3748/wjg.v12.i22.3523,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,portal triad/tract,portal triad,UBERON:0001279,hepatic artery,hepatic artery,UBERON:0001193,endothelial cell,endothelial cell of artery,CL:1000413,CL:0002542,"CD31, CD34",PECAM1,PECAM1,HGNC:8823,,CD34,CD34,HGNC:1662,,,,,,,"CD31, CD34",PECAM1,PECAM1,HGNC:8823,CD34,CD34,HGNC:1662,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,https://www.nature.com/articles/srep44356,DOI: 10.1038/srep44356,"CD31, CD34",,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,portal triad/tract,portal triad,UBERON:0001279,hepatic artery,hepatic artery,UBERON:0001193,smooth muscle cell,blood vessel smooth muscle cell,CL:0019018,,smooth muscle actin,ACTA2,ACTA2,HGNC:130,,,,,,,,,,,smooth muscle actin,ACTA2,ACTA2,HGNC:130,,,,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,,,,,,,,,,,,
liver,liver,UBERON:0002107,hepatic Lobule,liver lobule,UBERON:0004647,portal triad/tract,portal triad,UBERON:0001279,interstitial,interstitial tissue,UBERON:0005169,portal fibroblast,hepatic portal fibroblast,,pending CL:0009100,CTGF,CTGF,CTGF,HGNC:2500,,,,,,,,,,,Thy-1,THY1,THY1,HGNC:11801,,,,,,,,,,,,,,,,,,,,hepatic Lobule,liver lobule,UBERON:0004647,,https://pubmed.ncbi.nlm.nih.gov/17576600/,DOI: 10.1007/s00441-007-0437-z,Thy-1,,,,,,,,,
