"Anatomical Structures, Cell Types and Biomarkers Table for Lymph Node v1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Names:,Marda Jorgensen; Andrea J. Radtke; Natalie Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCIDs:,0000-0002-7250-3569; 0000-0003-4379-8967; 0000-0001-6870-0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewers:,Clive Wasserfall; Elaine Jaffe; Stefania Pittaluga; Robert Seifert; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCIDs:,0000-0002-3522-8932; 0000-0003-4632-0301; 0000-0001-7688-1439; 0000-0002-4404-8116; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publications:,"DOI: 10.1080/01926230600867727; Anatomy, Lymph Nodes. Iulia Bujoreanu and Vikas Gupta. 2021. https://www.ncbi.nlm.nih.gov/books/NBK557717; Tumors of the Lymph Node and Spleen. L. Jeffrey Medeiros, Dennis P. O’Malley, Nancy P. Caraway, Francisco Vega,Kojo S.J. Elenitoba-Johnson and Megan S. Lim. AFIP Atlas ofTumor Pathology. Series 4. Fascicle 25. Silver Spring, Maryland: American Registry of Pathology; 2017. ISBN 978-1933477-38-1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM437.JQVC.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,5/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/3/NOTES,AS/4,AS/4/LABEL,AS/4/ID,AS/4/NOTES,AS/5,AS/5/LABEL,AS/5/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,"All Protein Biomarkers from Antibody Based Assays IHC, FACS",Transcriptomics/With References ,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/8,BGene/8/LABEL,BGene/8/ID,BGene/9,BGene/9/LABEL,BGene/9/ID,BGene/10,BGene/10/LABEL,BGene/10/ID,BGene/11,BGene/11/LABEL,BGene/11/ID,BGene/12,BGene/12/LABEL,BGene/12/ID,BGene/13,BGene/13/LABEL,BGene/13/ID,BGene/14,BGene/14/LABEL,BGene/14/ID,BGene/15,BGene/15/LABEL,BGene/15/ID,BGene/16,BGene/16/LABEL,BGene/16/ID,BGene/17,BGene/17/LABEL,BGene/17/ID,BGene/18,BGene/18/LABEL,BGene/18/ID,BGene/19,BGene/19/LABEL,BGene/19/ID,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/6,BProtein/6/LABEL,BProtein/6/ID,BProtein/7,BProtein/7/LABEL,BProtein/7/ID,BProtein/8,BProtein/8/LABEL,BProtein/8/ID,BProtein/9,BProtein/9/LABEL,BProtein/9/ID,BProtein/10,BProtein/10/LABEL,BProtein/10/ID,BProtein/11,BProtein/11/LABEL,BProtein/11/ID,BProtein/12,BProtein/12/LABEL,BProtein/12/ID,BProtein/13,BProtein/13/LABEL,BProtein/13/ID,BProtein/14,BProtein/14/LABEL,BProtein/14/ID,BProtein/15,BProtein/15/LABEL,BProtein/15/ID,BProtein/16,BProtein/16/LABEL,BProtein/16/ID,FTU,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES,REF/3,REF/3/DOI,REF/3/NOTES
lymph node,lymph node,UBERON:0000029,Capsule,capsule of lymph node,UBERON:0002194,,,,,,,,,,,,Myofibroblast,myofibroblast cell,CL:0000186,,"Collagen I+, Collagen III+, Elastin+, Desmin+/-, Smooth Muscle Actin+, Vimentin +/-","ACTA2, COL1A1, COL3A1 Predicted",ACTA2,ACTA2,HGNC:130,COL1A1,COL1A1,HGNC: 2197,COL3A1,COL3A1,HGNC: 2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collagen I+,COL1A1,HGNC: 2197,Collagen III+,COL3A1,HGNC: 2201,Elastin+,ELN,HGNC:3327,Desmin+/-,DES,HGNC:2770,Smooth Muscle Actin+,ACTA2,HGNC:130,Vimentin +/-,VIM,HGNC:12692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pernick N. Anatomy-lymph nodes. PathologyOutlines.com website.,No DOI,"AS-CT,CT","Toccanier-Pelte MF, Skalli O, Kapanci Y, Gabbiani G. Characterization of stromal cells with myoid features in lymph nodes and spleen in normal and pathologic conditions. Am J Pathol. 1987 Oct;1291:109-18. PMID: 3310649; PMCID: PMC1899700.",No DOI,B,"Šajdíková, M., & Fontana, J. 2014. Lymphatic System and Immunity / Lymphatic vessels and lymph. In Functions of Cells and Human Body. Prague: 3rd Faculty of Medicine, Charles Universit.",No DOI,"AS-CT, B"
lymph node,lymph node,UBERON:0000029,Capsule,capsule of lymph node,UBERON:0002194,Arteriole,arteriole of lymph node,UBERON:8410042,,,,,,,,,Blood Vessel Endothelial Cell,blood vessel endothelial cell,CL:0000071,,"CD31+, CD34+, CD59+, CD105+, CD144+, Podoplanin-, PROX-1-","CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1, PECAM1 inferred general signature from Takeda 2020",CAV1,CAV1,HGNC:1527,CCL14,CCL14,HGNC:10612,CD34,CD34,HGNC:1662,CD74,CD74,HGNC:1697,CD209,CD209,HGNC:1641,CD300LG,CD300LG,HGNC:30455,DARC,ACKR1,HGNC:4035,EMCN,EMCN,HGNC:16041,ESAM,ESAM,HGNC:17474,ICAM1,ICAM1,HGNC:5344,JAM2,JAM2,HGNC:14686,HLA-DRA,HLA-DRA,HGNC:4947,HLA-DRB1,HLA-DRB1,HGNC:4948,HLA-DPA1,HLA-DPA1,HGNC:4938,HLA-DPB1,HLA-DPB1,HGNC:4940,MARCO,MARCO,HGNC: 6895,PLVAP,PLVAP,HGNC:13635,PVRL2,NECTIN2,HGNC:9707,SPARCL1,SPARCL1,HGNC:11220,CD31+,PECAM1,HGNC:8823,CD34+,CD34,HGNC:1662,CD59+,CD59,HGNC:1689,CD105+,"ENG, endoglin",HGNC:3349,CD144+,CDH5,HGNC:1764,Podoplanin-,PDPN,HGNC:29602,PROX-1-,PROX1,HGNC:9459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Park SM, Angel CE, McIntosh JD, Mansell C, Chen CJ, Cebon J, Dunbar PR. Mapping the distinctive populations of lymphatic endothelial cells in different zones of human lymph nodes. PLoS One. 2014 Apr 14;94:e94781. doi: 10.1371/journal.pone.0094781. Erratum in: PLoS One. 2014;98:e106814. Mansell, Claudia M [corrected to Mansell, Claudia J]. PMID: 24733110; PMCID: PMC3986404.",DOI: 10.1371/journal.pone.0094781,"CT, B","Pusztaszeri MP, Seelentag W, Bosman FT. Immunohistochemical expression of endothelial markers CD31, CD34, von Willebrand factor, and Fli-1 in normal human tissues. J Histochem Cytochem. 2006 Apr;544:385-95. doi: 10.1369/jhc.4A6514.2005. Epub 2005 Oct 18. PMID: 16234507.",DOI: 10.1369/jhc.4A6514.2005,"AS-CT,CT,B",Atlas of Head and Neck Pathology- Lymph Nodes and Lymphatics,No DOI,
lymph node,lymph node,UBERON:0000029,Capsule,capsule of lymph node,UBERON:0002194,Venule,venule of lymph node,UBERON:8410041,,,,,,,,,Blood Vessel Endothelial Cell,blood vessel endothelial cell,CL:0000071,,"CD31+, CD34+, CD59+, CD105+, CD144+, Podoplanin-, PROX-1-","CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1, PECAM1 inferred general signature from Takeda 2020",CAV1,CAV1,HGNC:1527,CCL14,CCL14,HGNC:10612,CD34,CD34,HGNC:1662,CD74,CD74,HGNC:1697,CD209,CD209,HGNC:1641,CD300LG,CD300LG,HGNC:30455,DARC,ACKR1,HGNC:4035,EMCN,EMCN,HGNC:16041,ESAM,ESAM,HGNC:17474,ICAM1,ICAM1,HGNC:5344,JAM2,JAM2,HGNC:14686,HLA-DRA,HLA-DRA,HGNC:4947,HLA-DRB1,HLA-DRB1,HGNC:4948,HLA-DPA1,HLA-DPA1,HGNC:4938,HLA-DPB1,HLA-DPB1,HGNC:4940,MARCO,MARCO,HGNC: 6895,PLVAP,PLVAP,HGNC:13635,PVRL2,NECTIN2,HGNC:9707,SPARCL1,SPARCL1,HGNC:11220,CD31+,PECAM1,HGNC:8823,CD34+,CD34,HGNC:1662,CD59+,CD59,HGNC:1689,CD105+,"ENG, endoglin",HGNC:3349,CD144+,CDH5,HGNC:1764,Podoplanin-,PDPN,HGNC:29602,PROX-1-,PROX1,HGNC:9459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Park SM, Angel CE, McIntosh JD, Mansell C, Chen CJ, Cebon J, Dunbar PR. Mapping the distinctive populations of lymphatic endothelial cells in different zones of human lymph nodes. PLoS One. 2014 Apr 14;94:e94781. doi: 10.1371/journal.pone.0094781. Erratum in: PLoS One. 2014;98:e106814. Mansell, Claudia M [corrected to Mansell, Claudia J]. PMID: 24733110; PMCID: PMC3986404.",DOI: 10.1371/journal.pone.0094781,"CT, B","Pusztaszeri MP, Seelentag W, Bosman FT. Immunohistochemical expression of endothelial markers CD31, CD34, von Willebrand factor, and Fli-1 in normal human tissues. J Histochem Cytochem. 2006 Apr;544:385-95. doi: 10.1369/jhc.4A6514.2005. Epub 2005 Oct 18. PMID: 16234507.",DOI: 10.1369/jhc.4A6514.2005,"AS-CT,CT,B",Atlas of Head and Neck Pathology- Lymph Nodes and Lymphatics,No DOI,
lymph node,lymph node,UBERON:0000029,Capsule,capsule of lymph node,UBERON:0002194,Trabeculae,trabecula of lymph node,UBERON:0002195,,,,,,,,,Myofibroblast,myofibroblast cell,CL:0000186,,"Collagen I+, Collagen III+, Elastin+, Desmin+/-, Smooth Muscle Actin+, Vimentin +/-","ACTA2, COL1A1, COL3A1 Predicted",ACTA2,ACTA2,HGNC:130,COL1A1,COL1A1,HGNC: 2197,COL3A1,COL3A1,HGNC: 2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collagen I+,COL1A1,HGNC: 2197,Collagen III+,COL3A1,HGNC: 2201,Elastin+,ELN,HGNC:3327,Desmin+/-,DES,HGNC:2770,Smooth Muscle Actin+,ACTA2,HGNC:130,Vimentin +/-,VIM,HGNC:12692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Šajdíková, M., & Fontana, J. 2014. Lymphatic System and Immunity / Lymphatic vessels and lymph. In Functions of Cells and Human Body. Prague: 3rd Faculty of Medicine, Charles Universit.",No DOI,"AS-CT, B","Folse DS, Beathard GA, Granholm NA. Smooth muscle in lymph node capsule and trabeculae. Anat Rec. 1975 Dec;1834:517-21. doi: 10.1002/ar.1091830404. PMID: 1200408.",DOI: 10.1002/ar.1091830404,"CT, B",,,
lymph node,lymph node,UBERON:0000029,Capsule,capsule of lymph node,UBERON:0002194,Trabeculae,trabecula of lymph node,UBERON:0002195,,Arteriole,arteriole of lymph node,UBERON:8410042,,,,,Blood Vessel Endothelial Cell,blood vessel endothelial cell,CL:0000071,,"CD31+, CD34+, CD105+, CD144+, Podoplanin-, PROX-1-","CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1, PECAM1 inferred general signature from Takeda 2020",CAV1,CAV1,HGNC:1527,CCL14,CCL14,HGNC:10612,CD34,CD34,HGNC:1662,CD74,CD74,HGNC:1697,CD209,CD209,HGNC:1641,CD300LG,CD300LG,HGNC:30455,DARC,ACKR1,HGNC:4035,EMCN,EMCN,HGNC:16041,ESAM,ESAM,HGNC:17474,ICAM1,ICAM1,HGNC:5344,JAM2,JAM2,HGNC:14686,HLA-DRA,HLA-DRA,HGNC:4947,HLA-DRB1,HLA-DRB1,HGNC:4948,HLA-DPA1,HLA-DPA1,HGNC:4938,HLA-DPB1,HLA-DPB1,HGNC:4940,MARCO,MARCO,HGNC: 6895,PLVAP,PLVAP,HGNC:13635,PVRL2,NECTIN2,HGNC:9707,SPARCL1,SPARCL1,HGNC:11220,CD31+,PECAM1,HGNC:8823,CD34+,CD34,HGNC:1662,CD105+,"ENG, endoglin",HGNC:3349,CD144+,CDH5,HGNC:1764,Podoplanin-,PDPN,HGNC:29602,PROX-1-,PROX1,HGNC:9459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Park SM, Angel CE, McIntosh JD, Mansell C, Chen CJ, Cebon J, Dunbar PR. Mapping the distinctive populations of lymphatic endothelial cells in different zones of human lymph nodes. PLoS One. 2014 Apr 14;94:e94781. doi: 10.1371/journal.pone.0094781. Erratum in: PLoS One. 2014;98:e106814. Mansell, Claudia M [corrected to Mansell, Claudia J]. PMID: 24733110; PMCID: PMC3986404.",DOI: 10.1371/journal.pone.0094781,"CT, B","Pusztaszeri MP, Seelentag W, Bosman FT. Immunohistochemical expression of endothelial markers CD31, CD34, von Willebrand factor, and Fli-1 in normal human tissues. J Histochem Cytochem. 2006 Apr;544:385-95. doi: 10.1369/jhc.4A6514.2005. Epub 2005 Oct 18. PMID: 16234507.",DOI: 10.1369/jhc.4A6514.2005,"AS-CT,CT,B",,,
lymph node,lymph node,UBERON:0000029,Capsule,capsule of lymph node,UBERON:0002194,Trabeculae,trabecula of lymph node,UBERON:0002195,,Venule,venule of lymph node,UBERON:8410041,,,,,Pericyte,pericyte cell,CL:0000669,,"PDGFRalpha+, PDGFRbeta+","PDGFRalpha+, PDGFRbeta+ Xiang et al., 2020",PDGFRalpha+,PDGFRA,HGNC:8803,PDGFRbeta+,PDGFRB,HGNC:8804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDGFRalpha+,PDGFRA,HGNC:8803,PDGFRbeta+,PDGFRB,HGNC:8804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Xiang M, Grosso RA, Takeda A, Pan J, Bekkhus T, Brulois K, Dermadi D, Nordling S, Vanlandewijck M, Jalkanen S, Ulvmar MH, Butcher EC. A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature. Front Cardiovasc Med. 2020 Apr 30;7:52. doi: 10.3389/fcvm.2020.00052. PMID: 32426372; PMCID: PMC7204639.",DOI: 10.3389/fcvm.2020.00052,"AS-CT, CT-B",,,,,,
lymph node,lymph node,UBERON:0000029,Subcapsular Sinus,subcapsular sinus of lymph node,UBERON:0005463,Afferent lymphatic vessel,afferent lymphatic vessel,UBERON:0010396,,Lymphatic Vessels,lymphatic vessel,UBERON:0001473,,,,,Endothelial Cell of Lymphatic Vessel,endothelial cell of lymphatic vessel,CL:0002138,,"ACKR4+, CAV1+, CD31+, CD45-, CD73+, Claudin11-, Lyve1-, MARCO-, MFAP4+, Podoplanin+, Prox-1+, TNFRSF9-","ACKR4, CAV1, NUDT4, NT5E Takeda et al., 2019; Xiang et al., 2020",ACKR4,ACKR4,HGNC:1611,CAV1,CAV1,HGNC:1527,NUDT4,NUDT4,HGNC:8051,NT5E,NT5E,HGNC:8021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACKR4+,ACKR4,HGNC:1611,CAV1+,CAV1,HGNC:1527,CD31+,PECAM1,HGNC: 8823,CD45-,PTPRC,HGNC:9666,CD73+,NT5E,HGNC:8021,Claudin11-,CLDN11,HGNC:8514,Lyve1-,LYVE1,HGNC:14687,MARCO-,MARCO,HGNC:6895,MFAP4+,MFAP4,HGNC:7035,Podoplanin+,PDPN,HGNC:29602,Prox-1+,PROX 1,HGNC:9459,TNFRSF9-,TNFRSF9,HGNC:11924,,,,,,,,,,,,,,"Xiang M, Grosso RA, Takeda A, Pan J, Bekkhus T, Brulois K, Dermadi D, Nordling S, Vanlandewijck M, Jalkanen S, Ulvmar MH, Butcher EC. A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature. Front Cardiovasc Med. 2020 Apr 30;7:52. doi: 10.3389/fcvm.2020.00052. PMID: 32426372; PMCID: PMC7204639.",DOI: 10.3389/fcvm.2020.00052,"AS, CT, B","Takeda A, Hollmén M, Dermadi D, Pan J, Brulois KF, Kaukonen R, Lönnberg T, Boström P, Koskivuo I, Irjala H, Miyasaka M, Salmi M, Butcher EC, Jalkanen S. Single-Cell Survey of Human Lymphatics Unveils Marked Endothelial Cell Heterogeneity and Mechanisms of Homing for Neutrophils. Immunity. 2019 Sep 17;513:561-572.e5. doi: 10.1016/j.immuni.2019.06.027. Epub 2019 Aug 8. PMID: 31402260.",DOI: 10.1016/j.immuni.2019.06.027,"AS-CT, CT, B",,,
lymph node,lymph node,UBERON:0000029,Subcapsular Sinus,subcapsular sinus of lymph node,UBERON:0005463,Afferent lymphatic vessel,afferent lymphatic vessel,UBERON:0010396,,Lymphatic Vessels,lymphatic vessel,UBERON:0001473,,,,,Smooth Muscle Cell,Lymphatic vessel smooth muscle cell,CL:0019017,,Smooth Muscle Actin+,ACTA2 Predicted,ACTA2,ACTA2,HGNC:130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smooth Muscle Actin+,ACTA2,HGNC:130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jalkanen S, Salmi M. Lymphatic endothelial cells of the lymph node. Nat Rev Immunol. 2020 Sep;209:566-578. doi: 10.1038/s41577-020-0281-x. Epub 2020 Feb 24. PMID: 32094869.",DOI: 10.1038/s41577-020-0281-x,AS-CT,"Breslin JW, Yang Y, Scallan JP, Sweat RS, Adderley SP, Murfee WL. Lymphatic Vessel Network Structure and Physiology. Compr Physiol. 2018 Dec 13;91:207-299. doi: 10.1002/cphy.c180015. PMID: 30549020; PMCID: PMC6459625.",DOI: 10.1002/cphy.c180015,B,,,
lymph node,lymph node,UBERON:0000029,Subcapsular Sinus,subcapsular sinus of lymph node,UBERON:0005463,,,,,,,,,,,,Macrophage,lymph node subcapsular sinus macrophage,CL:0000887,,"CD4+, CD11c+, CD14+, CD68+, CD163+, CD169+, CD206+, DC-SIGN+","CD4, CD14, HLA-DRA, ITGAX General macrophage signature from James et al., 2020; Predicted: CD68, CD163, CD209, MRC1, SIGLEC1",CD4,CD4,HGNC:1678,CD14,CD14,HGNC:1628,HLA-DRA,HLA-DRA,HGNC:4947,ITGAX,ITGAX,HGNC:6152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD4+,CD4,HGNC:1678,CD11c+,ITGAX,HGNC:6152,CD14+,CD14,HGNC:1628,CD68+,CD68,HGNC:1693,CD163+,CD163,HGNC:1631,CD169+,SIGLEC1,HGNC:11127,CD206+,MRC1,HGNC:7228,DC-SIGN+,CD209,HGNC:1641,,,,,,,,,,,,,,,,,,,,,,,,,,"Angel CE, Chen CJ, Horlacher OC, Winkler S, John T, Browning J, MacGregor D, Cebon J, Dunbar PR. Distinctive localization of antigen-presenting cells in human lymph nodes. Blood. 2009 Feb 5;1136:1257-67. doi: 10.1182/blood-2008-06-165266. Epub 2008 Nov 5. PMID: 18987360; PMCID: PMC2687552.",DOI: 10.1182/blood-2008-06-165266,"AS-CT,CT-B","Nguyen TT, Schwartz EJ, West RB, Warnke RA, Arber DA, Natkunam Y. Expression of CD163 hemoglobin scavenger receptor in normal tissues, lymphomas, carcinomas, and sarcomas is largely restricted to the monocyte/macrophage lineage. Am J Surg Pathol. 2005 May;295:617-24. doi: 10.1097/01.pas.0000157940.80538.ec. PMID: 15832085.",DOI: 10.1097/01.pas.0000157940.80538.ec,B,"Egan C, Jaffe ES. Non-neoplastic histiocytic and dendritic cell disorders in lymph nodes. Semin Diagn Pathol. 2018 Jan;351:20-33. doi: 10.1053/j.semdp.2017.11.002. Epub 2017 Nov 3. PMID: 29150219; PMCID: PMC5803315.",DOI: 10.1053/j.semdp.2017.11.002,"CT,B"
lymph node,lymph node,UBERON:0000029,Subcapsular Sinus,subcapsular sinus of lymph node,UBERON:0005463,,,,,,,,,,,,Marginal Reticular Cell,ymph node marginal reticular cell,CL:0009103 l,Addied to CL,"CD31-, CXCL13+, Desmin+, Podoplanin+, Smooth Muscle Actin+, Vimentin+","CXCL13, ENPP2, TNFSF11 Predicted from mouse-Rodda et al., 2018",CXCL13,CXCL13,HGNC:10639,ENPP2,ENPP2,HGNC:3357,TNFSF11,TNFSF11,HGNC:11926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD31-,PECAM1,HGNC: 8823,CXCL13+,CXCL13,HGNC:10639,Desmin+,DES,HGNC:2770,Podoplanin+,PDPN,HGNC:29602,Smooth Muscle Actin+,ACTA2,HGNC:130,Vimentin+,VIM,HGNC:12692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Link A, Hardie DL, Favre S, Britschgi MR, Adams DH, Sixt M, Cyster JG, Buckley CD, Luther SA. Association of T-zone reticular networks and conduits with ectopic lymphoid tissues in mice and humans. Am J Pathol. 2011 Apr;1784:1662-75. doi: 10.1016/j.ajpath.2010.12.039. PMID: 21435450; PMCID: PMC3070229.",DOI: 10.1016/j.ajpath.2010.12.039,"CT,B","Fletcher AL, Malhotra D, Acton SE, Lukacs-Kornek V, Bellemare-Pelletier A, Curry M, Armant M, Turley SJ. Reproducible isolation of lymph node stromal cells reveals site-dependent differences in fibroblastic reticular cells. Front Immunol. 2011 Sep 12;2:35. doi: 10.3389/fimmu.2011.00035. PMID: 22566825; PMCID: PMC3342056.",DOI: 10.3389/fimmu.2011.00035,B,"Valencia J, Jiménez E, Martínez VG, Del Amo BG, Hidalgo L, Entrena A, Fernández-Sevilla LM, Del Río F, Varas A, Vicente Á, Sacedón R. Characterization of human fibroblastic reticular cells as potential immunotherapeutic tools. Cytotherapy. 2017 May;195:640-653. doi: 10.1016/j.jcyt.2017.01.010. Epub 2017 Mar 2. PMID: 28262465.",DOI: 10.1016/j.jcyt.2017.01.010,AS-CT
