"Anatomical Structures, Cell Types and Biomarkers Table for Brain v1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Jeremy A. Miller; Raymond Sanchez; Richard Scheuermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-4549-588X; 0000-0001-9141-090X; 0000-0003-1355-892X ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Ed Lein; David Osumi-Sutherland; Ellen M. Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0001-9012-6552; 0000-0002-7073-9172; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"DOI: 10.1002/cne.24080, DOI: 10.1038/s41586-021-03465-8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM527.JQCW.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,5/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,All Gene Biomarkers,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1 LAMP5 PVRL2,Inh L1 LAMP5 PVRL2 primary motor cortex GABAergic interneuron (Homo sapiens),PCL:0015001,,"CBLN4, HS3ST5, RELN, TRPC3",CBLN4,cerebellin 4 precursor,HGNC:16231,HS3ST5,,,RELN,,,TRPC3,,,,,,,,,,,,"Bakken, Trygve E et al. 2021. “Comparative Cellular Analysis of Motor Cortex in Human, Marmoset and Mouse.” Nature 598 (7879): 111–19. https://doi.org/10.1038/s41586-021-03465-8.",DOI: 10.1038/s41586-021-03465-8,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1 LAMP5 RAB11FIP1,Inh L1 LAMP5 RAB11FIP1 primary motor cortex GABAergic interneuron (Homo sapiens),PCL:0015002,,"ADAMTS20, FREM1, MYH11",ADAMTS20,ADAM metallopeptidase with thrombospondin type 1 motif 20,HGNC:17178,FREM1,,,MYH11,,,,,,,,,,,,,,,"Bakken, Trygve E et al. 2021. “Comparative Cellular Analysis of Motor Cortex in Human, Marmoset and Mouse.” Nature 598 (7879): 111–19. https://doi.org/10.1038/s41586-021-03465-8.",DOI: 10.1038/s41586-021-03465-8,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-6 LAMP5 AARD,Inh L1-6 LAMP5 AARD primary motor cortex GABAergic interneuron (Homo sapiens),PCL:0015003,,"FBXL7, FREM1, KIT, PRELID2",FBXL7,F-box and leucine rich repeat protein 7,HGNC:13604,FREM1,,,KIT,,,PRELID2,,,,,,,,,,,,"Bakken, Trygve E et al. 2021. “Comparative Cellular Analysis of Motor Cortex in Human, Marmoset and Mouse.” Nature 598 (7879): 111–19. https://doi.org/10.1038/s41586-021-03465-8.",DOI: 10.1038/s41586-021-03465-8,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-6 LAMP5 NES,Inh L1-6 LAMP5 NES primary motor cortex GABAergic interneuron (Homo sapiens),PCL:0015004,,"EPHA3, EYA4, KIT, NTNG1, RO",EPHA3,EPH receptor A3,HGNC:3387,EYA4,,,KIT,,,NTNG1,,,RO,,,,,,,,,"Bakken, Trygve E et al. 2021. “Comparative Cellular Analysis of Motor Cortex in Human, Marmoset and Mouse.” Nature 598 (7879): 111–19. https://doi.org/10.1038/s41586-021-03465-8.",DOI: 10.1038/s41586-021-03465-8,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-6 LAMP5 CA1,Inh L1-6 LAMP5 CA1 primary motor cortex GABAergic interneuron (Homo sapiens),PCL:0015005,,"HS3ST4, NOS1",HS3ST4,heparan sulfate-glucosamine 3-sulfotransferase 4,HGNC:5200,NOS1,,,,,,,,,,,,,,,,,,"Bakken, Trygve E et al. 2021. “Comparative Cellular Analysis of Motor Cortex in Human, Marmoset and Mouse.” Nature 598 (7879): 111–19. https://doi.org/10.1038/s41586-021-03465-8.",DOI: 10.1038/s41586-021-03465-8,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L5-6 LAMP5 CRABP1,Inh L5-6 LAMP5 CRABP1 primary motor cortex GABAergic interneuron (Homo sapiens),PCL:0015006,,"LOC105379168, PDGFD",LOC105379168,Uncharacterized LOC105379168,LOC105379168,PDGFD,,,,,,,,,,,,,,,,,,"Bakken, Trygve E et al. 2021. “Comparative Cellular Analysis of Motor Cortex in Human, Marmoset and Mouse.” Nature 598 (7879): 111–19. https://doi.org/10.1038/s41586-021-03465-8.",DOI: 10.1038/s41586-021-03465-8,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L3-6 PAX6 LINC01497,Inh L3-6 PAX6 LINC01497 primary motor cortex GABAergic interneuron (Homo sapiens),PCL:0015007,,"PALMD, RELN",PALMD,palmdelphin,HGNC:15846,RELN,,,,,,,,,,,,,,,,,,"Bakken, Trygve E et al. 2021. “Comparative Cellular Analysis of Motor Cortex in Human, Marmoset and Mouse.” Nature 598 (7879): 111–19. https://doi.org/10.1038/s41586-021-03465-8.",DOI: 10.1038/s41586-021-03465-8,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1 PAX6 MIR101-1,Inh L1 PAX6 MIR101-1 primary motor cortex GABAergic interneuron (Homo sapiens),PCL:0015008,,"RELN, TGFBR2",RELN,reelin,HGNC:9957,TGFBR2,,,,,,,,,,,,,,,,,,"Bakken, Trygve E et al. 2021. “Comparative Cellular Analysis of Motor Cortex in Human, Marmoset and Mouse.” Nature 598 (7879): 111–19. https://doi.org/10.1038/s41586-021-03465-8.",DOI: 10.1038/s41586-021-03465-8,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1 LAMP5 BMP2,Inh L1 LAMP5 BMP2 primary motor cortex GABAergic interneuron (Homo sapiens),PCL:0015014,,"COL5A2, FREM1",COL5A2,collagen type V alpha 2 chain,HGNC:2210,FREM1,,,,,,,,,,,,,,,,,,"Bakken, Trygve E et al. 2021. “Comparative Cellular Analysis of Motor Cortex in Human, Marmoset and Mouse.” Nature 598 (7879): 111–19. https://doi.org/10.1038/s41586-021-03465-8.",DOI: 10.1038/s41586-021-03465-8,,,,
brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1 LAMP5 NMBR,Inh L1 LAMP5 NMBR primary motor cortex GABAergic interneuron (Homo sapiens),PCL:0015015,,"PCDH18, RELN",PCDH18,protocadherin 18,HGNC:14268,RELN,,,,,,,,,,,,,,,,,,"Bakken, Trygve E et al. 2021. “Comparative Cellular Analysis of Motor Cortex in Human, Marmoset and Mouse.” Nature 598 (7879): 111–19. https://doi.org/10.1038/s41586-021-03465-8.",DOI: 10.1038/s41586-021-03465-8,,,,
