"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 17 19:31:33 GMT 2022","Thu Nov 17 19:31:33 GMT 2022","2","chromium","features/filter/utils.test.ts","filter > Ontology > findOntologyParentNode","","","finds parent of HsapDv:0000002",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","7","chromium","common/queries/filter.test.ts","filter > Calculate Date Bins","","","calculates bins for 4 months since publication",""
"passed","Thu Nov 17 19:31:33 GMT 2022","Thu Nov 17 19:31:33 GMT 2022","1","chromium","features/filter/utils.test.ts","filter > Format Number to Scale","","","formats 140000 to 140k",""
"skipped","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","0","chromium","features/collection/revision.test.ts","Collection Revision","","","allows editing",""
"passed","Thu Nov 17 19:31:33 GMT 2022","Thu Nov 17 19:31:33 GMT 2022","1","chromium","features/filter/utils.test.ts","filter > Ontology > getOntologyKey","","","returns MmusDv for MmusDv:0000042",""
"passed","Thu Nov 17 19:32:02 GMT 2022","Thu Nov 17 19:32:12 GMT 2022","9614","chromium","features/tosAndPrivacy.test.ts","ToS and Privacy","","","renders the the ToS Page",""
"skipped","Thu Nov 17 19:32:20 GMT 2022","Thu Nov 17 19:32:20 GMT 2022","1","chromium","features/wheresMyGene.test.ts","Where's My Gene","","","renders the getting started UI",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","17","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > buildMultiPanelCategoryView > system, all system's organs and tissues selected with one tissue not selected","","","includes hematopoietic system and blood partially selected and bone marrow, spleen, thymus, blood non-specific, umbilical cord blood selected",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","3","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Curated Ontology Category > buildNextOntologyCategoryFilters","","","selects leaf HsapDv:0000003, no siblings currently selected",""
"passed","Thu Nov 17 19:31:33 GMT 2022","Thu Nov 17 19:31:33 GMT 2022","0","chromium","features/filter/utils.test.ts","filter > Format Number to Scale","","","formats 160000 to 160k",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","15","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > buildMultiPanelCategoryView > system and a mix of system's organs and tissues all selected with one tissue not selected","","","includes hematopoietic system partially selected and bone marrow, spleen, thymus, blood non-specific, umbilical cord blood selected",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","2","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > listMultiPanelSelectedViews","","","rolls up selected system and all selected system's organs to just system",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","25","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > buildMultiPanelCategoryView > organ and all organ's tissues selected","","","includes blood, blood non-specific, umbilical cord blood, venous blood selected",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","4","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > buildMultiPanelCategoryView > nothing selected","","","includes all views",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","9","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > buildUINodesByCategoryValueId","","","builds parent child relationships for hematopoietic system",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","1","chromium","features/filter/utils.test.ts","filter > Format Number to Scale","","","formats 60 to 60",""
"passed","Thu Nov 17 19:31:33 GMT 2022","Thu Nov 17 19:31:33 GMT 2022","1","chromium","features/filter/utils.test.ts","filter > Ontology > getOntologyKey","","","returns HsapDv for HsapDv:0000045",""
"passed","Thu Nov 17 19:31:33 GMT 2022","Thu Nov 17 19:31:33 GMT 2022","1","chromium","features/filter/utils.test.ts","filter > Format Number to Scale","","","formats 240000 to 240k",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","2","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > listMultiPanelSelectedViews","","","builds selected views for tissue",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","3","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > listPartiallySelectedCategoryValues","","","doesn't lists organ as partially selected if all children tissue are also selected",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","3","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > overrideSelectedParents > cell type","","","overrides cell classes with selected cell type",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","2","chromium","common/queries/filter.test.ts","filter > Calculate Months Since Publication","","","calculates six months since publication",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","7","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Curated Ontology Category > buildNextOntologyCategoryFilters","","","de-selects leaf HsapDv:0000003, ancestor currently selected",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","5","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Curated Ontology Category > buildNextOntologyCategoryFilters","","","selects node HsapDv:0000002, nothing currently selected",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","2","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > buildUINodesByCategoryValueId","","","builds parent child relationships for ureter",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","1","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Multi-Panel Category > buildMultiPanelCategoryView > system (containing no organs) selected","","","includes all systems, no organs and filtered tissues",""
"passed","Thu Nov 17 19:31:32 GMT 2022","Thu Nov 17 19:31:32 GMT 2022","3","chromium","features/filter/useCategoryFilter.test.ts","useCategoryFilter > Curated Ontology Category > buildNextOntologyCategoryFilters","","","de-selects leaf HsapDv:0000003, with siblings",""
