
[                                        ] | 0% Completed | 165.64 us
[                                        ] | 0% Completed | 460.22 ms
[                                        ] | 0% Completed | 813.44 ms
[                                        ] | 1% Completed | 935.73 ms
[                                        ] | 1% Completed | 1.29 s
[#                                       ] | 2% Completed | 1.52 s
[#                                       ] | 2% Completed | 1.64 s
[#                                       ] | 2% Completed | 2.12 s
[#                                       ] | 2% Completed | 2.24 s
[#                                       ] | 4% Completed | 2.41 s
[##                                      ] | 5% Completed | 2.84 s
[##                                      ] | 5% Completed | 2.99 s
[##                                      ] | 5% Completed | 3.13 s
[###                                     ] | 8% Completed | 3.55 s
[###                                     ] | 8% Completed | 3.67 s
[###                                     ] | 8% Completed | 3.80 s
[###                                     ] | 8% Completed | 3.99 s
[###                                     ] | 8% Completed | 4.14 s
[###                                     ] | 9% Completed | 4.26 s
[####                                    ] | 11% Completed | 4.38 s
[#####                                   ] | 12% Completed | 4.57 s
[#####                                   ] | 12% Completed | 5.01 s
[#####                                   ] | 12% Completed | 5.19 s
[#####                                   ] | 12% Completed | 5.32 s
[#####                                   ] | 12% Completed | 5.45 s
[######                                  ] | 15% Completed | 5.55 s
[######                                  ] | 16% Completed | 5.86 s
[#######                                 ] | 18% Completed | 6.90 s
[#######                                 ] | 19% Completed | 7.09 s
[########                                ] | 20% Completed | 7.24 s
[########                                ] | 20% Completed | 7.79 s
[########                                ] | 20% Completed | 8.08 s
[#########                               ] | 23% Completed | 8.72 s
[##########                              ] | 25% Completed | 8.87 s
[##########                              ] | 25% Completed | 8.99 s
[###########                             ] | 27% Completed | 9.37 s
[###########                             ] | 27% Completed | 9.93 s
[############                            ] | 30% Completed | 10.23 s
[############                            ] | 30% Completed | 10.34 s
[############                            ] | 30% Completed | 10.47 s
[############                            ] | 30% Completed | 11.34 s
[############                            ] | 31% Completed | 11.74 s
[#############                           ] | 33% Completed | 11.88 s
[#############                           ] | 34% Completed | 12.07 s
[#############                           ] | 34% Completed | 12.25 s
[#############                           ] | 34% Completed | 12.47 s
[##############                          ] | 36% Completed | 12.67 s
[###############                         ] | 37% Completed | 12.99 s
[###############                         ] | 37% Completed | 13.26 s
[###############                         ] | 37% Completed | 13.42 s
[################                        ] | 40% Completed | 13.62 s
[################                        ] | 40% Completed | 13.82 s
[################                        ] | 40% Completed | 13.93 s
[################                        ] | 41% Completed | 14.07 s
[#################                       ] | 43% Completed | 14.29 s
[#################                       ] | 43% Completed | 14.62 s
[#################                       ] | 44% Completed | 14.92 s
[##################                      ] | 47% Completed | 15.87 s
[##################                      ] | 47% Completed | 16.13 s
[##################                      ] | 47% Completed | 16.44 s
[##################                      ] | 47% Completed | 16.88 s
[####################                    ] | 51% Completed | 17.54 s
[####################                    ] | 51% Completed | 17.66 s
[#####################                   ] | 52% Completed | 17.86 s
[#####################                   ] | 52% Completed | 18.19 s
[#####################                   ] | 52% Completed | 18.31 s
[######################                  ] | 55% Completed | 18.61 s
[######################                  ] | 55% Completed | 18.81 s
[######################                  ] | 56% Completed | 19.16 s
[######################                  ] | 56% Completed | 19.60 s
[#######################                 ] | 58% Completed | 19.72 s
[########################                ] | 61% Completed | 20.51 s
[########################                ] | 61% Completed | 20.88 s
[#########################               ] | 63% Completed | 21.23 s
[#########################               ] | 63% Completed | 21.76 s
[#########################               ] | 63% Completed | 22.02 s
[##########################              ] | 65% Completed | 22.28 s
[##########################              ] | 66% Completed | 22.86 s
[###########################             ] | 68% Completed | 23.01 s
[###########################             ] | 69% Completed | 23.15 s
[###########################             ] | 69% Completed | 23.32 s
[############################            ] | 70% Completed | 23.67 s
[############################            ] | 72% Completed | 23.87 s
[############################            ] | 72% Completed | 24.07 s
[############################            ] | 72% Completed | 24.25 s
[############################            ] | 72% Completed | 24.81 s
[##############################          ] | 75% Completed | 25.02 s
[##############################          ] | 75% Completed | 25.21 s
[##############################          ] | 75% Completed | 25.41 s
[##############################          ] | 75% Completed | 25.56 s
[##############################          ] | 76% Completed | 25.68 s
[##############################          ] | 76% Completed | 25.98 s
[##############################          ] | 76% Completed | 26.09 s
[###############################         ] | 79% Completed | 26.32 s
[###############################         ] | 79% Completed | 26.46 s
[################################        ] | 80% Completed | 26.93 s
[################################        ] | 81% Completed | 27.41 s
[#################################       ] | 83% Completed | 27.80 s
[##################################      ] | 86% Completed | 27.94 s
[##################################      ] | 86% Completed | 28.17 s
[##################################      ] | 86% Completed | 28.31 s
[##################################      ] | 86% Completed | 28.63 s
[##################################      ] | 86% Completed | 29.41 s
[###################################     ] | 88% Completed | 30.10 s
[###################################     ] | 88% Completed | 30.25 s
[####################################    ] | 91% Completed | 31.16 s
[#####################################   ] | 94% Completed | 31.27 s
[######################################  ] | 97% Completed | 31.51 s
[######################################  ] | 97% Completed | 32.10 s
[########################################] | 100% Completed | 32.21 s

[                                        ] | 0% Completed | 131.24 us
[                                        ] | 0% Completed | 147.95 ms
[                                        ] | 0% Completed | 948.17 ms
[                                        ] | 0% Completed | 1.20 s
[                                        ] | 0% Completed | 1.30 s
[                                        ] | 0% Completed | 1.40 s
[                                        ] | 0% Completed | 1.50 s
[                                        ] | 0% Completed | 1.61 s
[                                        ] | 0% Completed | 1.72 s
[                                        ] | 0% Completed | 1.83 s
[########################################] | 100% Completed | 1.94 s

[                                        ] | 0% Completed | 159.45 us
[                                        ] | 0% Completed | 169.10 ms
[                                        ] | 0% Completed | 525.42 ms
[                                        ] | 0% Completed | 630.72 ms
[                                        ] | 0% Completed | 901.89 ms
[                                        ] | 0% Completed | 1.14 s
[                                        ] | 0% Completed | 1.42 s
[##                                      ] | 6% Completed | 2.04 s
[###                                     ] | 9% Completed | 2.74 s
[####                                    ] | 11% Completed | 2.94 s
[####                                    ] | 11% Completed | 3.25 s
[######                                  ] | 16% Completed | 3.42 s
[######                                  ] | 16% Completed | 3.74 s
[#######                                 ] | 18% Completed | 3.89 s
