INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:37 {'message': 'No valid keys to delete', 'bucket_name': 'datasets'}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 8, 'sample_keys': ['2a249fa4-f667-4c72-9cf7-09f28eb0d69a-fragment.tsv.bgz', '10c718cc-a623-474b-a68c-9f9fc00ed670.rds', '10c718cc-a623-474b-a68c-9f9fc00ed670.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'artifacts', 'key_count': 1, 'sample_keys': ['10c718cc-a623-474b-a68c-9f9fc00ed670/raw.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['10c718cc-a623-474b-a68c-9f9fc00ed670.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['10c718cc-a623-474b-a68c-9f9fc00ed670.rds']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'cellxgene', 'key_count': 1, 'sample_keys': ['10c718cc-a623-474b-a68c-9f9fc00ed670.cxg/']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['2a249fa4-f667-4c72-9cf7-09f28eb0d69a-fragment.tsv.bgz']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['2a249fa4-f667-4c72-9cf7-09f28eb0d69a-fragment.tsv.bgz.tbi']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'artifacts', 'key_count': 1, 'sample_keys': ['94067a98-eb89-44e2-9df0-ac47a51d6de3/raw.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['94067a98-eb89-44e2-9df0-ac47a51d6de3.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['94067a98-eb89-44e2-9df0-ac47a51d6de3.rds']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'cellxgene', 'key_count': 1, 'sample_keys': ['94067a98-eb89-44e2-9df0-ac47a51d6de3.cxg/']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['12d23e01-2d51-48ab-91a5-f358884ae1f6-fragment.tsv.bgz']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:87 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['12d23e01-2d51-48ab-91a5-f358884ae1f6-fragment.tsv.bgz.tbi']}
