INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/e60e48a9-d5a5-4b3b-9abb-20f774d0fe43', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 875, 'response_time': 0.001674652099609375}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/e60e48a9-d5a5-4b3b-9abb-20f774d0fe43', 'method': 'PATCH', 'content_length': 106}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 337, 'response_time': 0.0020678043365478516}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/b4234730-e164-48fe-9565-1a630330abbc', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 759, 'response_time': 0.0014133453369140625}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/b4234730-e164-48fe-9565-1a630330abbc', 'method': 'PATCH', 'content_length': 106}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 337, 'response_time': 0.001988649368286133}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/fc86dfd0-458e-4f98-bbd8-33ce8cc23d39', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 875, 'response_time': 0.001657724380493164}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/fc86dfd0-458e-4f98-bbd8-33ce8cc23d39', 'method': 'PATCH', 'content_length': 2}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 328, 'response_time': 0.001893758773803711}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/2f64d01c-9062-410d-a4c4-1fc2b280fa2f', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 875, 'response_time': 0.0015213489532470703}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/2f64d01c-9062-410d-a4c4-1fc2b280fa2f', 'method': 'PATCH', 'content_length': 13}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 400, 'content_length': 134, 'response_time': 0.0009620189666748047}}
