INFO     wmg-v2-api:v2.py:96 PRATHAP!!! Profiler stats:          16374 function calls (16227 primitive calls) in 0.055 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.055    0.008 tracer.py:952(func_wrapper)
        7    0.000    0.000    0.055    0.008 query.py:87(expression_summary)
        7    0.008    0.001    0.055    0.008 query.py:121(_query)
        7    0.000    0.000    0.039    0.006 _decorators.py:323(wrapper)
        7    0.000    0.000    0.039    0.006 concat.py:146(concat)
        7    0.000    0.000    0.038    0.005 concat.py:389(__init__)
       14    0.000    0.000    0.037    0.003 multirange_indexing.py:288(__iter__)
        7    0.022    0.003    0.036    0.005 multirange_indexing.py:393(_run_query)
        7    0.000    0.000    0.013    0.002 {method 'to_pandas' of 'pyarrow.lib._PandasConvertible' objects}
        7    0.000    0.000    0.012    0.002 pandas_compat.py:797(table_to_blockmanager)
        7    0.000    0.000    0.009    0.001 pandas_compat.py:903(_deserialize_column_index)
        7    0.000    0.000    0.007    0.001 multi.py:198(new_meth)
        7    0.000    0.000    0.007    0.001 multi.py:501(from_tuples)
        7    0.000    0.000    0.007    0.001 multi.py:435(from_arrays)
        7    0.000    0.000    0.007    0.001 categorical.py:2986(factorize_from_iterables)
       14    0.000    0.000    0.007    0.000 categorical.py:3007(<genexpr>)
        7    0.000    0.000    0.006    0.001 categorical.py:2945(factorize_from_iterable)
        7    0.000    0.000    0.006    0.001 categorical.py:368(__init__)
        7    0.000    0.000    0.004    0.001 multirange_indexing.py:250(__getitem__)
        7    0.000    0.000    0.004    0.001 algorithms.py:593(factorize)
        7    0.000    0.000    0.003    0.000 algorithms.py:530(factorize_array)
        7    0.002    0.000    0.002    0.000 {method 'factorize' of 'pandas._libs.hashtable.StringHashTable' objects}
        7    0.000    0.000    0.002    0.000 multirange_indexing.py:313(_set_ranges)
        7    0.000    0.000    0.002    0.000 pandas_compat.py:1163(_table_to_blocks)
       28    0.000    0.000    0.002    0.000 dtypes.py:185(__init__)
       28    0.000    0.000    0.002    0.000 dtypes.py:334(_finalize)
        7    0.000    0.000    0.002    0.000 pandas_compat.py:1174(_flatten_single_level_multiindex)
       14    0.000    0.000    0.002    0.000 dtypes.py:507(validate_categories)
        7    0.000    0.000    0.002    0.000 multirange_indexing.py:186(getitem_ranges)
    21/14    0.000    0.000    0.002    0.000 base.py:430(__new__)
        7    0.000    0.000    0.001    0.000 multirange_indexing.py:304(_set_pyquery)
2330/2302    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        7    0.001    0.000    0.001    0.000 multirange_indexing.py:545(_get_pyquery)
        7    0.000    0.000    0.001    0.000 concat.py:565(get_result)
        7    0.001    0.000    0.001    0.000 {pyarrow.lib.table_to_blocks}
        7    0.000    0.000    0.001    0.000 multirange_indexing.py:366(__init__)
        7    0.000    0.000    0.001    0.000 base.py:708(_with_infer)
      144    0.000    0.000    0.001    0.000 array_schema.py:318(attr)
        7    0.000    0.000    0.001    0.000 query.py:154(<listcomp>)
       21    0.000    0.000    0.001    0.000 multirange_indexing.py:169(dim_ranges_from_selection)
       38    0.001    0.000    0.001    0.000 multirange_indexing.py:174(<genexpr>)
        7    0.000    0.000    0.001    0.000 pandas_compat.py:1170(<listcomp>)
       21    0.000    0.000    0.001    0.000 pandas_compat.py:726(_reconstruct_block)
       14    0.000    0.000    0.001    0.000 base.py:2381(is_unique)
        7    0.000    0.000    0.001    0.000 concat.py:176(concatenate_managers)
       98    0.000    0.000    0.001    0.000 array_schema.py:155(<genexpr>)
        7    0.000    0.000    0.001    0.000 dataframe_.py:15(check_dataframe_deps)
        7    0.000    0.000    0.001    0.000 {method 'cast' of 'pyarrow.lib.Table' objects}
       21    0.000    0.000    0.001    0.000 api.py:36(make_block)
        7    0.000    0.000    0.001    0.000 {method 'nonempty_domain' of 'tiledb.libtiledb.Array' objects}
      242    0.000    0.000    0.001    0.000 ctx.py:425(from_pybind11)
       28    0.000    0.000    0.001    0.000 version.py:186(__init__)
        7    0.000    0.000    0.001    0.000 multi.py:1108(_engine)
        7    0.000    0.000    0.001    0.000 concat.py:631(_get_new_axes)
      581    0.000    0.000    0.001    0.000 generic.py:45(_instancecheck)
        7    0.000    0.000    0.001    0.000 query.py:66(get_indexed_dims_to_lookup_query_criteria)
        7    0.000    0.000    0.001    0.000 concat.py:633(<listcomp>)
      249    0.000    0.000    0.000    0.000 ctx.py:404(__init__)
      102    0.000    0.000    0.000    0.000 attribute.py:102(dtype)
       14    0.000    0.000    0.000    0.000 construction.py:493(sanitize_array)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      156    0.000    0.000    0.000    0.000 numerictypes.py:356(issubdtype)
        7    0.000    0.000    0.000    0.000 concat.py:199(<listcomp>)
