"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_rollback[rollback_args2]","tests.unit.processing","Thu Apr 17 14:05:35 GMT 2025","passed","Thu Apr 17 14:05:35 GMT 2025","","test_rollback","",""
"","7","test_patch_private_collection_dataset_invalid_status_405","tests.unit.backend.layers.api","Thu Apr 17 14:03:26 GMT 2025","passed","Thu Apr 17 14:03:26 GMT 2025","TestPatchDataset","test_curation_api","",""
"","11","test__get_collection_with_x_approximate_distribution_none__OK","tests.unit.backend.layers.api","Thu Apr 17 14:03:25 GMT 2025","passed","Thu Apr 17 14:03:25 GMT 2025","TestGetCollectionID","test_curation_api","",""
"
        Attempting to set the order of the datasets in a collection version with a list that contains an invalid
        dataset should fail.
        ","6","test_set_collection_version_datasets_order_invalid_dataset_fail","tests.unit.backend.layers.business","Thu Apr 17 14:03:31 GMT 2025","passed","Thu Apr 17 14:03:31 GMT 2025","TestSetCollectionVersionDatasetsOrder","test_business","",""
"","4","test__create_collection__OK","tests.unit.backend.layers.api","Thu Apr 17 14:03:25 GMT 2025","passed","Thu Apr 17 14:03:25 GMT 2025","TestPostCollection","test_curation_api","",""
"","1","test_type_inference[parameters56]","tests.unit.processing","Thu Apr 17 14:05:36 GMT 2025","passed","Thu Apr 17 14:05:36 GMT 2025","","test_type_conversion_utils","",""
"
        Test fetching index of most recently published collection versions with datasets matching a given
        CxG schema version
        ","39","test_get_latest_published_collection_versions_by_schema","tests.unit.backend.layers.business","Thu Apr 17 14:03:32 GMT 2025","passed","Thu Apr 17 14:03:32 GMT 2025","TestGetEntitiesBySchema","test_business","",""
"","1","test_type_inference[parameters77]","tests.unit.processing","Thu Apr 17 14:05:36 GMT 2025","passed","Thu Apr 17 14:05:36 GMT 2025","","test_type_conversion_utils","",""
"","3","test_process_atac_ValidationAtacFailed","tests.unit.processing","Thu Apr 17 14:05:35 GMT 2025","passed","Thu Apr 17 14:05:35 GMT 2025","ProcessingTest","test_processing","",""
"","11577","test__tissue_metadata_generator","tests.unit.backend.cellguide.pipeline","Thu Apr 17 14:04:28 GMT 2025","passed","Thu Apr 17 14:04:39 GMT 2025","TestMetadataGenerator","test_metadata_generator","",""
"","7","test__update_collection_strip_string_fields","tests.unit.backend.layers.api","Thu Apr 17 14:03:26 GMT 2025","passed","Thu Apr 17 14:03:26 GMT 2025","TestPatchCollectionID","test_curation_api","",""
"","0","test_sanitize_api_query_dict[input_query3-expected_sanitized_query3]","tests.unit.backend.wmg.api.common","Thu Apr 17 14:03:18 GMT 2025","passed","Thu Apr 17 14:03:18 GMT 2025","","test_wmg_api_helpers","",""
"
        A collection can be created with a valid DOI, and the publisher metadata will be added
        to the collection
        ","1","test_create_collection_with_valid_doi_ok","tests.unit.backend.layers.business","Thu Apr 17 14:03:30 GMT 2025","passed","Thu Apr 17 14:03:30 GMT 2025","TestCreateCollection","test_business","",""
"","3","test_has_valid_artifact_statuses__invalid_h5ad_status_0","tests.unit.processing","Thu Apr 17 14:05:27 GMT 2025","passed","Thu Apr 17 14:05:27 GMT 2025","TestValidArtifactStatuses","test_dataset_metadata_update","",""
"
        Calling `ingest_dataset` on a collection that does not exist should fail
        ","1","test_add_dataset_to_non_existing_collection_fail","tests.unit.backend.layers.business","Thu Apr 17 14:03:31 GMT 2025","passed","Thu Apr 17 14:03:31 GMT 2025","TestUpdateCollectionDatasets","test_business","",""
"","1","test__link__INVALID[doi-google]","tests.unit.backend.layers.common","Thu Apr 17 14:03:32 GMT 2025","passed","Thu Apr 17 14:03:32 GMT 2025","","test_validation","",""
"","3","test__list_collection_options__allow","tests.unit.backend.layers.api","Thu Apr 17 14:03:29 GMT 2025","passed","Thu Apr 17 14:03:29 GMT 2025","TestCollection","test_portal_api","",""
"","1","test_register_neg","tests.unit.backend.layers.utils","Thu Apr 17 14:03:40 GMT 2025","passed","Thu Apr 17 14:03:40 GMT 2025","TestRegisteredSources","test_uri","",""
"","1","test_type_inference[parameters68]","tests.unit.processing","Thu Apr 17 14:05:36 GMT 2025","passed","Thu Apr 17 14:05:36 GMT 2025","","test_type_conversion_utils","",""
"
        Calling PUT /datasets/:dataset_id should fail with 403 Unauthorized
        if the authenticated user is not the owner of a collection
        ","9","test__from_link__Not_Owner","tests.unit.backend.layers.api","Thu Apr 17 14:03:28 GMT 2025","passed","Thu Apr 17 14:03:28 GMT 2025","TestPutManifest","test_curation_api","",""
"","10","test__delete_public_dataset_returns__405","tests.unit.backend.layers.api","Thu Apr 17 14:03:29 GMT 2025","passed","Thu Apr 17 14:03:29 GMT 2025","TestDataset","test_portal_api","",""
"","1","test_type_inference[parameters58]","tests.unit.processing","Thu Apr 17 14:05:36 GMT 2025","passed","Thu Apr 17 14:05:36 GMT 2025","","test_type_conversion_utils","",""
