
[                                        ] | 0% Completed | 148.46 us
[                                        ] | 0% Completed | 332.76 ms
[                                        ] | 0% Completed | 765.62 ms
[                                        ] | 0% Completed | 946.71 ms
[                                        ] | 0% Completed | 1.25 s
[                                        ] | 2% Completed | 1.36 s
[#                                       ] | 3% Completed | 1.56 s
[#                                       ] | 3% Completed | 2.30 s
[#                                       ] | 3% Completed | 2.63 s
[#                                       ] | 3% Completed | 2.85 s
[##                                      ] | 5% Completed | 3.44 s
[##                                      ] | 6% Completed | 3.71 s
[##                                      ] | 7% Completed | 4.24 s
[###                                     ] | 9% Completed | 4.52 s
[###                                     ] | 9% Completed | 4.76 s
[###                                     ] | 9% Completed | 5.42 s
[####                                    ] | 11% Completed | 5.58 s
[#####                                   ] | 13% Completed | 5.96 s
[#####                                   ] | 13% Completed | 6.17 s
[#####                                   ] | 13% Completed | 7.24 s
[######                                  ] | 15% Completed | 7.46 s
[######                                  ] | 16% Completed | 7.84 s
[######                                  ] | 16% Completed | 8.57 s
[########                                ] | 20% Completed | 9.89 s
[########                                ] | 21% Completed | 10.04 s
[########                                ] | 21% Completed | 10.20 s
[########                                ] | 21% Completed | 10.44 s
[#########                               ] | 23% Completed | 11.39 s
[#########                               ] | 23% Completed | 11.51 s
[#########                               ] | 23% Completed | 11.63 s
[##########                              ] | 25% Completed | 12.14 s
[##########                              ] | 27% Completed | 12.31 s
[##########                              ] | 27% Completed | 12.52 s
[##########                              ] | 27% Completed | 13.02 s
[##########                              ] | 27% Completed | 13.47 s
[###########                             ] | 29% Completed | 13.93 s
[############                            ] | 31% Completed | 14.14 s
[############                            ] | 31% Completed | 14.29 s
[############                            ] | 31% Completed | 14.53 s
[#############                           ] | 33% Completed | 15.02 s
[#############                           ] | 34% Completed | 16.23 s
[#############                           ] | 34% Completed | 16.47 s
[##############                          ] | 36% Completed | 16.88 s
[##############                          ] | 37% Completed | 17.65 s
[##############                          ] | 37% Completed | 17.91 s
[###############                         ] | 38% Completed | 18.19 s
[################                        ] | 41% Completed | 18.49 s
[################                        ] | 41% Completed | 18.63 s
[################                        ] | 41% Completed | 18.74 s
[################                        ] | 41% Completed | 19.23 s
[#################                       ] | 43% Completed | 19.37 s
[#################                       ] | 43% Completed | 20.08 s
[#################                       ] | 43% Completed | 20.41 s
[##################                      ] | 45% Completed | 20.77 s
[##################                      ] | 45% Completed | 21.37 s
[##################                      ] | 47% Completed | 21.70 s
[##################                      ] | 47% Completed | 21.97 s
[###################                     ] | 49% Completed | 22.65 s
[###################                     ] | 49% Completed | 22.80 s
[####################                    ] | 50% Completed | 23.21 s
[#####################                   ] | 52% Completed | 23.53 s
[#####################                   ] | 52% Completed | 23.93 s
[#####################                   ] | 53% Completed | 24.82 s
[######################                  ] | 55% Completed | 25.15 s
[######################                  ] | 55% Completed | 25.33 s
[######################                  ] | 55% Completed | 25.47 s
[######################                  ] | 56% Completed | 25.97 s
[#######################                 ] | 57% Completed | 26.28 s
[#######################                 ] | 57% Completed | 26.39 s
[#######################                 ] | 58% Completed | 26.67 s
[#######################                 ] | 58% Completed | 26.95 s
[########################                ] | 61% Completed | 27.37 s
[########################                ] | 61% Completed | 27.50 s
[########################                ] | 61% Completed | 28.17 s
[########################                ] | 61% Completed | 28.29 s
[#########################               ] | 62% Completed | 28.40 s
[#########################               ] | 62% Completed | 28.97 s
[#########################               ] | 64% Completed | 29.25 s
[##########################              ] | 65% Completed | 29.42 s
[##########################              ] | 65% Completed | 29.88 s
[##########################              ] | 65% Completed | 30.00 s
[##########################              ] | 66% Completed | 30.13 s
[##########################              ] | 66% Completed | 30.36 s
[##########################              ] | 66% Completed | 30.58 s
[##########################              ] | 66% Completed | 30.92 s
[###########################             ] | 69% Completed | 31.70 s
[############################            ] | 70% Completed | 32.49 s
[#############################           ] | 74% Completed | 32.62 s
[#############################           ] | 74% Completed | 33.01 s
[##############################          ] | 76% Completed | 34.00 s
[##############################          ] | 76% Completed | 34.12 s
[##############################          ] | 76% Completed | 35.00 s
[###############################         ] | 77% Completed | 35.20 s
[###############################         ] | 77% Completed | 35.37 s
[###############################         ] | 78% Completed | 35.56 s
[################################        ] | 80% Completed | 35.93 s
[################################        ] | 80% Completed | 36.45 s
[#################################       ] | 82% Completed | 36.69 s
[#################################       ] | 82% Completed | 37.32 s
[#################################       ] | 84% Completed | 38.22 s
[##################################      ] | 86% Completed | 38.86 s
[##################################      ] | 86% Completed | 39.07 s
[##################################      ] | 86% Completed | 39.22 s
[###################################     ] | 88% Completed | 39.58 s
[###################################     ] | 88% Completed | 40.18 s
[###################################     ] | 88% Completed | 40.35 s
[###################################     ] | 88% Completed | 40.54 s
[#####################################   ] | 92% Completed | 41.31 s
[#####################################   ] | 92% Completed | 41.69 s
[#####################################   ] | 92% Completed | 41.84 s
[#####################################   ] | 92% Completed | 42.57 s
[#####################################   ] | 94% Completed | 42.87 s
[#####################################   ] | 94% Completed | 43.15 s
[######################################  ] | 95% Completed | 43.29 s
[######################################  ] | 95% Completed | 43.46 s
[####################################### ] | 97% Completed | 43.66 s
[####################################### ] | 98% Completed | 43.77 s
[########################################] | 100% Completed | 43.87 s

[                                        ] | 0% Completed | 151.10 us
[                                        ] | 0% Completed | 549.84 ms
[                                        ] | 0% Completed | 1.78 s
[                                        ] | 0% Completed | 2.44 s
[                                        ] | 0% Completed | 2.54 s
[                                        ] | 0% Completed | 3.23 s
[                                        ] | 0% Completed | 3.40 s
[########################################] | 100% Completed | 3.51 s
