INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:38 {'message': 'No valid keys to delete', 'bucket_name': 'datasets'}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:78 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 8, 'sample_keys': ['d1d0660a-55f1-4b24-a897-e6329da6e5f7-fragment.tsv.bgz.tbi', 'e3991e2c-de52-4349-bc0d-a0f5030a9ff9.h5ad', '30954de8-8d2d-45f9-9616-565244d23ee8.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:78 {'message': 'Starting deletion operation', 'bucket_name': 'artifacts', 'key_count': 1, 'sample_keys': ['30954de8-8d2d-45f9-9616-565244d23ee8/raw.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:78 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['30954de8-8d2d-45f9-9616-565244d23ee8.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:78 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['30954de8-8d2d-45f9-9616-565244d23ee8.rds']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:78 {'message': 'Starting deletion operation', 'bucket_name': 'cellxgene', 'key_count': 1, 'sample_keys': ['30954de8-8d2d-45f9-9616-565244d23ee8.cxg/']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:78 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['4afe5f32-f1ed-4adf-ad1f-e50b16bcf27c-fragment.tsv.bgz']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:78 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['4afe5f32-f1ed-4adf-ad1f-e50b16bcf27c-fragment.tsv.bgz.tbi']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:78 {'message': 'Starting deletion operation', 'bucket_name': 'artifacts', 'key_count': 1, 'sample_keys': ['e3991e2c-de52-4349-bc0d-a0f5030a9ff9/raw.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:78 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['e3991e2c-de52-4349-bc0d-a0f5030a9ff9.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:78 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['e3991e2c-de52-4349-bc0d-a0f5030a9ff9.rds']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:78 {'message': 'Starting deletion operation', 'bucket_name': 'cellxgene', 'key_count': 1, 'sample_keys': ['e3991e2c-de52-4349-bc0d-a0f5030a9ff9.cxg/']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:78 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['d1d0660a-55f1-4b24-a897-e6329da6e5f7-fragment.tsv.bgz']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:78 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['d1d0660a-55f1-4b24-a897-e6329da6e5f7-fragment.tsv.bgz.tbi']}
