"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_get_spatial_metadata__is_single_false","tests.unit.processing","Thu Nov 21 19:52:42 GMT 2024","passed","Thu Nov 21 19:52:42 GMT 2024","TestProcessingValidate","test_extract_metadata","",""
"","4","test__add_new_collection_consortia","tests.unit.backend.layers.api","Thu Nov 21 19:51:08 GMT 2024","passed","Thu Nov 21 19:51:08 GMT 2024","TestUpdateCollection","test_portal_api","",""
"","46","test_when_item_is_in_config_but_not_in_env_and_use_env_is_not_set_we_use_config","tests.unit.backend.layers.utils","Thu Nov 21 19:51:18 GMT 2024","passed","Thu Nov 21 19:51:18 GMT 2024","TestSecretConfig","test_secret_config","",""
"
        Start a revision on a collection as a non-owner.
        ","13","test__revision_not_owner__403","tests.unit.backend.layers.api","Thu Nov 21 19:51:09 GMT 2024","passed","Thu Nov 21 19:51:09 GMT 2024","TestRevision","test_portal_api","",""
"
    Test the cropping method to ensure the image is cropped to a square
    ","2","test__crop_to_aspect_ratio[200-150]","tests.unit.processing","Thu Nov 21 19:53:31 GMT 2024","passed","Thu Nov 21 19:53:31 GMT 2024","","test_spatial_assets_utils","",""
"","0","test__link__INVALID[protocol-google.com]","tests.unit.backend.layers.common","Thu Nov 21 19:51:11 GMT 2024","passed","Thu Nov 21 19:51:11 GMT 2024","","test_validation","",""
"
        A dataset artifact can be updated using `update_dataset_artifact`
        ","7","test_update_dataset_artifact_ok","tests.unit.backend.layers.business","Thu Nov 21 19:51:10 GMT 2024","passed","Thu Nov 21 19:51:10 GMT 2024","TestUpdateDataset","test_business","",""
"","4","test_update_non_owned_private_collection_as_super_curator__ok","tests.unit.backend.layers.api","Thu Nov 21 19:51:08 GMT 2024","passed","Thu Nov 21 19:51:08 GMT 2024","TestCollectionsCurators","test_portal_api","",""
"","4","test_exception_handle_catches_errors","tests.unit.wmg_processing","Thu Nov 21 19:51:00 GMT 2024","passed","Thu Nov 21 19:51:00 GMT 2024","TestCubePipe","test_cube_pipeline","",""
"","1","test_format_issue","tests.unit.scripts","Thu Nov 21 19:51:13 GMT 2024","passed","Thu Nov 21 19:51:13 GMT 2024","","test_zenhub_close","",""
"
        Successfully raises exception for ensembl IDs that do not exist
        ","368","test_incorrect_gene_ids","tests.unit.backend.layers.api","Thu Nov 21 19:51:07 GMT 2024","passed","Thu Nov 21 19:51:08 GMT 2024","GeneInfoAPIv1Tests","test_gene_info","",""
"
        Processing starts when an update of a dataset is uploaded by its ID by a super curator
        ","2","test__upload_update_by_dataset_id_super__OK","tests.unit.processing","Thu Nov 21 19:52:42 GMT 2024","passed","Thu Nov 21 19:52:42 GMT 2024","TestDatasetSubmissions","test_dataset_submissions","",""
"","6","test__update_collection_partial__OK","tests.unit.backend.layers.api","Thu Nov 21 19:51:08 GMT 2024","passed","Thu Nov 21 19:51:08 GMT 2024","TestUpdateCollection","test_portal_api","",""
"Run method when check_datasets returns errors.","1","test_run_neg","tests.unit.processing.schema_migration","Thu Nov 21 19:52:40 GMT 2024","passed","Thu Nov 21 19:52:40 GMT 2024","TestPublishRevisions","test_publish_revisions","",""
"","5","test__link_fake_collection__403","tests.unit.backend.layers.api","Thu Nov 21 19:51:09 GMT 2024","passed","Thu Nov 21 19:51:09 GMT 2024","TestCollectionPostUploadLink","test_portal_api","",""
"","3","test_get","tests.unit.backend.layers.api","Thu Nov 21 19:51:09 GMT 2024","passed","Thu Nov 21 19:51:09 GMT 2024","TestVersion","test_version","",""
"
        Given a canonical collection with a published version and no unpublished versions,
        creating an unpublished collection version where is_auto_verison is True will succeed.
        ","11","test_create_collection_version_is_auto_version_succeeds","tests.unit.backend.layers.business","Thu Nov 21 19:51:10 GMT 2024","passed","Thu Nov 21 19:51:10 GMT 2024","TestCollectionOperations","test_business","",""
"","0","test_type_inference[parameters46]","tests.unit.processing","Thu Nov 21 19:53:32 GMT 2024","passed","Thu Nov 21 19:53:32 GMT 2024","","test_type_conversion_utils","",""
"","12","test__convert_matrices_to_cxg_arrays__dense_array_writes_successfully","tests.unit.processing","Thu Nov 21 19:52:41 GMT 2024","passed","Thu Nov 21 19:52:41 GMT 2024","TestCxgGenerationUtils","test_cxg_generation_utils","",""
"","0","test__link__INVALID[protocol-.com]","tests.unit.backend.layers.common","Thu Nov 21 19:51:11 GMT 2024","passed","Thu Nov 21 19:51:11 GMT 2024","","test_validation","",""
"","4","test_delete_non_owned_private_collection_as_super_curator__ok","tests.unit.backend.layers.api","Thu Nov 21 19:51:08 GMT 2024","passed","Thu Nov 21 19:51:08 GMT 2024","TestCollectionsCurators","test_portal_api","",""
"","1","test_type_inference[parameters88]","tests.unit.processing","Thu Nov 21 19:53:32 GMT 2024","passed","Thu Nov 21 19:53:32 GMT 2024","","test_type_conversion_utils","",""
"
        Publishing a version with a dataset removed should succeed
        ","15","test_publish_version_with_removed_dataset_ok","tests.unit.backend.layers.business","Thu Nov 21 19:51:10 GMT 2024","passed","Thu Nov 21 19:51:10 GMT 2024","TestCollectionOperations","test_business","",""
"","5","test_get_datasets_nonexistent_collection_4xx","tests.unit.backend.layers.api","Thu Nov 21 19:51:06 GMT 2024","passed","Thu Nov 21 19:51:06 GMT 2024","TestGetDatasets","test_curation_api","",""
"","0","test_invalid_characters_in_field[\x00some data]","tests.unit.backend.layers.common","Thu Nov 21 19:51:11 GMT 2024","passed","Thu Nov 21 19:51:11 GMT 2024","","test_validation","",""
