
[                                        ] | 0% Completed | 1.29 ms
[                                        ] | 0% Completed | 108.86 ms
[                                        ] | 0% Completed | 209.42 ms
[                                        ] | 0% Completed | 310.48 ms
[                                        ] | 0% Completed | 421.42 ms
[                                        ] | 0% Completed | 532.88 ms
[                                        ] | 0% Completed | 649.98 ms
[                                        ] | 0% Completed | 760.09 ms
[                                        ] | 0% Completed | 865.54 ms
[                                        ] | 0% Completed | 977.39 ms
[                                        ] | 0% Completed | 1.08 s
[                                        ] | 0% Completed | 1.20 s
[                                        ] | 0% Completed | 1.31 s
[                                        ] | 0% Completed | 1.44 s
[                                        ] | 0% Completed | 1.56 s
[                                        ] | 0% Completed | 1.67 s
[                                        ] | 0% Completed | 1.77 s
[                                        ] | 0% Completed | 1.88 s
[                                        ] | 0% Completed | 1.98 s
[                                        ] | 0% Completed | 2.08 s
[                                        ] | 0% Completed | 2.19 s
[                                        ] | 0% Completed | 2.30 s
[                                        ] | 0% Completed | 2.41 s
[                                        ] | 0% Completed | 2.52 s
[                                        ] | 0% Completed | 2.63 s
[                                        ] | 0% Completed | 2.73 s
[                                        ] | 0% Completed | 2.83 s
[                                        ] | 0% Completed | 2.94 s
[                                        ] | 0% Completed | 3.05 s
[                                        ] | 0% Completed | 3.17 s
[                                        ] | 0% Completed | 3.28 s
[                                        ] | 0% Completed | 3.45 s
[                                        ] | 0% Completed | 3.56 s
[                                        ] | 0% Completed | 3.66 s
[                                        ] | 0% Completed | 3.77 s
[                                        ] | 0% Completed | 3.87 s
[                                        ] | 0% Completed | 3.98 s
[                                        ] | 0% Completed | 4.09 s
[                                        ] | 0% Completed | 4.19 s
[                                        ] | 0% Completed | 4.29 s
[                                        ] | 0% Completed | 4.41 s
[                                        ] | 0% Completed | 4.51 s
[                                        ] | 0% Completed | 4.62 s
[                                        ] | 0% Completed | 4.77 s
[                                        ] | 0% Completed | 4.92 s
[                                        ] | 0% Completed | 5.03 s
[                                        ] | 0% Completed | 5.14 s
[                                        ] | 0% Completed | 5.26 s
[                                        ] | 0% Completed | 5.36 s
[                                        ] | 0% Completed | 5.48 s
[                                        ] | 0% Completed | 5.59 s
[                                        ] | 0% Completed | 5.70 s
[                                        ] | 0% Completed | 5.81 s
[                                        ] | 0% Completed | 5.92 s
[                                        ] | 0% Completed | 6.08 s
[                                        ] | 0% Completed | 6.19 s
[                                        ] | 0% Completed | 6.29 s
[                                        ] | 0% Completed | 6.40 s
[                                        ] | 0% Completed | 6.52 s
[                                        ] | 0% Completed | 6.64 s
[                                        ] | 0% Completed | 6.74 s
[                                        ] | 0% Completed | 6.84 s
[                                        ] | 0% Completed | 6.94 s
[                                        ] | 0% Completed | 7.04 s
[                                        ] | 0% Completed | 7.14 s
[                                        ] | 0% Completed | 7.25 s
[                                        ] | 0% Completed | 7.35 s
[                                        ] | 0% Completed | 7.45 s
[                                        ] | 0% Completed | 7.56 s
[                                        ] | 0% Completed | 7.66 s
[                                        ] | 0% Completed | 7.76 s
[                                        ] | 0% Completed | 7.86 s
[                                        ] | 0% Completed | 7.97 s
[                                        ] | 0% Completed | 8.07 s
[                                        ] | 0% Completed | 8.17 s
[                                        ] | 0% Completed | 8.27 s
[                                        ] | 0% Completed | 8.37 s
[                                        ] | 0% Completed | 8.47 s
[                                        ] | 0% Completed | 8.57 s
[                                        ] | 0% Completed | 8.67 s
[                                        ] | 0% Completed | 8.77 s
[                                        ] | 0% Completed | 8.87 s
[                                        ] | 0% Completed | 8.97 s
[                                        ] | 0% Completed | 9.07 s
[                                        ] | 0% Completed | 9.17 s
[                                        ] | 0% Completed | 9.27 s
[                                        ] | 0% Completed | 9.40 s
[                                        ] | 0% Completed | 9.51 s
[                                        ] | 0% Completed | 9.61 s
[                                        ] | 0% Completed | 9.71 s
[                                        ] | 0% Completed | 9.81 s
[                                        ] | 0% Completed | 9.91 s
[                                        ] | 0% Completed | 10.01 s
[                                        ] | 0% Completed | 10.11 s
[                                        ] | 0% Completed | 10.21 s
[                                        ] | 0% Completed | 10.31 s
[                                        ] | 0% Completed | 10.41 s
[                                        ] | 0% Completed | 10.52 s
[                                        ] | 0% Completed | 10.62 s
[                                        ] | 0% Completed | 10.72 s
[                                        ] | 0% Completed | 10.82 s
[                                        ] | 0% Completed | 10.92 s
[                                        ] | 0% Completed | 11.05 s
[                                        ] | 0% Completed | 11.15 s
[                                        ] | 0% Completed | 11.25 s
[                                        ] | 0% Completed | 11.35 s
[                                        ] | 0% Completed | 11.45 s
[                                        ] | 0% Completed | 11.55 s
[                                        ] | 0% Completed | 11.66 s
[                                        ] | 0% Completed | 11.76 s
[                                        ] | 0% Completed | 11.86 s
[                                        ] | 0% Completed | 11.96 s
[                                        ] | 0% Completed | 12.06 s
[                                        ] | 0% Completed | 12.18 s
[                                        ] | 0% Completed | 12.29 s
[                                        ] | 0% Completed | 12.39 s
[                                        ] | 0% Completed | 12.49 s
[                                        ] | 0% Completed | 12.59 s
[                                        ] | 0% Completed | 12.69 s
[                                        ] | 0% Completed | 12.79 s
[                                        ] | 0% Completed | 12.89 s
[                                        ] | 0% Completed | 12.99 s
[                                        ] | 0% Completed | 13.09 s
[                                        ] | 0% Completed | 13.19 s
[                                        ] | 0% Completed | 13.29 s
[                                        ] | 0% Completed | 13.39 s
[                                        ] | 0% Completed | 13.49 s
[                                        ] | 1% Completed | 13.59 s
[#                                       ] | 2% Completed | 13.70 s
[#                                       ] | 4% Completed | 13.80 s
[##                                      ] | 5% Completed | 13.90 s
[##                                      ] | 6% Completed | 14.00 s
[##                                      ] | 7% Completed | 14.10 s
[###                                     ] | 8% Completed | 14.20 s
[###                                     ] | 9% Completed | 14.30 s
[####                                    ] | 10% Completed | 14.40 s
[####                                    ] | 11% Completed | 14.50 s
[#####                                   ] | 13% Completed | 14.60 s
[#####                                   ] | 14% Completed | 14.70 s
[######                                  ] | 15% Completed | 14.80 s
[######                                  ] | 16% Completed | 14.91 s
[#######                                 ] | 17% Completed | 15.01 s
[#######                                 ] | 18% Completed | 15.11 s
[#######                                 ] | 19% Completed | 15.21 s
[########                                ] | 21% Completed | 15.31 s
[########                                ] | 22% Completed | 15.41 s
[#########                               ] | 23% Completed | 15.51 s
[#########                               ] | 24% Completed | 15.61 s
[##########                              ] | 25% Completed | 15.71 s
[##########                              ] | 26% Completed | 15.82 s
[###########                             ] | 27% Completed | 15.93 s
[###########                             ] | 29% Completed | 16.03 s
[############                            ] | 30% Completed | 16.13 s
[############                            ] | 31% Completed | 16.23 s
[############                            ] | 32% Completed | 16.33 s
[#############                           ] | 33% Completed | 16.43 s
[##############                          ] | 35% Completed | 16.53 s
[##############                          ] | 36% Completed | 16.63 s
[##############                          ] | 37% Completed | 16.73 s
[###############                         ] | 38% Completed | 16.84 s
[###############                         ] | 39% Completed | 16.94 s
[################                        ] | 40% Completed | 17.04 s
[################                        ] | 41% Completed | 17.14 s
[#################                       ] | 43% Completed | 17.24 s
[#################                       ] | 44% Completed | 17.34 s
[##################                      ] | 45% Completed | 17.45 s
[##################                      ] | 46% Completed | 17.55 s
[###################                     ] | 47% Completed | 17.65 s
[###################                     ] | 48% Completed | 17.75 s
[####################                    ] | 50% Completed | 17.85 s
[####################                    ] | 51% Completed | 17.95 s
[####################                    ] | 52% Completed | 18.05 s
[#####################                   ] | 53% Completed | 18.15 s
[#####################                   ] | 54% Completed | 18.25 s
[######################                  ] | 55% Completed | 18.35 s
[######################                  ] | 56% Completed | 18.46 s
[#######################                 ] | 58% Completed | 18.56 s
[#######################                 ] | 58% Completed | 18.66 s
[#######################                 ] | 59% Completed | 18.76 s
[########################                ] | 60% Completed | 18.86 s
[########################                ] | 61% Completed | 18.96 s
[#########################               ] | 63% Completed | 19.06 s
[#########################               ] | 64% Completed | 19.16 s
[##########################              ] | 65% Completed | 19.26 s
[##########################              ] | 66% Completed | 19.36 s
[##########################              ] | 67% Completed | 19.46 s
[###########################             ] | 68% Completed | 19.56 s
[###########################             ] | 69% Completed | 19.67 s
[############################            ] | 70% Completed | 19.77 s
[############################            ] | 71% Completed | 19.87 s
[#############################           ] | 72% Completed | 19.97 s
[#############################           ] | 73% Completed | 20.07 s
[##############################          ] | 75% Completed | 20.17 s
[##############################          ] | 76% Completed | 20.27 s
[###############################         ] | 77% Completed | 20.37 s
[###############################         ] | 78% Completed | 20.47 s
[###############################         ] | 79% Completed | 20.57 s
[################################        ] | 80% Completed | 20.67 s
[################################        ] | 81% Completed | 20.78 s
[#################################       ] | 82% Completed | 20.88 s
[#################################       ] | 84% Completed | 20.98 s
[##################################      ] | 85% Completed | 21.08 s
[##################################      ] | 86% Completed | 21.19 s
[###################################     ] | 87% Completed | 21.29 s
[###################################     ] | 88% Completed | 21.39 s
[###################################     ] | 89% Completed | 21.49 s
[####################################    ] | 90% Completed | 21.59 s
[####################################    ] | 91% Completed | 21.69 s
[#####################################   ] | 93% Completed | 21.79 s
[#####################################   ] | 94% Completed | 21.89 s
[######################################  ] | 95% Completed | 21.99 s
[######################################  ] | 96% Completed | 22.09 s
[######################################  ] | 97% Completed | 22.20 s
[####################################### ] | 97% Completed | 22.30 s
[####################################### ] | 98% Completed | 22.41 s
[####################################### ] | 99% Completed | 22.51 s
[########################################] | 100% Completed | 22.61 s

[                                        ] | 0% Completed | 339.60 us
[                                        ] | 1% Completed | 105.75 ms
[#                                       ] | 3% Completed | 206.27 ms
[#                                       ] | 4% Completed | 306.59 ms
[##                                      ] | 6% Completed | 406.84 ms
[###                                     ] | 8% Completed | 507.79 ms
[####                                    ] | 10% Completed | 610.86 ms
[####                                    ] | 11% Completed | 714.80 ms
[#####                                   ] | 12% Completed | 818.54 ms
[######                                  ] | 15% Completed | 922.61 ms
[######                                  ] | 17% Completed | 1.02 s
[#######                                 ] | 19% Completed | 1.12 s
[########                                ] | 21% Completed | 1.22 s
[#########                               ] | 22% Completed | 1.33 s
[#########                               ] | 24% Completed | 1.43 s
[##########                              ] | 26% Completed | 1.53 s
[###########                             ] | 27% Completed | 1.63 s
[###########                             ] | 29% Completed | 1.73 s
[############                            ] | 31% Completed | 1.83 s
[#############                           ] | 33% Completed | 1.93 s
[##############                          ] | 35% Completed | 2.03 s
[##############                          ] | 37% Completed | 2.13 s
[###############                         ] | 39% Completed | 2.23 s
[################                        ] | 40% Completed | 2.33 s
[#################                       ] | 42% Completed | 2.44 s
[#################                       ] | 44% Completed | 2.54 s
[##################                      ] | 46% Completed | 2.64 s
[###################                     ] | 48% Completed | 2.74 s
[###################                     ] | 49% Completed | 2.84 s
[####################                    ] | 52% Completed | 2.94 s
[#####################                   ] | 53% Completed | 3.05 s
[######################                  ] | 55% Completed | 3.15 s
[#######################                 ] | 57% Completed | 3.25 s
[#######################                 ] | 59% Completed | 3.35 s
[########################                ] | 61% Completed | 3.45 s
[#########################               ] | 63% Completed | 3.55 s
[##########################              ] | 65% Completed | 3.65 s
[##########################              ] | 66% Completed | 3.76 s
[###########################             ] | 68% Completed | 3.86 s
[###########################             ] | 69% Completed | 3.96 s
[############################            ] | 71% Completed | 4.06 s
[#############################           ] | 73% Completed | 4.16 s
[#############################           ] | 74% Completed | 4.26 s
[##############################          ] | 77% Completed | 4.36 s
[###############################         ] | 78% Completed | 4.46 s
[################################        ] | 80% Completed | 4.56 s
[################################        ] | 82% Completed | 4.66 s
[#################################       ] | 83% Completed | 4.76 s
[##################################      ] | 85% Completed | 4.86 s
[##################################      ] | 87% Completed | 4.96 s
[###################################     ] | 89% Completed | 5.07 s
[####################################    ] | 91% Completed | 5.17 s
[#####################################   ] | 92% Completed | 5.27 s
