
[                                        ] | 0% Completed | 172.24 us
[                                        ] | 0% Completed | 246.76 ms
[                                        ] | 0% Completed | 807.30 ms
[                                        ] | 1% Completed | 1.37 s
[                                        ] | 1% Completed | 1.70 s
[                                        ] | 1% Completed | 1.80 s
[                                        ] | 1% Completed | 1.92 s
[                                        ] | 2% Completed | 2.30 s
[                                        ] | 2% Completed | 2.44 s
[#                                       ] | 4% Completed | 3.04 s
[##                                      ] | 6% Completed | 3.20 s
[##                                      ] | 6% Completed | 3.34 s
[##                                      ] | 6% Completed | 3.71 s
[##                                      ] | 7% Completed | 3.91 s
[###                                     ] | 8% Completed | 4.15 s
[###                                     ] | 8% Completed | 4.53 s
[###                                     ] | 8% Completed | 4.77 s
[###                                     ] | 8% Completed | 4.89 s
[####                                    ] | 10% Completed | 5.84 s
[####                                    ] | 10% Completed | 5.96 s
[####                                    ] | 12% Completed | 6.20 s
[####                                    ] | 12% Completed | 6.42 s
[#####                                   ] | 13% Completed | 6.77 s
[#####                                   ] | 13% Completed | 6.89 s
[#####                                   ] | 13% Completed | 7.34 s
[#####                                   ] | 13% Completed | 7.45 s
[#####                                   ] | 14% Completed | 7.61 s
[#####                                   ] | 14% Completed | 7.74 s
[######                                  ] | 17% Completed | 7.94 s
[######                                  ] | 17% Completed | 8.10 s
[######                                  ] | 17% Completed | 8.42 s
[######                                  ] | 17% Completed | 8.54 s
[######                                  ] | 17% Completed | 8.85 s
[#######                                 ] | 19% Completed | 9.12 s
[#######                                 ] | 19% Completed | 9.28 s
[########                                ] | 20% Completed | 9.47 s
[########                                ] | 21% Completed | 10.28 s
[########                                ] | 21% Completed | 10.43 s
[########                                ] | 21% Completed | 10.68 s
[########                                ] | 21% Completed | 11.00 s
[########                                ] | 21% Completed | 11.13 s
[#########                               ] | 23% Completed | 11.24 s
[#########                               ] | 24% Completed | 11.42 s
[#########                               ] | 24% Completed | 11.59 s
[#########                               ] | 24% Completed | 11.77 s
[#########                               ] | 24% Completed | 11.90 s
[##########                              ] | 25% Completed | 12.06 s
[##########                              ] | 25% Completed | 12.26 s
[##########                              ] | 25% Completed | 12.48 s
[##########                              ] | 27% Completed | 12.65 s
[##########                              ] | 27% Completed | 12.87 s
[##########                              ] | 27% Completed | 13.00 s
[##########                              ] | 27% Completed | 13.21 s
[###########                             ] | 28% Completed | 13.50 s
[############                            ] | 30% Completed | 13.76 s
[############                            ] | 30% Completed | 13.99 s
[############                            ] | 30% Completed | 14.22 s
[############                            ] | 31% Completed | 15.04 s
[############                            ] | 32% Completed | 15.22 s
[############                            ] | 32% Completed | 15.33 s
[############                            ] | 32% Completed | 15.61 s
[#############                           ] | 33% Completed | 15.78 s
[#############                           ] | 34% Completed | 15.99 s
[#############                           ] | 34% Completed | 16.15 s
[##############                          ] | 35% Completed | 16.51 s
[##############                          ] | 35% Completed | 16.65 s
[##############                          ] | 36% Completed | 16.76 s
[##############                          ] | 36% Completed | 17.00 s
[##############                          ] | 36% Completed | 17.11 s
[###############                         ] | 38% Completed | 17.54 s
[###############                         ] | 38% Completed | 17.92 s
[################                        ] | 40% Completed | 18.19 s
[################                        ] | 40% Completed | 18.45 s
[################                        ] | 40% Completed | 19.01 s
[################                        ] | 40% Completed | 19.13 s
[################                        ] | 40% Completed | 19.56 s
[################                        ] | 41% Completed | 19.68 s
[#################                       ] | 43% Completed | 20.04 s
[#################                       ] | 44% Completed | 20.19 s
[#################                       ] | 44% Completed | 20.45 s
[#################                       ] | 44% Completed | 20.64 s
[#################                       ] | 44% Completed | 20.76 s
[##################                      ] | 45% Completed | 21.48 s
[##################                      ] | 47% Completed | 21.60 s
[###################                     ] | 48% Completed | 22.07 s
[###################                     ] | 48% Completed | 22.20 s
[###################                     ] | 48% Completed | 22.35 s
[###################                     ] | 49% Completed | 22.50 s
[###################                     ] | 49% Completed | 22.73 s
[####################                    ] | 51% Completed | 23.76 s
[####################                    ] | 51% Completed | 23.92 s
[#####################                   ] | 54% Completed | 24.33 s
[#####################                   ] | 54% Completed | 24.58 s
[#####################                   ] | 54% Completed | 24.78 s
[#####################                   ] | 54% Completed | 25.08 s
[#####################                   ] | 54% Completed | 25.27 s
[######################                  ] | 55% Completed | 25.51 s
[#######################                 ] | 57% Completed | 25.63 s
[#######################                 ] | 58% Completed | 25.78 s
[#######################                 ] | 58% Completed | 25.90 s
[#######################                 ] | 58% Completed | 26.52 s
[#######################                 ] | 59% Completed | 26.72 s
[########################                ] | 60% Completed | 26.94 s
[########################                ] | 60% Completed | 27.67 s
[########################                ] | 60% Completed | 27.89 s
[########################                ] | 60% Completed | 28.21 s
[#########################               ] | 63% Completed | 28.50 s
[#########################               ] | 63% Completed | 28.73 s
[#########################               ] | 63% Completed | 28.85 s
[#########################               ] | 64% Completed | 29.19 s
[#########################               ] | 64% Completed | 29.40 s
[##########################              ] | 66% Completed | 29.77 s
[##########################              ] | 66% Completed | 29.99 s
[##########################              ] | 66% Completed | 30.19 s
[###########################             ] | 67% Completed | 30.53 s
[###########################             ] | 69% Completed | 30.66 s
[###########################             ] | 69% Completed | 31.25 s
[###########################             ] | 69% Completed | 31.58 s
[############################            ] | 71% Completed | 32.07 s
[#############################           ] | 72% Completed | 32.43 s
[#############################           ] | 72% Completed | 32.91 s
[#############################           ] | 74% Completed | 33.28 s
[##############################          ] | 75% Completed | 33.46 s
[###############################         ] | 77% Completed | 34.30 s
[###############################         ] | 77% Completed | 34.42 s
[###############################         ] | 78% Completed | 34.60 s
[###############################         ] | 78% Completed | 35.68 s
[################################        ] | 81% Completed | 35.98 s
[#################################       ] | 82% Completed | 37.40 s
[#################################       ] | 83% Completed | 37.75 s
[#################################       ] | 84% Completed | 38.00 s
[#################################       ] | 84% Completed | 38.14 s
[##################################      ] | 86% Completed | 38.26 s
[###################################     ] | 87% Completed | 38.45 s
[###################################     ] | 87% Completed | 38.57 s
[###################################     ] | 87% Completed | 38.99 s
[###################################     ] | 87% Completed | 39.26 s
[###################################     ] | 88% Completed | 39.37 s
[###################################     ] | 89% Completed | 39.65 s
[####################################    ] | 90% Completed | 39.83 s
[####################################    ] | 90% Completed | 40.01 s
[####################################    ] | 90% Completed | 40.16 s
[####################################    ] | 90% Completed | 40.99 s
[####################################    ] | 90% Completed | 41.13 s
[#####################################   ] | 92% Completed | 41.24 s
[#####################################   ] | 92% Completed | 41.83 s
[#####################################   ] | 92% Completed | 41.95 s
[#####################################   ] | 93% Completed | 42.19 s
[######################################  ] | 95% Completed | 42.33 s
[######################################  ] | 96% Completed | 42.88 s
[####################################### ] | 97% Completed | 43.01 s
[####################################### ] | 97% Completed | 43.15 s
[####################################### ] | 98% Completed | 43.26 s
[####################################### ] | 98% Completed | 43.37 s
[########################################] | 100% Completed | 43.47 s

[                                        ] | 0% Completed | 175.62 us
[                                        ] | 0% Completed | 104.50 ms
[                                        ] | 0% Completed | 1.17 s
[                                        ] | 0% Completed | 1.66 s
[                                        ] | 0% Completed | 2.25 s
[                                        ] | 0% Completed | 2.36 s
[                                        ] | 0% Completed | 2.46 s
[                                        ] | 0% Completed | 2.56 s
[                                        ] | 0% Completed | 2.67 s
[                                        ] | 0% Completed | 2.78 s
[                                        ] | 0% Completed | 2.92 s
[                                        ] | 0% Completed | 3.08 s
[                                        ] | 0% Completed | 3.27 s
[                                        ] | 0% Completed | 3.40 s
[########################################] | 100% Completed | 3.51 s
