INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/a14a459c-5d86-408d-9af2-03cfdc7fea08', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 403, 'content_length': 132, 'response_time': 0.0018775463104248047}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/a14a459c-5d86-408d-9af2-03cfdc7fea08', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 403, 'content_length': 132, 'response_time': 0.001990795135498047}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/a14a459c-5d86-408d-9af2-03cfdc7fea08', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 401, 'content_length': 119, 'response_time': 0.000682830810546875}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/a14a459c-5d86-408d-9af2-03cfdc7fea08', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 401, 'content_length': 119, 'response_time': 0.0006921291351318359}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/a14a459c-5d86-408d-9af2-03cfdc7fea08', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 405, 'content_length': 136, 'response_time': 0.0018429756164550781}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/a14a459c-5d86-408d-9af2-03cfdc7fea08', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 403, 'content_length': 167, 'response_time': 0.0020186901092529297}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/a14a459c-5d86-408d-9af2-03cfdc7fea08', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 405, 'content_length': 136, 'response_time': 0.001837015151977539}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/a14a459c-5d86-408d-9af2-03cfdc7fea08', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 403, 'content_length': 167, 'response_time': 0.0019176006317138672}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/a14a459c-5d86-408d-9af2-03cfdc7fea08', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 405, 'content_length': 136, 'response_time': 0.0018405914306640625}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/a14a459c-5d86-408d-9af2-03cfdc7fea08', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 204, 'content_length': 0, 'response_time': 0.0023407936096191406}}
