INFO     backend.layers.business.business:business.py:621 {'message': 'ingesting dataset', 'collection_version_id': a2b36ce8-b54a-421c-9c8e-193eb77174e3, 'manifest': IngestionManifest(anndata=HttpUrl('http://fake.url/'), atac_fragment=None, is_pre_analysis=False), 'current_dataset_version_id': None}
INFO     backend.layers.business.business:business.py:1137 {'message': 'Deleting dataset versions', 'dataset_version_ids': []}
INFO     backend.layers.business.business:business.py:1162 {'message': 'Deleting dataset version artifacts', 'artifacts_to_delete': []}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/fd03c861-de26-44c0-a07f-6cd4ad3390bc', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 403, 'content_length': 132, 'response_time': 0.0015912055969238281}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/fd03c861-de26-44c0-a07f-6cd4ad3390bc', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 403, 'content_length': 132, 'response_time': 0.0016727447509765625}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/fd03c861-de26-44c0-a07f-6cd4ad3390bc', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 401, 'content_length': 119, 'response_time': 0.0005006790161132812}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/fd03c861-de26-44c0-a07f-6cd4ad3390bc', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 401, 'content_length': 119, 'response_time': 0.0005271434783935547}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/fd03c861-de26-44c0-a07f-6cd4ad3390bc', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 405, 'content_length': 136, 'response_time': 0.0016293525695800781}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/fd03c861-de26-44c0-a07f-6cd4ad3390bc', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 403, 'content_length': 167, 'response_time': 0.001615762710571289}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/fd03c861-de26-44c0-a07f-6cd4ad3390bc', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 405, 'content_length': 136, 'response_time': 0.0015268325805664062}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/fd03c861-de26-44c0-a07f-6cd4ad3390bc', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 403, 'content_length': 167, 'response_time': 0.0015950202941894531}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/fd03c861-de26-44c0-a07f-6cd4ad3390bc', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 405, 'content_length': 136, 'response_time': 0.0015904903411865234}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/fd03c861-de26-44c0-a07f-6cd4ad3390bc', 'method': 'DELETE', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 204, 'content_length': 0, 'response_time': 0.0018956661224365234}}
