INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/1d9c5ab8-7ba6-4bd1-abdc-741ac7c6b27f', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 875, 'response_time': 0.0013835430145263672}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/1d9c5ab8-7ba6-4bd1-abdc-741ac7c6b27f', 'method': 'PATCH', 'content_length': 106}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 337, 'response_time': 0.0015816688537597656}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/6cb097b2-2ad2-4b6a-ab08-6c1c46d6abe9', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 759, 'response_time': 0.0011105537414550781}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/6cb097b2-2ad2-4b6a-ab08-6c1c46d6abe9', 'method': 'PATCH', 'content_length': 106}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 337, 'response_time': 0.0015256404876708984}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/2a643bc6-291b-4bb7-aecd-e834833b2c2e', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 875, 'response_time': 0.0012853145599365234}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/2a643bc6-291b-4bb7-aecd-e834833b2c2e', 'method': 'PATCH', 'content_length': 2}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 328, 'response_time': 0.0014796257019042969}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/d09c0369-76f5-470e-a217-05f82cb1bfd5', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 875, 'response_time': 0.0011851787567138672}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/d09c0369-76f5-470e-a217-05f82cb1bfd5', 'method': 'PATCH', 'content_length': 13}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 400, 'content_length': 134, 'response_time': 0.0007748603820800781}}
