"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Only collection versions with the specified owner should be returned, including both published and unpublished
        ","13","test_get_all_collections_with_owner_ok","tests.unit.backend.layers.business","Tue Apr 29 16:01:16 GMT 2025","passed","Tue Apr 29 16:01:16 GMT 2025","TestGetAllCollections","test_business","",""
"","0","test__release_only_misformatted_version__returns_false","tests.unit.backend.layers.utils","Tue Apr 29 16:01:26 GMT 2025","passed","Tue Apr 29 16:01:26 GMT 2025","TestSemvarUtils","test_semvar_utils","",""
"","10","test__get_collection_with_x_approximate_distribution_none__OK","tests.unit.backend.layers.api","Tue Apr 29 16:01:11 GMT 2025","passed","Tue Apr 29 16:01:11 GMT 2025","TestGetCollectionID","test_curation_api","",""
"","1","test_type_inference[parameters59]","tests.unit.processing","Tue Apr 29 16:03:47 GMT 2025","passed","Tue Apr 29 16:03:47 GMT 2025","","test_type_conversion_utils","",""
"
    Test that the `rollup` function correctly accumulates (or rolls up) gene-expression
    values FOR EACH expressed gene and cell count values up the cell type ANCESTOR paths
    grouped by (tissue_ontology_term_id, cell_type_ontology_term_id, <compare_dimension>).

    The input:

    1. A cell type ontology subgraph consisting of 4 cell types.

    CL:0000127
    ├── CL:0000644
    ├── CL:0002605
    └── CL:0002627

    2. A gene expression dataframe consisting of expression numeric values for each
    (gene_ontology_term_id, tissue_ontology_term_id, cell_type_ontology_term_id, <compare_dimension>) tuple.
    3. The gene expression dataframe also holds total cell counts per tissue_ontology_term_id.
    This value is held in a column called `n_cells_tissue`.
    6. A cell counts dataframe that consists of cell counts for each
    (tissue_ontology_term_id, cell_type_ontology_term_id, <compare_dimension>) tuple.
    7. We set the `n_cells_tissue` column values to 1000 for all rows
    in the gene expression dataframe.
    8. We set all other numeric column values to `1` in the gene expression dataframe.

    The expected output:

    1. A rolled up gene expression dataframe.
    2. A rolled up cell counts dataframe.
    3. Assert that `n_cells_tissue` column value in the rolled up gene expression dataframe
    does not change for all rows because it should not be rolled up the cell type ontology
    ancestor paths.
    4. Assert that other numeric column values (i.e the columns that are not `n_cells_tissue`)
    in the rolled up gene expression dataframe hold the correct rolled up values.
    5. Assert that the cell counts in the rolled up cell counts dataframe hold the correct
    rolled up values.
    ","19","test__rollup[no_compare_dim_gene_expressed_in_one_tissue_but_not_other-input_cell_counts_df2-expected_cell_counts_df2-input_gene_expr_df2-expected_gene_expr_df2]","tests.unit.backend.wmg.api.common","Tue Apr 29 16:01:09 GMT 2025","passed","Tue Apr 29 16:01:09 GMT 2025","","test_rollup","",""
"positive test case for check_datasets method.","1","test_check_datasets_no_errors","tests.unit.processing.schema_migration","Tue Apr 29 16:03:35 GMT 2025","passed","Tue Apr 29 16:03:35 GMT 2025","TestPublishRevisions","test_publish_revisions","",""
"","11","test__update_private_collection_dataset__ok","tests.unit.backend.layers.api","Tue Apr 29 16:01:15 GMT 2025","passed","Tue Apr 29 16:01:15 GMT 2025","TestDataset","test_portal_api","",""
"","7","test_post_datasets_no_auth_401","tests.unit.backend.layers.api","Tue Apr 29 16:01:13 GMT 2025","passed","Tue Apr 29 16:01:13 GMT 2025","TestPostDataset","test_curation_api","",""
"","0","test_type_inference[parameters95]","tests.unit.processing","Tue Apr 29 16:03:47 GMT 2025","passed","Tue Apr 29 16:03:47 GMT 2025","","test_type_conversion_utils","",""
"","9","test__get_collections_no_auth__OK","tests.unit.backend.layers.api","Tue Apr 29 16:01:11 GMT 2025","passed","Tue Apr 29 16:01:11 GMT 2025","TestGetCollections","test_curation_api","",""
"
        Updated Dataset assets and rows in private Collection should not be deleted until after Collection is deleted
        ","9","test_cleanup_occurs_after_deletion_for_private_collection","tests.unit.backend.layers.business","Tue Apr 29 16:01:17 GMT 2025","passed","Tue Apr 29 16:01:17 GMT 2025","TestDeleteDataset","test_business","",""
"","1","test_sanitize_api_query_dict[input_query1-expected_sanitized_query1]","tests.unit.backend.wmg.api.common","Tue Apr 29 16:01:10 GMT 2025","passed","Tue Apr 29 16:01:10 GMT 2025","","test_wmg_api_helpers","",""
"A cellxgene public dataset url must be part of a version of the canonical dataset","17","test_reginest_published_anndata_dataset__not_part_of_canonical_dataset","tests.unit.backend.layers.business","Tue Apr 29 16:01:17 GMT 2025","passed","Tue Apr 29 16:01:17 GMT 2025","TestUpdateCollectionDatasets","test_business","",""
"
        The `my-collections/index` endpoint should return all public collections and the private
        collections the user has WRITE access to. Curators can see all public collectoins and private collections where
        they are the owner. Super Curators can see all public and private collections.
        ","23","test__get_all_user_collections_for_index","tests.unit.backend.layers.api","Tue Apr 29 16:01:14 GMT 2025","passed","Tue Apr 29 16:01:15 GMT 2025","TestCollection","test_portal_api","",""
"
        Test restoring a previous version of a collection fails when there are no previous versions
        ","11","test__restore_previous_collection_version__no_previous_versions","tests.unit.backend.layers.business","Tue Apr 29 16:01:18 GMT 2025","passed","Tue Apr 29 16:01:18 GMT 2025","TestCollectionUtilities","test_business","",""
"","0","test__link__INVALID[other-https://]","tests.unit.backend.layers.common","Tue Apr 29 16:01:18 GMT 2025","passed","Tue Apr 29 16:01:18 GMT 2025","","test_validation","",""
"
        Call process download using a dropbox uri
        ","3","test_download_from_dropbox_uri","tests.unit.processing","Tue Apr 29 16:03:40 GMT 2025","passed","Tue Apr 29 16:03:40 GMT 2025","TestProcessDownload","test_process_validate_h5ad","",""
"","12300","test__cube_query_params_for_expression_summary_cube","tests.unit.backend.wmg","Tue Apr 29 16:01:37 GMT 2025","passed","Tue Apr 29 16:01:50 GMT 2025","CensusCubeQueryParamsTest","test_query","",""
"
        Successfully calls NCBIProvider fetch and search functions with a parameter of only gene ID
        ","3","test_gene_info_with_id","tests.unit.backend.layers.api","Tue Apr 29 16:01:14 GMT 2025","passed","Tue Apr 29 16:01:14 GMT 2025","GeneInfoAPIv1Tests","test_gene_info","",""
"","5","test__update_collection_remove_doi_deletes_metadata","tests.unit.backend.layers.api","Tue Apr 29 16:01:15 GMT 2025","passed","Tue Apr 29 16:01:15 GMT 2025","TestUpdateCollection","test_portal_api","",""
"","10","test_create_empty_dataset_version_for_current_dataset","tests.unit.backend.layers.business","Tue Apr 29 16:01:16 GMT 2025","passed","Tue Apr 29 16:01:16 GMT 2025","TestUpdateCollectionDatasets","test_business","",""
"
        Artifacts belonging to a dataset can be obtained with `get_dataset_artifacts`
        ","8","test_get_dataset_artifacts_ok","tests.unit.backend.layers.business","Tue Apr 29 16:01:17 GMT 2025","passed","Tue Apr 29 16:01:17 GMT 2025","TestGetDataset","test_business","",""
"","0","test_type_inference[parameters68]","tests.unit.processing","Tue Apr 29 16:03:47 GMT 2025","passed","Tue Apr 29 16:03:47 GMT 2025","","test_type_conversion_utils","",""
"
        Given a dataset version id, return the DatasetVersion IF its been part of a published CollectionVersion
        ","51","test_get_prior_published_dataset_version","tests.unit.backend.layers.business","Tue Apr 29 16:01:17 GMT 2025","passed","Tue Apr 29 16:01:17 GMT 2025","TestGetDataset","test_business","",""
"
        Start a revision of a collection with links.
        ","23","test__start_revision_of_a_collection_w_links__201","tests.unit.backend.layers.api","Tue Apr 29 16:01:16 GMT 2025","passed","Tue Apr 29 16:01:16 GMT 2025","TestRevision","test_portal_api","",""
"","3","test__generate_s3_credentials__No_Auth","tests.unit.backend.layers.api","Tue Apr 29 16:01:11 GMT 2025","passed","Tue Apr 29 16:01:11 GMT 2025","TestS3Credentials","test_curation_api","",""
