INFO     wmg-v2-api:v2.py:96 PRATHAP!!! Profiler stats:          2326 function calls (2305 primitive calls) in 0.007 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.007    0.007 tracer.py:952(func_wrapper)
        1    0.000    0.000    0.007    0.007 query.py:87(expression_summary)
        1    0.000    0.000    0.007    0.007 query.py:121(_query)
        1    0.000    0.000    0.006    0.006 _decorators.py:323(wrapper)
        1    0.000    0.000    0.006    0.006 concat.py:146(concat)
        1    0.000    0.000    0.006    0.006 concat.py:389(__init__)
        2    0.000    0.000    0.005    0.003 multirange_indexing.py:288(__iter__)
        1    0.003    0.003    0.005    0.005 multirange_indexing.py:393(_run_query)
        1    0.000    0.000    0.002    0.002 {method 'to_pandas' of 'pyarrow.lib._PandasConvertible' objects}
        1    0.000    0.000    0.002    0.002 pandas_compat.py:797(table_to_blockmanager)
        1    0.000    0.000    0.002    0.002 pandas_compat.py:903(_deserialize_column_index)
        1    0.000    0.000    0.001    0.001 multi.py:198(new_meth)
        1    0.000    0.000    0.001    0.001 multi.py:501(from_tuples)
        1    0.000    0.000    0.001    0.001 multi.py:435(from_arrays)
        1    0.000    0.000    0.001    0.001 categorical.py:2986(factorize_from_iterables)
        2    0.000    0.000    0.001    0.001 categorical.py:3007(<genexpr>)
        1    0.000    0.000    0.001    0.001 categorical.py:2945(factorize_from_iterable)
        1    0.000    0.000    0.001    0.001 categorical.py:368(__init__)
        1    0.001    0.001    0.001    0.001 dtypes.py:208(_from_values_or_dtype)
        1    0.000    0.000    0.000    0.000 multirange_indexing.py:250(__getitem__)
        1    0.000    0.000    0.000    0.000 pandas_compat.py:1163(_table_to_blocks)
        1    0.000    0.000    0.000    0.000 pandas_compat.py:1174(_flatten_single_level_multiindex)
        4    0.000    0.000    0.000    0.000 dtypes.py:185(__init__)
        4    0.000    0.000    0.000    0.000 dtypes.py:334(_finalize)
        2    0.000    0.000    0.000    0.000 dtypes.py:507(validate_categories)
      3/2    0.000    0.000    0.000    0.000 base.py:430(__new__)
  330/326    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 algorithms.py:593(factorize)
        1    0.000    0.000    0.000    0.000 multirange_indexing.py:313(_set_ranges)
        1    0.000    0.000    0.000    0.000 concat.py:565(get_result)
        1    0.000    0.000    0.000    0.000 {pyarrow.lib.table_to_blocks}
        1    0.000    0.000    0.000    0.000 multirange_indexing.py:304(_set_pyquery)
        1    0.000    0.000    0.000    0.000 multirange_indexing.py:545(_get_pyquery)
        1    0.000    0.000    0.000    0.000 multirange_indexing.py:366(__init__)
