INFO     backend.layers.business.business:business.py:598 {'message': 'ingesting dataset', 'collection_version_id': f49a5b8e-8e5e-4e86-bf83-a9442d41f9ce, 'manifest': IngestionManifest(anndata=HttpUrl('http://fake.url/'), atac_fragment=None, flags=None), 'current_dataset_version_id': None}
INFO     backend.layers.business.business:business.py:598 {'message': 'ingesting dataset', 'collection_version_id': cc88ae77-ffe3-4381-b1c9-be2e3e07ffd9, 'manifest': IngestionManifest(anndata=HttpUrl('http://fake.url/'), atac_fragment=None, flags=None), 'current_dataset_version_id': None}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/dp/v1/collections/eafaed29-a196-4fd8-9faf-2a322c2bff52', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 4158, 'response_time': 0.0048143863677978516}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/dp/v1/collections/318ac88a-82bf-4935-bf12-588738b636c9', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 427, 'response_time': 0.0013287067413330078}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/dp/v1/collections/6f2f788f-ccde-4430-bd26-d911184c9c46', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 4157, 'response_time': 0.0039653778076171875}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/dp/v1/collections/76647b65-f228-40c6-bbd2-4c4ddfa6326e', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 426, 'response_time': 0.0013446807861328125}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/dp/v1/collections/eafaed29-a196-4fd8-9faf-2a322c2bff52', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 4157, 'response_time': 0.0037610530853271484}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/dp/v1/collections/318ac88a-82bf-4935-bf12-588738b636c9', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 426, 'response_time': 0.0012598037719726562}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/dp/v1/collections/6f2f788f-ccde-4430-bd26-d911184c9c46', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 4157, 'response_time': 0.0037755966186523438}}
INFO     corpora-api-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/dp/v1/collections/76647b65-f228-40c6-bbd2-4c4ddfa6326e', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 426, 'response_time': 0.0013911724090576172}}
