INFO     wmg-v2-api:v2.py:102 PRATHAP!!! Profiling expression_summary:
         4650 function calls (4608 primitive calls) in 0.017 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.017    0.008 tracer.py:952(func_wrapper)
        2    0.000    0.000    0.017    0.008 query.py:87(expression_summary)
        2    0.003    0.001    0.017    0.008 query.py:121(_query)
        2    0.000    0.000    0.011    0.006 _decorators.py:323(wrapper)
        2    0.000    0.000    0.011    0.005 concat.py:146(concat)
        2    0.000    0.000    0.010    0.005 concat.py:389(__init__)
        4    0.000    0.000    0.010    0.003 multirange_indexing.py:288(__iter__)
        2    0.004    0.002    0.010    0.005 multirange_indexing.py:393(_run_query)
        2    0.000    0.000    0.005    0.002 {method 'to_pandas' of 'pyarrow.lib._PandasConvertible' objects}
        2    0.000    0.000    0.005    0.002 pandas_compat.py:797(table_to_blockmanager)
        2    0.000    0.000    0.004    0.002 pandas_compat.py:903(_deserialize_column_index)
        2    0.000    0.000    0.003    0.001 multi.py:198(new_meth)
        2    0.000    0.000    0.003    0.001 multi.py:501(from_tuples)
        2    0.000    0.000    0.003    0.001 multi.py:435(from_arrays)
        2    0.000    0.000    0.003    0.001 categorical.py:2986(factorize_from_iterables)
        4    0.000    0.000    0.003    0.001 categorical.py:3007(<genexpr>)
        2    0.000    0.000    0.003    0.001 categorical.py:2945(factorize_from_iterable)
        2    0.000    0.000    0.002    0.001 categorical.py:368(__init__)
        2    0.000    0.000    0.001    0.001 multirange_indexing.py:250(__getitem__)
       10    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        2    0.000    0.000    0.001    0.000 pandas_compat.py:1174(_flatten_single_level_multiindex)
        2    0.000    0.000    0.001    0.000 pandas_compat.py:1163(_table_to_blocks)
        8    0.000    0.000    0.001    0.000 dtypes.py:185(__init__)
        8    0.000    0.000    0.001    0.000 dtypes.py:334(_finalize)
        4    0.000    0.000    0.001    0.000 dtypes.py:507(validate_categories)
      6/4    0.000    0.000    0.001    0.000 base.py:430(__new__)
        2    0.000    0.000    0.001    0.000 multirange_indexing.py:304(_set_pyquery)
        2    0.001    0.000    0.001    0.000 multirange_indexing.py:545(_get_pyquery)
        2    0.000    0.000    0.001    0.000 multirange_indexing.py:313(_set_ranges)
  660/652    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.001    0.000 algorithms.py:593(factorize)
        2    0.000    0.000    0.001    0.000 concat.py:565(get_result)
        2    0.000    0.000    0.000    0.000 base.py:708(_with_infer)
        2    0.000    0.000    0.000    0.000 multirange_indexing.py:366(__init__)
       40    0.000    0.000    0.000    0.000 array_schema.py:318(attr)
        2    0.000    0.000    0.000    0.000 multirange_indexing.py:186(getitem_ranges)
        2    0.000    0.000    0.000    0.000 {pyarrow.lib.table_to_blocks}
        2    0.000    0.000    0.000    0.000 query.py:154(<listcomp>)
        2    0.000    0.000    0.000    0.000 pandas_compat.py:1170(<listcomp>)
        6    0.000    0.000    0.000    0.000 pandas_compat.py:726(_reconstruct_block)
        2    0.000    0.000    0.000    0.000 concat.py:176(concatenate_managers)
       28    0.000    0.000    0.000    0.000 array_schema.py:155(<genexpr>)
        4    0.000    0.000    0.000    0.000 base.py:2381(is_unique)
        2    0.000    0.000    0.000    0.000 algorithms.py:530(factorize_array)
        6    0.000    0.000    0.000    0.000 api.py:36(make_block)
        2    0.000    0.000    0.000    0.000 {method 'cast' of 'pyarrow.lib.Table' objects}
