Description	Ensembl GeneIDs
gene trap ROSA 26, Philippe Soriano	ENSMUSG00000086429
transformation related protein 53	ENSMUSG00000059552
apolipoprotein E	ENSMUSG00000002985
toll-like receptor 4	ENSMUSG00000039005
tumor necrosis factor	ENSMUSG00000024401
interferon gamma	ENSMUSG00000055170
leptin receptor	ENSMUSG00000057722
leptin	ENSMUSG00000059201
interleukin 10	ENSMUSG00000016529
interleukin 6	ENSMUSG00000025746
transforming growth factor, beta 1	ENSMUSG00000002603
catenin (cadherin associated protein), beta 1	ENSMUSG00000006932
myeloid differentiation primary response gene 88	ENSMUSG00000032508
dystrophin, muscular dystrophy	ENSMUSG00000045103
toll-like receptor 2	ENSMUSG00000027995
Fas (TNF receptor superfamily member 6)	ENSMUSG00000024778
nuclear factor, erythroid derived 2, like 2	ENSMUSG00000015839
signal transducer and activator of transcription 3	ENSMUSG00000004040
phosphatase and tensin homolog	ENSMUSG00000013663
sonic hedgehog	ENSMUSG00000002633
APC, WNT signaling pathway regulator	ENSMUSG00000005871
thymoma viral proto-oncogene 1	ENSMUSG00000001729
recombination activating 1	ENSMUSG00000061311
nitric oxide synthase 2, inducible	ENSMUSG00000020826
low density lipoprotein receptor	ENSMUSG00000032193
lysozyme 2	ENSMUSG00000069516
peroxisome proliferator activated receptor gamma	ENSMUSG00000000440
KIT proto-oncogene receptor tyrosine kinase	ENSMUSG00000005672
Kirsten rat sarcoma viral oncogene homolog	ENSMUSG00000030265
forkhead box P3	ENSMUSG00000039521
vascular endothelial growth factor A	ENSMUSG00000023951
caspase 3	ENSMUSG00000031628
nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	ENSMUSG00000028163
hypoxia inducible factor 1, alpha subunit	ENSMUSG00000021109
prion protein	ENSMUSG00000079037
amyloid beta (A4) precursor protein	ENSMUSG00000022892
platelet/endothelial cell adhesion molecule 1	ENSMUSG00000020717
interleukin 17A	ENSMUSG00000025929
brain derived neurotrophic factor	ENSMUSG00000048482
estrogen receptor 1 (alpha)	ENSMUSG00000019768
interleukin 4	ENSMUSG00000000869
NLR family, pyrin domain containing 3	ENSMUSG00000032691
nitric oxide synthase 3, endothelial cell	ENSMUSG00000028978
notch 1	ENSMUSG00000026923
presenilin 1	ENSMUSG00000019969
paired box 6	ENSMUSG00000027168
mitogen-activated protein kinase 14	ENSMUSG00000053436
sirtuin 1	ENSMUSG00000020063
mechanistic target of rapamycin kinase	ENSMUSG00000028991
prostaglandin-endoperoxide synthase 2	ENSMUSG00000032487
protein kinase, DNA activated, catalytic polypeptide	ENSMUSG00000022672
insulin-like growth factor 1	ENSMUSG00000020053
recombination activating gene 2	ENSMUSG00000032864
tumor necrosis factor receptor superfamily, member 1a	ENSMUSG00000030341
cadherin 1	ENSMUSG00000000303
chemokine (C-X3-C motif) receptor 1	ENSMUSG00000052336
myelocytomatosis oncogene	ENSMUSG00000022346
gap junction protein, alpha 1	ENSMUSG00000050953
interleukin 1 beta	ENSMUSG00000027398
interferon (alpha and beta) receptor 1	ENSMUSG00000022967
matrix metallopeptidase 9	ENSMUSG00000017737
antigen identified by monoclonal antibody Ki 67	ENSMUSG00000031004
peroxisome proliferator activated receptor alpha	ENSMUSG00000022383
cyclin dependent kinase inhibitor 2A	ENSMUSG00000044303
SRY (sex determining region Y)-box 9	ENSMUSG00000000567
mitogen-activated protein kinase 1	ENSMUSG00000063358
chemokine (C-C motif) ligand 2	ENSMUSG00000035385
SRY (sex determining region Y)-box 2	ENSMUSG00000074637
bone morphogenetic protein 4	ENSMUSG00000021835
heme oxygenase 1	ENSMUSG00000005413
spermatogenesis associated glutamate (E)-rich protein 6, pseudogene 1	ENSMUSG00000121349
aryl-hydrocarbon receptor	ENSMUSG00000019256
cannabinoid receptor 1 (brain)	ENSMUSG00000044288
epidermal growth factor receptor	ENSMUSG00000020122
transient receptor potential cation channel, subfamily V, member 1	ENSMUSG00000005952
cyclin-dependent kinase inhibitor 1A (P21)	ENSMUSG00000023067
chemokine (C-C motif) receptor 2	ENSMUSG00000049103
parvalbumin	ENSMUSG00000005716
tubulin, beta 3 class III	ENSMUSG00000062380
beta-2 microglobulin	ENSMUSG00000060802
fragile X messenger ribonucleoprotein 1	ENSMUSG00000000838
glycogen synthase kinase 3 beta	ENSMUSG00000022812
nitric oxide synthase 1, neuronal	ENSMUSG00000029361
secreted phosphoprotein 1	ENSMUSG00000029304
toll-like receptor 9	ENSMUSG00000045322
superoxide dismutase 1, soluble	ENSMUSG00000022982
caveolin 1, caveolae protein	ENSMUSG00000007655
microtubule-associated protein tau	ENSMUSG00000018411
patched 1	ENSMUSG00000021466
mitogen-activated protein kinase 3	ENSMUSG00000063065
huntingtin	ENSMUSG00000029104
methyl CpG binding protein 2	ENSMUSG00000031393
signal transducer and activator of transcription 1	ENSMUSG00000026104
cytochrome b-245, beta polypeptide	ENSMUSG00000015340
glial fibrillary acidic protein	ENSMUSG00000020932
insulin II	ENSMUSG00000000215
peroxisome proliferative activated receptor, gamma, coactivator 1 alpha	ENSMUSG00000029167
actin alpha 2, smooth muscle, aorta	ENSMUSG00000035783
ISL1 transcription factor, LIM/homeodomain	ENSMUSG00000042258
kinase insert domain protein receptor	ENSMUSG00000062960
RB transcriptional corepressor 1	ENSMUSG00000022105
androgen receptor	ENSMUSG00000046532
BCL2-associated X protein	ENSMUSG00000003873
collagen, type I, alpha 1	ENSMUSG00000001506
Fas ligand (TNF superfamily, member 6)	ENSMUSG00000000817
v-rel reticuloendotheliosis viral oncogene homolog A (avian)	ENSMUSG00000024927
runt related transcription factor 2	ENSMUSG00000039153
cyclin-dependent kinase inhibitor 1B	ENSMUSG00000003031
cystic fibrosis transmembrane conductance regulator	ENSMUSG00000041301
histocompatibility 2, class II antigen A, beta 1	ENSMUSG00000073421
interleukin 2	ENSMUSG00000027720
integrin beta 1 (fibronectin receptor beta)	ENSMUSG00000025809
phosphodiesterase 6B, cGMP, rod receptor, beta polypeptide	ENSMUSG00000029491
reelin	ENSMUSG00000042453
histocompatibility-2, MHC	
adiponectin, C1Q and collagen domain containing	ENSMUSG00000022878
tumor necrosis factor (ligand) superfamily, member 11	ENSMUSG00000022015
B cell leukemia/lymphoma 2	ENSMUSG00000057329
immunoglobulin heavy constant mu	ENSMUSG00000076617
POU domain, class 5, transcription factor 1	ENSMUSG00000024406
caspase 1	ENSMUSG00000025888
high mobility group box 1	ENSMUSG00000066551
Rac family small GTPase 1	ENSMUSG00000001847
bone morphogenetic protein 2	ENSMUSG00000027358
mitogen-activated protein kinase 8	ENSMUSG00000021936
fibroblast growth factor 8	ENSMUSG00000025219
forkhead box N1	ENSMUSG00000002057
T cell receptor alpha chain	
tyrosine hydroxylase	ENSMUSG00000000214
poly (ADP-ribose) polymerase family, member 1	ENSMUSG00000026496
calbindin 1	ENSMUSG00000028222
SMAD family member 3	ENSMUSG00000032402
nerve growth factor receptor (TNFR superfamily, member 16)	ENSMUSG00000000120
T cell receptor beta chain	
forkhead box O1	ENSMUSG00000044167
nuclear receptor subfamily 3, group C, member 1	ENSMUSG00000024431
nestin	ENSMUSG00000004891
ataxia telangiectasia mutated	ENSMUSG00000034218
CD4 antigen	ENSMUSG00000023274
cAMP responsive element binding protein 1	ENSMUSG00000025958
interleukin 1 receptor, type I	ENSMUSG00000026072
interleukin 2 receptor, gamma chain	ENSMUSG00000031304
jun proto-oncogene	ENSMUSG00000052684
purinergic receptor P2X, ligand-gated ion channel, 7	ENSMUSG00000029468
chemokine (C-X-C motif) ligand 12	ENSMUSG00000061353
synuclein, alpha	ENSMUSG00000025889
cyclin D1	ENSMUSG00000070348
CD44 antigen	ENSMUSG00000005087
FBJ osteosarcoma oncogene	ENSMUSG00000021250
somatostatin	ENSMUSG00000004366
complement component 3	ENSMUSG00000024164
CD19 antigen	ENSMUSG00000030724
solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	ENSMUSG00000021609
intercellular adhesion molecule 1	ENSMUSG00000037405
interleukin 18	ENSMUSG00000039217
signal transducer and activator of transcription 6	ENSMUSG00000002147
estrogen receptor 2 (beta)	ENSMUSG00000021055
fibroblast growth factor 2	ENSMUSG00000037225
interleukin 12b	ENSMUSG00000004296
interleukin 33	ENSMUSG00000024810
glutamate decarboxylase 1	ENSMUSG00000070880
GLI-Kruppel family member GLI1	ENSMUSG00000025407
interferon gamma receptor 1	ENSMUSG00000020009
myelin basic protein	ENSMUSG00000041607
paired box 3	ENSMUSG00000004872
period circadian clock 2	ENSMUSG00000055866
basic helix-loop-helix ARNT like 1	ENSMUSG00000055116
chemokine (C-X-C motif) receptor 4	ENSMUSG00000045382
colony stimulating factor 1 (macrophage)	ENSMUSG00000014599
myogenic differentiation 1	ENSMUSG00000009471
neurotrophic tyrosine kinase, receptor, type 2	ENSMUSG00000055254
tumor necrosis factor receptor superfamily, member 1b	ENSMUSG00000028599
CD40 antigen	ENSMUSG00000017652
T cell receptor delta chain	
opioid receptor, mu 1	ENSMUSG00000000766
solute carrier family 2 (facilitated glucose transporter), member 4	ENSMUSG00000018566
vitamin D (1,25-dihydroxyvitamin D3) receptor	ENSMUSG00000022479
adenosine A2a receptor	ENSMUSG00000020178
dopamine receptor D2	ENSMUSG00000032259
glucagon	ENSMUSG00000000394
glutamate receptor, ionotropic, NMDA1 (zeta 1)	ENSMUSG00000026959
nonagouti	ENSMUSG00000027596
protein kinase, AMP-activated, alpha 1 catalytic subunit	ENSMUSG00000050697
programmed cell death 1	ENSMUSG00000026285
platelet derived growth factor receptor, alpha polypeptide	ENSMUSG00000029231
protein tyrosine phosphatase, receptor type, C	ENSMUSG00000026395
brachyury, T-box transcription factor T	ENSMUSG00000062327
angiotensin II receptor, type 1a	ENSMUSG00000049115
colony stimulating factor 2 (granulocyte-macrophage)	ENSMUSG00000018916
empty spiracles homeobox 1	ENSMUSG00000033726
PTK2 protein tyrosine kinase 2	ENSMUSG00000022607
fibroblast growth factor receptor 2	ENSMUSG00000030849
matrix metallopeptidase 2	ENSMUSG00000031740
neural cell adhesion molecule 1	ENSMUSG00000039542
perforin 1 (pore forming protein)	ENSMUSG00000037202
tyrosinase	ENSMUSG00000004651
runt related transcription factor 1	ENSMUSG00000022952
CD28 antigen	ENSMUSG00000026012
CD36 molecule	ENSMUSG00000002944
CCAAT/enhancer binding protein (C/EBP), beta	ENSMUSG00000056501
forkhead box A2	ENSMUSG00000037025
insulin-like growth factor I receptor	ENSMUSG00000005533
advanced glycosylation end product-specific receptor	ENSMUSG00000015452
early growth response 1	ENSMUSG00000038418
toll-like receptor 3	ENSMUSG00000031639
hypoxanthine guanine phosphoribosyl transferase	ENSMUSG00000025630
interleukin 15	ENSMUSG00000031712
insulin receptor	ENSMUSG00000005534
