	Description	Ensembl GeneIDs
0	tumor protein p53	ENSG00000141510
1	epidermal growth factor receptor	ENSG00000146648
2	tumor necrosis factor	ENSG00000232810
3	apolipoprotein E	ENSG00000130203
4	vascular endothelial growth factor A	ENSG00000112715
5	interleukin 6	ENSG00000136244
6	transforming growth factor beta 1	ENSG00000105329
7	methylenetetrahydrofolate reductase	ENSG00000177000
8	erb-b2 receptor tyrosine kinase 2	ENSG00000141736
9	hypoxia inducible factor 1 subunit alpha	ENSG00000100644
10	estrogen receptor 1	ENSG00000091831
11	interleukin 10	ENSG00000136634
12	amyloid beta precursor protein	ENSG00000142192
13	angiotensin I converting enzyme	ENSG00000159640
14	BRCA1 DNA repair associated	ENSG00000012048
15	signal transducer and activator of transcription 3	ENSG00000168610
16	matrix metallopeptidase 9	ENSG00000100985
17	C-reactive protein	ENSG00000132693
18	KRAS proto-oncogene, GTPase	ENSG00000133703
19	brain derived neurotrophic factor	ENSG00000176697
20	B-Raf proto-oncogene, serine/threonine kinase	ENSG00000157764
21	adiponectin, C1Q and collagen domain containing	ENSG00000181092
22	androgen receptor	ENSG00000169083
23	AKT serine/threonine kinase 1	ENSG00000142208
24	ATP binding cassette subfamily B member 1	ENSG00000085563
25	major histocompatibility complex, class II, DR beta 1	ENSG00000196126
26	nuclear factor kappa B subunit 1	ENSG00000109320
27	vitamin D receptor	ENSG00000111424
28	interleukin 1 beta	ENSG00000125538
29	cyclin dependent kinase inhibitor 2A	ENSG00000147889
30	phosphatase and tensin homolog	ENSG00000171862
32	catenin beta 1	ENSG00000168036
33	toll like receptor 4	ENSG00000136869
34	prostaglandin-endoperoxide synthase 2	ENSG00000073756
35	nitric oxide synthase 3	ENSG00000164867
36	CF transmembrane conductance regulator	ENSG00000001626
37	catechol-O-methyltransferase	ENSG00000093010
38	synuclein alpha	ENSG00000145335
39	C-X-C motif chemokine ligand 8	ENSG00000169429
40	CD274 molecule	ENSG00000120217
41	telomerase reverse transcriptase	ENSG00000164362
42	peroxisome proliferator activated receptor gamma	ENSG00000132170
43	solute carrier family 6 member 4	ENSG00000108576
44	MYC proto-oncogene, bHLH transcription factor	ENSG00000136997
45	microtubule associated protein tau	ENSG00000186868
46	major histocompatibility complex, class I, B	ENSG00000234745
47	mechanistic target of rapamycin kinase	ENSG00000198793
48	cadherin 1	ENSG00000039068
49	insulin like growth factor 1	ENSG00000017427
50	BCL2 apoptosis regulator	ENSG00000171791
51	leptin	ENSG00000174697
52	C-X-C motif chemokine receptor 4	ENSG00000121966
53	glutathione S-transferase mu 1	ENSG00000134184
54	interferon gamma	ENSG00000111537
55	BRCA2 DNA repair associated	ENSG00000139618
56	MDM2 proto-oncogene	ENSG00000135679
57	Janus kinase 2	ENSG00000096968
58	matrix metallopeptidase 2	ENSG00000087245
59	CD4 molecule	ENSG00000010610
60	NFE2 like bZIP transcription factor 2	ENSG00000116044
61	mitogen-activated protein kinase 1	ENSG00000100030
62	cyclin D1	ENSG00000110092
63	interleukin 17A	ENSG00000112115
64	serpin family E member 1	ENSG00000106366
65	paraoxonase 1	ENSG00000005421
66	C-C motif chemokine ligand 2	ENSG00000108691
67	C-C motif chemokine receptor 5	ENSG00000160791
68	cyclin dependent kinase inhibitor 1A	ENSG00000124762
69	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	ENSG00000121879
