INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 360}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 2110, 'response_time': 0.005797147750854492}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 322}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 2110, 'response_time': 0.003261089324951172}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 316}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 2110, 'response_time': 0.002942800521850586}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 322}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 2110, 'response_time': 0.002632617950439453}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 322}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 1890, 'response_time': 0.002674579620361328}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 360}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 1646, 'response_time': 0.002535104751586914}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 322}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 1890, 'response_time': 0.0025844573974609375}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 360}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 1646, 'response_time': 0.0025544166564941406}}
