INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 360}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 2110, 'response_time': 0.005801200866699219}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 322}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 2110, 'response_time': 0.0026998519897460938}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 316}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 2110, 'response_time': 0.003130674362182617}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 322}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 2110, 'response_time': 0.002643585205078125}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 322}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 1890, 'response_time': 0.002566814422607422}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 360}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 1646, 'response_time': 0.0026464462280273438}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 322}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 1890, 'response_time': 0.0025644302368164062}}
INFO     corpora-api-wmg-test:config.py:76 {'type': 'REQUEST', 'details': {'url': '/wmg/v2/filters', 'method': 'POST', 'content_length': 360}}
INFO     corpora-api-wmg-test:config.py:88 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 1646, 'response_time': 0.0024900436401367188}}
