INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:37 {'message': 'No valid keys to delete', 'bucket_name': 'datasets'}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 8, 'sample_keys': ['3704561f-c7bd-4017-a76c-836e210e4cd5.rds', 'b3642f89-86c9-480c-a248-6076f7356e0c.h5ad', '0dafee11-9fae-465d-a2c8-40e0fbad890a-fragment.tsv.bgz']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'artifacts', 'key_count': 1, 'sample_keys': ['3704561f-c7bd-4017-a76c-836e210e4cd5/raw.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['3704561f-c7bd-4017-a76c-836e210e4cd5.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['3704561f-c7bd-4017-a76c-836e210e4cd5.rds']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'cellxgene', 'key_count': 1, 'sample_keys': ['3704561f-c7bd-4017-a76c-836e210e4cd5.cxg/']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['0dafee11-9fae-465d-a2c8-40e0fbad890a-fragment.tsv.bgz']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['0dafee11-9fae-465d-a2c8-40e0fbad890a-fragment.tsv.bgz.tbi']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'artifacts', 'key_count': 1, 'sample_keys': ['b3642f89-86c9-480c-a248-6076f7356e0c/raw.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['b3642f89-86c9-480c-a248-6076f7356e0c.h5ad']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['b3642f89-86c9-480c-a248-6076f7356e0c.rds']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'cellxgene', 'key_count': 1, 'sample_keys': ['b3642f89-86c9-480c-a248-6076f7356e0c.cxg/']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['4721872a-8db1-40b1-ad8f-cbb6f28fc938-fragment.tsv.bgz']}
INFO     backend.layers.thirdparty.s3_provider_mock:s3_provider_mock.py:90 {'message': 'Starting deletion operation', 'bucket_name': 'datasets', 'key_count': 1, 'sample_keys': ['4721872a-8db1-40b1-ad8f-cbb6f28fc938-fragment.tsv.bgz.tbi']}
