INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/e9ad191e-2e70-4125-978c-9c97a056c89e', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 875, 'response_time': 0.0018892288208007812}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/e9ad191e-2e70-4125-978c-9c97a056c89e', 'method': 'PATCH', 'content_length': 106}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 337, 'response_time': 0.0022258758544921875}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/0b7a4ce5-ef38-43ba-80ea-768d687d5124', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 759, 'response_time': 0.00156402587890625}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/0b7a4ce5-ef38-43ba-80ea-768d687d5124', 'method': 'PATCH', 'content_length': 106}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 337, 'response_time': 0.002045154571533203}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/a1170166-8ca9-4bf7-9cf6-99f88be74ef8', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 875, 'response_time': 0.0016732215881347656}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/a1170166-8ca9-4bf7-9cf6-99f88be74ef8', 'method': 'PATCH', 'content_length': 2}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 328, 'response_time': 0.0020270347595214844}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/6d58b76a-fc7d-48ca-945a-e52613823ff8', 'method': 'GET', 'content_length': None}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 200, 'content_length': 875, 'response_time': 0.0015816688537597656}}
INFO     corpora-api-test:config.py:75 {'type': 'REQUEST', 'details': {'url': '/curation/v1/collections/6d58b76a-fc7d-48ca-945a-e52613823ff8', 'method': 'PATCH', 'content_length': 13}}
INFO     corpora-api-test:config.py:87 {'type': 'RESPONSE', 'details': {'status_code': 400, 'content_length': 134, 'response_time': 0.0009965896606445312}}
